Attack,Epsilon,X_vals,y_vals
FGSM,0.1,"[[ 0.59        0.45000002  0.4        ... -0.1        -0.1
   0.1       ]
 [ 0.60999995  0.47        0.35       ...  0.1        -0.1
  -0.1       ]
 [ 0.60999995  0.45000002  0.36       ...  0.1        -0.1
  -0.1       ]
 ...
 [ 0.56       -0.1         0.1        ...  0.08000001 -0.1
  -0.1       ]
 [ 0.57       -0.1        -0.1        ...  0.1        -0.1
  -0.1       ]
 [ 0.48999998 -0.1        -0.1        ...  0.1         0.1
  -0.1       ]]","tf.Tensor(
[ 0.  0.  0.  0.  0.  1.  1.  1.  1.  1.  2.  2.  2.  2.  2.  3.  3.  3.
  3.  3.  4.  4.  4.  4.  4.  5.  5.  5.  5.  5.  6.  6.  6.  6.  6.  7.
  7.  7.  7.  7.  8.  8.  8.  8.  8.  9.  9.  9.  9.  9. 10. 10. 10. 10.
 10. 11. 11. 11. 11. 11. 12. 12. 12. 12. 12. 13. 13. 13. 13. 13. 14. 14.
 14. 14. 14. 15. 15. 15. 15. 15. 16. 16. 16. 16. 16. 17. 17. 17. 17. 17.
 18. 18. 18. 18. 18. 19. 19. 19. 19. 19. 20. 20. 20. 20. 20. 21. 21. 21.
 21. 21. 22. 22. 22. 22. 22. 23. 23. 23. 23. 23. 24. 24. 24. 24. 24. 25.
 25. 25. 25. 25. 26. 26. 26. 26. 26. 27. 27. 27. 27. 27. 28. 28. 28. 28.
 28. 29. 29. 29. 29. 29. 30. 30. 30. 30. 30. 31. 31. 31. 31. 31. 32. 32.
 32. 32. 32. 33. 33. 33. 33. 33. 34. 34. 34. 34. 34. 35. 35. 35. 35. 35.
 36. 36. 36. 36. 36. 37. 37. 37. 37. 37. 38. 38. 38. 38. 38. 39. 39. 39.
 39. 39. 40. 40. 40. 40. 40. 41. 41. 41. 41. 41. 42. 42. 42. 42. 42. 43.
 43. 43. 43. 43. 44. 44. 44. 44. 44. 45. 45. 45. 45. 45. 46. 46. 46. 46.
 46. 47. 47. 47. 47. 47. 48. 48. 48. 48. 48. 49. 49. 49. 49. 49. 50. 50.
 50. 50. 50. 51. 51. 51. 51. 51. 52. 52. 52. 52. 52. 53. 53. 53. 53. 53.
 54. 54. 54. 54. 54. 55. 55. 55. 55. 55. 56. 56. 56. 56. 56. 57. 57. 57.
 57. 57. 58. 58. 58. 58. 58. 59. 59. 59. 59. 59. 60. 60. 60. 60. 60.], shape=(305,), dtype=float32)"
FGSM,0.2,"[[ 0.49        0.35000002  0.3        ... -0.2        -0.2
   0.2       ]
 [ 0.51        0.37        0.24999999 ...  0.2        -0.2
  -0.2       ]
 [ 0.51        0.35000002  0.26       ...  0.2        -0.2
  -0.2       ]
 ...
 [ 0.46000004 -0.2         0.2        ... -0.02       -0.2
  -0.2       ]
 [ 0.47000003 -0.2        -0.2        ...  0.2        -0.2
  -0.2       ]
 [ 0.39       -0.2        -0.2        ...  0.2         0.2
  -0.2       ]]","tf.Tensor(
[ 0.  0.  0.  0.  0.  1.  1.  1.  1.  1.  2.  2.  2.  2.  2.  3.  3.  3.
  3.  3.  4.  4.  4.  4.  4.  5.  5.  5.  5.  5.  6.  6.  6.  6.  6.  7.
  7.  7.  7.  7.  8.  8.  8.  8.  8.  9.  9.  9.  9.  9. 10. 10. 10. 10.
 10. 11. 11. 11. 11. 11. 12. 12. 12. 12. 12. 13. 13. 13. 13. 13. 14. 14.
 14. 14. 14. 15. 15. 15. 15. 15. 16. 16. 16. 16. 16. 17. 17. 17. 17. 17.
 18. 18. 18. 18. 18. 19. 19. 19. 19. 19. 20. 20. 20. 20. 20. 21. 21. 21.
 21. 21. 22. 22. 22. 22. 22. 23. 23. 23. 23. 23. 24. 24. 24. 24. 24. 25.
 25. 25. 25. 25. 26. 26. 26. 26. 26. 27. 27. 27. 27. 27. 28. 28. 28. 28.
 28. 29. 29. 29. 29. 29. 30. 30. 30. 30. 30. 31. 31. 31. 31. 31. 32. 32.
 32. 32. 32. 33. 33. 33. 33. 33. 34. 34. 34. 34. 34. 35. 35. 35. 35. 35.
 36. 36. 36. 36. 36. 37. 37. 37. 37. 37. 38. 38. 38. 38. 38. 39. 39. 39.
 39. 39. 40. 40. 40. 40. 40. 41. 41. 41. 41. 41. 42. 42. 42. 42. 42. 43.
 43. 43. 43. 43. 44. 44. 44. 44. 44. 45. 45. 45. 45. 45. 46. 46. 46. 46.
 46. 47. 47. 47. 47. 47. 48. 48. 48. 48. 48. 49. 49. 49. 49. 49. 50. 50.
 50. 50. 50. 51. 51. 51. 51. 51. 52. 52. 52. 52. 52. 53. 53. 53. 53. 53.
 54. 54. 54. 54. 54. 55. 55. 55. 55. 55. 56. 56. 56. 56. 56. 57. 57. 57.
 57. 57. 58. 58. 58. 58. 58. 59. 59. 59. 59. 59. 60. 60. 60. 60. 60.], shape=(305,), dtype=float32)"
FGSM,0.3,"[[ 0.39        0.25        0.19999999 ... -0.3        -0.3
   0.3       ]
 [ 0.40999997  0.26999998  0.14999998 ...  0.3        -0.3
  -0.3       ]
 [ 0.40999997  0.25        0.16       ...  0.3        -0.3
  -0.3       ]
 ...
 [ 0.36       -0.3         0.3        ... -0.12       -0.3
  -0.3       ]
 [ 0.37       -0.3        -0.3        ...  0.3        -0.3
  -0.3       ]
 [ 0.28999996 -0.3        -0.3        ...  0.3         0.3
  -0.3       ]]","tf.Tensor(
[ 0.  0.  0.  0.  0.  1.  1.  1.  1.  1.  2.  2.  2.  2.  2.  3.  3.  3.
  3.  3.  4.  4.  4.  4.  4.  5.  5.  5.  5.  5.  6.  6.  6.  6.  6.  7.
  7.  7.  7.  7.  8.  8.  8.  8.  8.  9.  9.  9.  9.  9. 10. 10. 10. 10.
 10. 11. 11. 11. 11. 11. 12. 12. 12. 12. 12. 13. 13. 13. 13. 13. 14. 14.
 14. 14. 14. 15. 15. 15. 15. 15. 16. 16. 16. 16. 16. 17. 17. 17. 17. 17.
 18. 18. 18. 18. 18. 19. 19. 19. 19. 19. 20. 20. 20. 20. 20. 21. 21. 21.
 21. 21. 22. 22. 22. 22. 22. 23. 23. 23. 23. 23. 24. 24. 24. 24. 24. 25.
 25. 25. 25. 25. 26. 26. 26. 26. 26. 27. 27. 27. 27. 27. 28. 28. 28. 28.
 28. 29. 29. 29. 29. 29. 30. 30. 30. 30. 30. 31. 31. 31. 31. 31. 32. 32.
 32. 32. 32. 33. 33. 33. 33. 33. 34. 34. 34. 34. 34. 35. 35. 35. 35. 35.
 36. 36. 36. 36. 36. 37. 37. 37. 37. 37. 38. 38. 38. 38. 38. 39. 39. 39.
 39. 39. 40. 40. 40. 40. 40. 41. 41. 41. 41. 41. 42. 42. 42. 42. 42. 43.
 43. 43. 43. 43. 44. 44. 44. 44. 44. 45. 45. 45. 45. 45. 46. 46. 46. 46.
 46. 47. 47. 47. 47. 47. 48. 48. 48. 48. 48. 49. 49. 49. 49. 49. 50. 50.
 50. 50. 50. 51. 51. 51. 51. 51. 52. 52. 52. 52. 52. 53. 53. 53. 53. 53.
 54. 54. 54. 54. 54. 55. 55. 55. 55. 55. 56. 56. 56. 56. 56. 57. 57. 57.
 57. 57. 58. 58. 58. 58. 58. 59. 59. 59. 59. 59. 60. 60. 60. 60. 60.], shape=(305,), dtype=float32)"
FGSM,0.4,"[[ 0.29        0.15        0.09999999 ... -0.4        -0.4
   0.4       ]
 [ 0.30999997  0.16999999  0.04999998 ...  0.4        -0.4
  -0.4       ]
 [ 0.30999997  0.15        0.06       ...  0.4        -0.4
  -0.4       ]
 ...
 [ 0.26000002 -0.4         0.4        ... -0.22       -0.4
  -0.4       ]
 [ 0.27       -0.4        -0.4        ...  0.4        -0.4
  -0.4       ]
 [ 0.18999997 -0.4        -0.4        ...  0.4         0.4
  -0.4       ]]","tf.Tensor(
[ 0.  0.  0.  0.  0.  1.  1.  1.  1.  1.  2.  2.  2.  2.  2.  3.  3.  3.
  3.  3.  4.  4.  4.  4.  4.  5.  5.  5.  5.  5.  6.  6.  6.  6.  6.  7.
  7.  7.  7.  7.  8.  8.  8.  8.  8.  9.  9.  9.  9.  9. 10. 10. 10. 10.
 10. 11. 11. 11. 11. 11. 12. 12. 12. 12. 12. 13. 13. 13. 13. 13. 14. 14.
 14. 14. 14. 15. 15. 15. 15. 15. 16. 16. 16. 16. 16. 17. 17. 17. 17. 17.
 18. 18. 18. 18. 18. 19. 19. 19. 19. 19. 20. 20. 20. 20. 20. 21. 21. 21.
 21. 21. 22. 22. 22. 22. 22. 23. 23. 23. 23. 23. 24. 24. 24. 24. 24. 25.
 25. 25. 25. 25. 26. 26. 26. 26. 26. 27. 27. 27. 27. 27. 28. 28. 28. 28.
 28. 29. 29. 29. 29. 29. 30. 30. 30. 30. 30. 31. 31. 31. 31. 31. 32. 32.
 32. 32. 32. 33. 33. 33. 33. 33. 34. 34. 34. 34. 34. 35. 35. 35. 35. 35.
 36. 36. 36. 36. 36. 37. 37. 37. 37. 37. 38. 38. 38. 38. 38. 39. 39. 39.
 39. 39. 40. 40. 40. 40. 40. 41. 41. 41. 41. 41. 42. 42. 42. 42. 42. 43.
 43. 43. 43. 43. 44. 44. 44. 44. 44. 45. 45. 45. 45. 45. 46. 46. 46. 46.
 46. 47. 47. 47. 47. 47. 48. 48. 48. 48. 48. 49. 49. 49. 49. 49. 50. 50.
 50. 50. 50. 51. 51. 51. 51. 51. 52. 52. 52. 52. 52. 53. 53. 53. 53. 53.
 54. 54. 54. 54. 54. 55. 55. 55. 55. 55. 56. 56. 56. 56. 56. 57. 57. 57.
 57. 57. 58. 58. 58. 58. 58. 59. 59. 59. 59. 59. 60. 60. 60. 60. 60.], shape=(305,), dtype=float32)"
FGSM,0.5,"[[ 0.19        0.05000001  0.         ... -0.5        -0.5
   0.5       ]
 [ 0.20999998  0.06999999 -0.05000001 ...  0.5        -0.5
  -0.5       ]
 [ 0.20999998  0.05000001 -0.03999999 ...  0.5        -0.5
  -0.5       ]
 ...
 [ 0.16000003 -0.5         0.5        ... -0.32       -0.5
  -0.5       ]
 [ 0.17000002 -0.5        -0.5        ...  0.5        -0.5
  -0.5       ]
 [ 0.08999997 -0.5        -0.5        ...  0.5         0.5
  -0.5       ]]","tf.Tensor(
[ 0.  0.  0.  0.  0.  1.  1.  1.  1.  1.  2.  2.  2.  2.  2.  3.  3.  3.
  3.  3.  4.  4.  4.  4.  4.  5.  5.  5.  5.  5.  6.  6.  6.  6.  6.  7.
  7.  7.  7.  7.  8.  8.  8.  8.  8.  9.  9.  9.  9.  9. 10. 10. 10. 10.
 10. 11. 11. 11. 11. 11. 12. 12. 12. 12. 12. 13. 13. 13. 13. 13. 14. 14.
 14. 14. 14. 15. 15. 15. 15. 15. 16. 16. 16. 16. 16. 17. 17. 17. 17. 17.
 18. 18. 18. 18. 18. 19. 19. 19. 19. 19. 20. 20. 20. 20. 20. 21. 21. 21.
 21. 21. 22. 22. 22. 22. 22. 23. 23. 23. 23. 23. 24. 24. 24. 24. 24. 25.
 25. 25. 25. 25. 26. 26. 26. 26. 26. 27. 27. 27. 27. 27. 28. 28. 28. 28.
 28. 29. 29. 29. 29. 29. 30. 30. 30. 30. 30. 31. 31. 31. 31. 31. 32. 32.
 32. 32. 32. 33. 33. 33. 33. 33. 34. 34. 34. 34. 34. 35. 35. 35. 35. 35.
 36. 36. 36. 36. 36. 37. 37. 37. 37. 37. 38. 38. 38. 38. 38. 39. 39. 39.
 39. 39. 40. 40. 40. 40. 40. 41. 41. 41. 41. 41. 42. 42. 42. 42. 42. 43.
 43. 43. 43. 43. 44. 44. 44. 44. 44. 45. 45. 45. 45. 45. 46. 46. 46. 46.
 46. 47. 47. 47. 47. 47. 48. 48. 48. 48. 48. 49. 49. 49. 49. 49. 50. 50.
 50. 50. 50. 51. 51. 51. 51. 51. 52. 52. 52. 52. 52. 53. 53. 53. 53. 53.
 54. 54. 54. 54. 54. 55. 55. 55. 55. 55. 56. 56. 56. 56. 56. 57. 57. 57.
 57. 57. 58. 58. 58. 58. 58. 59. 59. 59. 59. 59. 60. 60. 60. 60. 60.], shape=(305,), dtype=float32)"
FGSM,0.6,"[[ 0.08999997 -0.05000001 -0.10000002 ... -0.6        -0.6
   0.6       ]
 [ 0.10999995 -0.03000003 -0.15000004 ...  0.6        -0.6
  -0.6       ]
 [ 0.10999995 -0.05000001 -0.14000002 ...  0.6        -0.6
  -0.6       ]
 ...
 [ 0.06       -0.6         0.6        ... -0.42000002 -0.6
  -0.6       ]
 [ 0.06999999 -0.6        -0.6        ...  0.6        -0.6
  -0.6       ]
 [-0.01000005 -0.6        -0.6        ...  0.6         0.6
  -0.6       ]]","tf.Tensor(
[ 0.  0.  0.  0.  0.  1.  1.  1.  1.  1.  2.  2.  2.  2.  2.  3.  3.  3.
  3.  3.  4.  4.  4.  4.  4.  5.  5.  5.  5.  5.  6.  6.  6.  6.  6.  7.
  7.  7.  7.  7.  8.  8.  8.  8.  8.  9.  9.  9.  9.  9. 10. 10. 10. 10.
 10. 11. 11. 11. 11. 11. 12. 12. 12. 12. 12. 13. 13. 13. 13. 13. 14. 14.
 14. 14. 14. 15. 15. 15. 15. 15. 16. 16. 16. 16. 16. 17. 17. 17. 17. 17.
 18. 18. 18. 18. 18. 19. 19. 19. 19. 19. 20. 20. 20. 20. 20. 21. 21. 21.
 21. 21. 22. 22. 22. 22. 22. 23. 23. 23. 23. 23. 24. 24. 24. 24. 24. 25.
 25. 25. 25. 25. 26. 26. 26. 26. 26. 27. 27. 27. 27. 27. 28. 28. 28. 28.
 28. 29. 29. 29. 29. 29. 30. 30. 30. 30. 30. 31. 31. 31. 31. 31. 32. 32.
 32. 32. 32. 33. 33. 33. 33. 33. 34. 34. 34. 34. 34. 35. 35. 35. 35. 35.
 36. 36. 36. 36. 36. 37. 37. 37. 37. 37. 38. 38. 38. 38. 38. 39. 39. 39.
 39. 39. 40. 40. 40. 40. 40. 41. 41. 41. 41. 41. 42. 42. 42. 42. 42. 43.
 43. 43. 43. 43. 44. 44. 44. 44. 44. 45. 45. 45. 45. 45. 46. 46. 46. 46.
 46. 47. 47. 47. 47. 47. 48. 48. 48. 48. 48. 49. 49. 49. 49. 49. 50. 50.
 50. 50. 50. 51. 51. 51. 51. 51. 52. 52. 52. 52. 52. 53. 53. 53. 53. 53.
 54. 54. 54. 54. 54. 55. 55. 55. 55. 55. 56. 56. 56. 56. 56. 57. 57. 57.
 57. 57. 58. 58. 58. 58. 58. 59. 59. 59. 59. 59. 60. 60. 60. 60. 60.], shape=(305,), dtype=float32)"
FGSM,0.7,"[[-0.00999999 -0.14999998 -0.19999999 ... -0.7        -0.7
   0.7       ]
 [ 0.00999999 -0.13       -0.25       ...  0.7        -0.7
  -0.7       ]
 [ 0.00999999 -0.14999998 -0.23999998 ...  0.7        -0.7
  -0.7       ]
 ...
 [-0.03999996 -0.7         0.7        ... -0.52       -0.7
  -0.7       ]
 [-0.02999997 -0.7        -0.7        ...  0.7        -0.7
  -0.7       ]
 [-0.11000001 -0.7        -0.7        ...  0.7         0.7
  -0.7       ]]","tf.Tensor(
[ 0.  0.  0.  0.  0.  1.  1.  1.  1.  1.  2.  2.  2.  2.  2.  3.  3.  3.
  3.  3.  4.  4.  4.  4.  4.  5.  5.  5.  5.  5.  6.  6.  6.  6.  6.  7.
  7.  7.  7.  7.  8.  8.  8.  8.  8.  9.  9.  9.  9.  9. 10. 10. 10. 10.
 10. 11. 11. 11. 11. 11. 12. 12. 12. 12. 12. 13. 13. 13. 13. 13. 14. 14.
 14. 14. 14. 15. 15. 15. 15. 15. 16. 16. 16. 16. 16. 17. 17. 17. 17. 17.
 18. 18. 18. 18. 18. 19. 19. 19. 19. 19. 20. 20. 20. 20. 20. 21. 21. 21.
 21. 21. 22. 22. 22. 22. 22. 23. 23. 23. 23. 23. 24. 24. 24. 24. 24. 25.
 25. 25. 25. 25. 26. 26. 26. 26. 26. 27. 27. 27. 27. 27. 28. 28. 28. 28.
 28. 29. 29. 29. 29. 29. 30. 30. 30. 30. 30. 31. 31. 31. 31. 31. 32. 32.
 32. 32. 32. 33. 33. 33. 33. 33. 34. 34. 34. 34. 34. 35. 35. 35. 35. 35.
 36. 36. 36. 36. 36. 37. 37. 37. 37. 37. 38. 38. 38. 38. 38. 39. 39. 39.
 39. 39. 40. 40. 40. 40. 40. 41. 41. 41. 41. 41. 42. 42. 42. 42. 42. 43.
 43. 43. 43. 43. 44. 44. 44. 44. 44. 45. 45. 45. 45. 45. 46. 46. 46. 46.
 46. 47. 47. 47. 47. 47. 48. 48. 48. 48. 48. 49. 49. 49. 49. 49. 50. 50.
 50. 50. 50. 51. 51. 51. 51. 51. 52. 52. 52. 52. 52. 53. 53. 53. 53. 53.
 54. 54. 54. 54. 54. 55. 55. 55. 55. 55. 56. 56. 56. 56. 56. 57. 57. 57.
 57. 57. 58. 58. 58. 58. 58. 59. 59. 59. 59. 59. 60. 60. 60. 60. 60.], shape=(305,), dtype=float32)"
FGSM,0.8,"[[-0.11000001 -0.25       -0.3        ... -0.8        -0.8
   0.8       ]
 [-0.09000003 -0.23000002 -0.35000002 ...  0.8        -0.8
  -0.8       ]
 [-0.09000003 -0.25       -0.34       ...  0.8        -0.8
  -0.8       ]
 ...
 [-0.13999999 -0.8         0.8        ... -0.62       -0.8
  -0.8       ]
 [-0.13       -0.8        -0.8        ...  0.8        -0.8
  -0.8       ]
 [-0.21000004 -0.8        -0.8        ...  0.8         0.8
  -0.8       ]]","tf.Tensor(
[ 0.  0.  0.  0.  0.  1.  1.  1.  1.  1.  2.  2.  2.  2.  2.  3.  3.  3.
  3.  3.  4.  4.  4.  4.  4.  5.  5.  5.  5.  5.  6.  6.  6.  6.  6.  7.
  7.  7.  7.  7.  8.  8.  8.  8.  8.  9.  9.  9.  9.  9. 10. 10. 10. 10.
 10. 11. 11. 11. 11. 11. 12. 12. 12. 12. 12. 13. 13. 13. 13. 13. 14. 14.
 14. 14. 14. 15. 15. 15. 15. 15. 16. 16. 16. 16. 16. 17. 17. 17. 17. 17.
 18. 18. 18. 18. 18. 19. 19. 19. 19. 19. 20. 20. 20. 20. 20. 21. 21. 21.
 21. 21. 22. 22. 22. 22. 22. 23. 23. 23. 23. 23. 24. 24. 24. 24. 24. 25.
 25. 25. 25. 25. 26. 26. 26. 26. 26. 27. 27. 27. 27. 27. 28. 28. 28. 28.
 28. 29. 29. 29. 29. 29. 30. 30. 30. 30. 30. 31. 31. 31. 31. 31. 32. 32.
 32. 32. 32. 33. 33. 33. 33. 33. 34. 34. 34. 34. 34. 35. 35. 35. 35. 35.
 36. 36. 36. 36. 36. 37. 37. 37. 37. 37. 38. 38. 38. 38. 38. 39. 39. 39.
 39. 39. 40. 40. 40. 40. 40. 41. 41. 41. 41. 41. 42. 42. 42. 42. 42. 43.
 43. 43. 43. 43. 44. 44. 44. 44. 44. 45. 45. 45. 45. 45. 46. 46. 46. 46.
 46. 47. 47. 47. 47. 47. 48. 48. 48. 48. 48. 49. 49. 49. 49. 49. 50. 50.
 50. 50. 50. 51. 51. 51. 51. 51. 52. 52. 52. 52. 52. 53. 53. 53. 53. 53.
 54. 54. 54. 54. 54. 55. 55. 55. 55. 55. 56. 56. 56. 56. 56. 57. 57. 57.
 57. 57. 58. 58. 58. 58. 58. 59. 59. 59. 59. 59. 60. 60. 60. 60. 60.], shape=(305,), dtype=float32)"
FGSM,0.9,"[[-0.20999998 -0.34999996 -0.39999998 ... -0.9        -0.9
   0.9       ]
 [-0.19       -0.32999998 -0.45       ...  0.9        -0.9
  -0.9       ]
 [-0.19       -0.34999996 -0.43999997 ...  0.9        -0.9
  -0.9       ]
 ...
 [-0.23999995 -0.9         0.9        ... -0.71999997 -0.9
  -0.9       ]
 [-0.22999996 -0.9        -0.9        ...  0.9        -0.9
  -0.9       ]
 [-0.31       -0.9        -0.9        ...  0.9         0.9
  -0.9       ]]","tf.Tensor(
[ 0.  0.  0.  0.  0.  1.  1.  1.  1.  1.  2.  2.  2.  2.  2.  3.  3.  3.
  3.  3.  4.  4.  4.  4.  4.  5.  5.  5.  5.  5.  6.  6.  6.  6.  6.  7.
  7.  7.  7.  7.  8.  8.  8.  8.  8.  9.  9.  9.  9.  9. 10. 10. 10. 10.
 10. 11. 11. 11. 11. 11. 12. 12. 12. 12. 12. 13. 13. 13. 13. 13. 14. 14.
 14. 14. 14. 15. 15. 15. 15. 15. 16. 16. 16. 16. 16. 17. 17. 17. 17. 17.
 18. 18. 18. 18. 18. 19. 19. 19. 19. 19. 20. 20. 20. 20. 20. 21. 21. 21.
 21. 21. 22. 22. 22. 22. 22. 23. 23. 23. 23. 23. 24. 24. 24. 24. 24. 25.
 25. 25. 25. 25. 26. 26. 26. 26. 26. 27. 27. 27. 27. 27. 28. 28. 28. 28.
 28. 29. 29. 29. 29. 29. 30. 30. 30. 30. 30. 31. 31. 31. 31. 31. 32. 32.
 32. 32. 32. 33. 33. 33. 33. 33. 34. 34. 34. 34. 34. 35. 35. 35. 35. 35.
 36. 36. 36. 36. 36. 37. 37. 37. 37. 37. 38. 38. 38. 38. 38. 39. 39. 39.
 39. 39. 40. 40. 40. 40. 40. 41. 41. 41. 41. 41. 42. 42. 42. 42. 42. 43.
 43. 43. 43. 43. 44. 44. 44. 44. 44. 45. 45. 45. 45. 45. 46. 46. 46. 46.
 46. 47. 47. 47. 47. 47. 48. 48. 48. 48. 48. 49. 49. 49. 49. 49. 50. 50.
 50. 50. 50. 51. 51. 51. 51. 51. 52. 52. 52. 52. 52. 53. 53. 53. 53. 53.
 54. 54. 54. 54. 54. 55. 55. 55. 55. 55. 56. 56. 56. 56. 56. 57. 57. 57.
 57. 57. 58. 58. 58. 58. 58. 59. 59. 59. 59. 59. 60. 60. 60. 60. 60.], shape=(305,), dtype=float32)"
FGSM,1.0,"[[-0.31       -0.45       -0.5        ... -1.         -1.
   1.        ]
 [-0.29000002 -0.43       -0.55       ...  1.         -1.
  -1.        ]
 [-0.29000002 -0.45       -0.53999996 ...  1.         -1.
  -1.        ]
 ...
 [-0.33999997 -1.          1.         ... -0.82       -1.
  -1.        ]
 [-0.32999998 -1.         -1.         ...  1.         -1.
  -1.        ]
 [-0.41000003 -1.         -1.         ...  1.          1.
  -1.        ]]","tf.Tensor(
[ 0.  0.  0.  0.  0.  1.  1.  1.  1.  1.  2.  2.  2.  2.  2.  3.  3.  3.
  3.  3.  4.  4.  4.  4.  4.  5.  5.  5.  5.  5.  6.  6.  6.  6.  6.  7.
  7.  7.  7.  7.  8.  8.  8.  8.  8.  9.  9.  9.  9.  9. 10. 10. 10. 10.
 10. 11. 11. 11. 11. 11. 12. 12. 12. 12. 12. 13. 13. 13. 13. 13. 14. 14.
 14. 14. 14. 15. 15. 15. 15. 15. 16. 16. 16. 16. 16. 17. 17. 17. 17. 17.
 18. 18. 18. 18. 18. 19. 19. 19. 19. 19. 20. 20. 20. 20. 20. 21. 21. 21.
 21. 21. 22. 22. 22. 22. 22. 23. 23. 23. 23. 23. 24. 24. 24. 24. 24. 25.
 25. 25. 25. 25. 26. 26. 26. 26. 26. 27. 27. 27. 27. 27. 28. 28. 28. 28.
 28. 29. 29. 29. 29. 29. 30. 30. 30. 30. 30. 31. 31. 31. 31. 31. 32. 32.
 32. 32. 32. 33. 33. 33. 33. 33. 34. 34. 34. 34. 34. 35. 35. 35. 35. 35.
 36. 36. 36. 36. 36. 37. 37. 37. 37. 37. 38. 38. 38. 38. 38. 39. 39. 39.
 39. 39. 40. 40. 40. 40. 40. 41. 41. 41. 41. 41. 42. 42. 42. 42. 42. 43.
 43. 43. 43. 43. 44. 44. 44. 44. 44. 45. 45. 45. 45. 45. 46. 46. 46. 46.
 46. 47. 47. 47. 47. 47. 48. 48. 48. 48. 48. 49. 49. 49. 49. 49. 50. 50.
 50. 50. 50. 51. 51. 51. 51. 51. 52. 52. 52. 52. 52. 53. 53. 53. 53. 53.
 54. 54. 54. 54. 54. 55. 55. 55. 55. 55. 56. 56. 56. 56. 56. 57. 57. 57.
 57. 57. 58. 58. 58. 58. 58. 59. 59. 59. 59. 59. 60. 60. 60. 60. 60.], shape=(305,), dtype=float32)"
