Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.0625,2.5,0.0,12.0
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.0625,2.5,0.0,12.0
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.0625,2.5,0.0,12.0
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.0625,2.5,0.0,12.0
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.0625,2.5,0.0,12.0
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.0625,2.5,0.0,12.0
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.0625,2.5,0.0,12.0
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.0625,2.5,0.0,12.0
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.0625,2.5,0.0,12.0
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.0625,2.5,0.0,12.0
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.75,1.0,0.0,8.0
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.75,1.0,0.0,8.0
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.75,1.0,0.0,8.0
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.75,1.0,0.0,8.0
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.75,1.0,0.0,8.0
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.75,1.0,0.0,8.0
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.75,1.0,0.0,8.0
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.75,1.0,0.0,8.0
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.75,1.0,0.0,8.0
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.75,1.0,0.0,8.0
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,4.125,3.0,0.0,11.0
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,4.125,3.0,0.0,11.0
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,4.125,3.0,0.0,11.0
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,4.125,3.0,0.0,11.0
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,4.125,3.0,0.0,11.0
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,4.125,3.0,0.0,11.0
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,4.125,3.0,0.0,11.0
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,4.125,3.0,0.0,11.0
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,4.125,3.0,0.0,11.0
