Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,4.806818181818182,2.0,0.0,87.0
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,4.806818181818182,2.0,0.0,87.0
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,4.806818181818182,2.0,0.0,87.0
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,4.806818181818182,2.0,0.0,87.0
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,4.806818181818182,2.0,0.0,87.0
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,4.806818181818182,2.0,0.0,87.0
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,4.806818181818182,2.0,0.0,87.0
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,4.806818181818182,2.0,0.0,87.0
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,4.806818181818182,2.0,0.0,87.0
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,4.806818181818182,2.0,0.0,87.0
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.8238636363636362,2.0,0.0,87.0
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.8238636363636362,2.0,0.0,87.0
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.8238636363636362,2.0,0.0,87.0
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.8238636363636362,2.0,0.0,87.0
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.8238636363636362,2.0,0.0,87.0
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.8238636363636362,2.0,0.0,87.0
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.8238636363636362,2.0,0.0,87.0
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.8238636363636362,2.0,0.0,87.0
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.8238636363636362,2.0,0.0,87.0
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.8238636363636362,2.0,0.0,87.0
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.551136363636363,3.0,0.0,85.0
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.551136363636363,3.0,0.0,85.0
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.551136363636363,3.0,0.0,85.0
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.551136363636363,3.0,0.0,85.0
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.551136363636363,3.0,0.0,85.0
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.551136363636363,3.0,0.0,85.0
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.551136363636363,3.0,0.0,85.0
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.551136363636363,3.0,0.0,85.0
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.551136363636363,3.0,0.0,85.0
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.551136363636363,3.0,0.0,85.0
glover,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.971590909090909,1.0,0.0,87.0
glover,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.971590909090909,1.0,0.0,87.0
glover,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.971590909090909,1.0,0.0,87.0
glover,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.971590909090909,1.0,0.0,87.0
glover,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.971590909090909,1.0,0.0,87.0
glover,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.971590909090909,1.0,0.0,87.0
glover,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.971590909090909,1.0,0.0,87.0
glover,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.971590909090909,1.0,0.0,87.0
glover,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.971590909090909,1.0,0.0,87.0
glover,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.971590909090909,1.0,0.0,87.0
glover,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.21022727272727273,0.0,0.0,4.0
glover,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.21022727272727273,0.0,0.0,4.0
glover,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.21022727272727273,0.0,0.0,4.0
glover,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.21022727272727273,0.0,0.0,4.0
glover,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.21022727272727273,0.0,0.0,4.0
glover,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.21022727272727273,0.0,0.0,4.0
glover,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.21022727272727273,0.0,0.0,4.0
glover,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.21022727272727273,0.0,0.0,4.0
glover,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.21022727272727273,0.0,0.0,4.0
glover,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.21022727272727273,0.0,0.0,4.0
glover,S7,ORIGINAL,0.0,ORIGINAL,0.0,3.8693181818181817,1.0,0.0,87.0
glover,S7,ORIGINAL,0.0,ORIGINAL,0.0,3.8693181818181817,1.0,0.0,87.0
glover,S7,ORIGINAL,0.0,ORIGINAL,0.0,3.8693181818181817,1.0,0.0,87.0
glover,S7,ORIGINAL,0.0,ORIGINAL,0.0,3.8693181818181817,1.0,0.0,87.0
glover,S7,ORIGINAL,0.0,ORIGINAL,0.0,3.8693181818181817,1.0,0.0,87.0
glover,S7,ORIGINAL,0.0,ORIGINAL,0.0,3.8693181818181817,1.0,0.0,87.0
glover,S7,ORIGINAL,0.0,ORIGINAL,0.0,3.8693181818181817,1.0,0.0,87.0
glover,S7,ORIGINAL,0.0,ORIGINAL,0.0,3.8693181818181817,1.0,0.0,87.0
glover,S7,ORIGINAL,0.0,ORIGINAL,0.0,3.8693181818181817,1.0,0.0,87.0
glover,S7,ORIGINAL,0.0,ORIGINAL,0.0,3.8693181818181817,1.0,0.0,87.0
glover,BLU,SAE,0.0,ORIGINAL,0.0,4.4602272727272725,2.0,0.0,87.0
glover,BLU,SAE,0.0,ORIGINAL,0.0,4.4602272727272725,2.0,0.0,87.0
glover,BLU,SAE,0.0,ORIGINAL,0.0,4.4602272727272725,2.0,0.0,87.0
glover,BLU,SAE,0.0,ORIGINAL,0.0,4.4602272727272725,2.0,0.0,87.0
glover,BLU,SAE,0.0,ORIGINAL,0.0,4.4602272727272725,2.0,0.0,87.0
glover,BLU,SAE,0.0,ORIGINAL,0.0,4.4602272727272725,2.0,0.0,87.0
glover,BLU,SAE,0.0,ORIGINAL,0.0,4.4602272727272725,2.0,0.0,87.0
glover,BLU,SAE,0.0,ORIGINAL,0.0,4.4602272727272725,2.0,0.0,87.0
glover,BLU,SAE,0.0,ORIGINAL,0.0,4.4602272727272725,2.0,0.0,87.0
glover,BLU,SAE,0.0,ORIGINAL,0.0,4.4602272727272725,2.0,0.0,87.0
glover,HTC,SAE,0.0,ORIGINAL,0.0,5.448863636363637,2.0,0.0,87.0
glover,HTC,SAE,0.0,ORIGINAL,0.0,5.448863636363637,2.0,0.0,87.0
glover,HTC,SAE,0.0,ORIGINAL,0.0,5.448863636363637,2.0,0.0,87.0
glover,HTC,SAE,0.0,ORIGINAL,0.0,5.448863636363637,2.0,0.0,87.0
glover,HTC,SAE,0.0,ORIGINAL,0.0,5.448863636363637,2.0,0.0,87.0
glover,HTC,SAE,0.0,ORIGINAL,0.0,5.448863636363637,2.0,0.0,87.0
glover,HTC,SAE,0.0,ORIGINAL,0.0,5.448863636363637,2.0,0.0,87.0
glover,HTC,SAE,0.0,ORIGINAL,0.0,5.448863636363637,2.0,0.0,87.0
glover,HTC,SAE,0.0,ORIGINAL,0.0,5.448863636363637,2.0,0.0,87.0
glover,HTC,SAE,0.0,ORIGINAL,0.0,5.448863636363637,2.0,0.0,87.0
glover,LG,SAE,0.0,ORIGINAL,0.0,5.528409090909091,3.0,0.0,87.0
glover,LG,SAE,0.0,ORIGINAL,0.0,5.528409090909091,3.0,0.0,87.0
glover,LG,SAE,0.0,ORIGINAL,0.0,5.528409090909091,3.0,0.0,87.0
glover,LG,SAE,0.0,ORIGINAL,0.0,5.528409090909091,3.0,0.0,87.0
glover,LG,SAE,0.0,ORIGINAL,0.0,5.528409090909091,3.0,0.0,87.0
glover,LG,SAE,0.0,ORIGINAL,0.0,5.528409090909091,3.0,0.0,87.0
glover,LG,SAE,0.0,ORIGINAL,0.0,5.528409090909091,3.0,0.0,87.0
glover,LG,SAE,0.0,ORIGINAL,0.0,5.528409090909091,3.0,0.0,87.0
glover,LG,SAE,0.0,ORIGINAL,0.0,5.528409090909091,3.0,0.0,87.0
glover,LG,SAE,0.0,ORIGINAL,0.0,5.528409090909091,3.0,0.0,87.0
glover,MOTO,SAE,0.0,ORIGINAL,0.0,3.3068181818181817,1.0,0.0,86.0
glover,MOTO,SAE,0.0,ORIGINAL,0.0,3.3068181818181817,1.0,0.0,86.0
glover,MOTO,SAE,0.0,ORIGINAL,0.0,3.3068181818181817,1.0,0.0,86.0
glover,MOTO,SAE,0.0,ORIGINAL,0.0,3.3068181818181817,1.0,0.0,86.0
