Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.083333333333333,2.0,0.0,44.0
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.083333333333333,2.0,0.0,44.0
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.083333333333333,2.0,0.0,44.0
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.083333333333333,2.0,0.0,44.0
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.083333333333333,2.0,0.0,44.0
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.083333333333333,2.0,0.0,44.0
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.083333333333333,2.0,0.0,44.0
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.083333333333333,2.0,0.0,44.0
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.083333333333333,2.0,0.0,44.0
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.083333333333333,2.0,0.0,44.0
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,7.95,3.0,0.0,44.0
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,7.95,3.0,0.0,44.0
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,7.95,3.0,0.0,44.0
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,7.95,3.0,0.0,44.0
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,7.95,3.0,0.0,44.0
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,7.95,3.0,0.0,44.0
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,7.95,3.0,0.0,44.0
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,7.95,3.0,0.0,44.0
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,7.95,3.0,0.0,44.0
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,7.95,3.0,0.0,44.0
libstudy,LG,ORIGINAL,0.0,ORIGINAL,0.0,15.95,7.0,0.0,54.0
libstudy,LG,ORIGINAL,0.0,ORIGINAL,0.0,15.95,7.0,0.0,54.0
libstudy,LG,ORIGINAL,0.0,ORIGINAL,0.0,15.95,7.0,0.0,54.0
libstudy,LG,ORIGINAL,0.0,ORIGINAL,0.0,15.95,7.0,0.0,54.0
libstudy,LG,ORIGINAL,0.0,ORIGINAL,0.0,15.95,7.0,0.0,54.0
libstudy,LG,ORIGINAL,0.0,ORIGINAL,0.0,15.95,7.0,0.0,54.0
libstudy,LG,ORIGINAL,0.0,ORIGINAL,0.0,15.95,7.0,0.0,54.0
libstudy,LG,ORIGINAL,0.0,ORIGINAL,0.0,15.95,7.0,0.0,54.0
libstudy,LG,ORIGINAL,0.0,ORIGINAL,0.0,15.95,7.0,0.0,54.0
libstudy,LG,ORIGINAL,0.0,ORIGINAL,0.0,15.95,7.0,0.0,54.0
libstudy,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,3.4583333333333335,1.0,0.0,41.0
libstudy,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,3.4583333333333335,1.0,0.0,41.0
libstudy,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,3.4583333333333335,1.0,0.0,41.0
libstudy,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,3.4583333333333335,1.0,0.0,41.0
libstudy,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,3.4583333333333335,1.0,0.0,41.0
libstudy,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,3.4583333333333335,1.0,0.0,41.0
libstudy,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,3.4583333333333335,1.0,0.0,41.0
libstudy,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,3.4583333333333335,1.0,0.0,41.0
libstudy,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,3.4583333333333335,1.0,0.0,41.0
libstudy,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,3.4583333333333335,1.0,0.0,41.0
libstudy,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.075,0.0,0.0,4.0
libstudy,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.075,0.0,0.0,4.0
libstudy,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.075,0.0,0.0,4.0
libstudy,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.075,0.0,0.0,4.0
libstudy,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.075,0.0,0.0,4.0
libstudy,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.075,0.0,0.0,4.0
libstudy,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.075,0.0,0.0,4.0
libstudy,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.075,0.0,0.0,4.0
libstudy,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.075,0.0,0.0,4.0
libstudy,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.075,0.0,0.0,4.0
libstudy,S7,ORIGINAL,0.0,ORIGINAL,0.0,5.408333333333333,2.0,0.0,46.0
libstudy,S7,ORIGINAL,0.0,ORIGINAL,0.0,5.408333333333333,2.0,0.0,46.0
libstudy,S7,ORIGINAL,0.0,ORIGINAL,0.0,5.408333333333333,2.0,0.0,46.0
libstudy,S7,ORIGINAL,0.0,ORIGINAL,0.0,5.408333333333333,2.0,0.0,46.0
libstudy,S7,ORIGINAL,0.0,ORIGINAL,0.0,5.408333333333333,2.0,0.0,46.0
libstudy,S7,ORIGINAL,0.0,ORIGINAL,0.0,5.408333333333333,2.0,0.0,46.0
libstudy,S7,ORIGINAL,0.0,ORIGINAL,0.0,5.408333333333333,2.0,0.0,46.0
libstudy,S7,ORIGINAL,0.0,ORIGINAL,0.0,5.408333333333333,2.0,0.0,46.0
libstudy,S7,ORIGINAL,0.0,ORIGINAL,0.0,5.408333333333333,2.0,0.0,46.0
libstudy,S7,ORIGINAL,0.0,ORIGINAL,0.0,5.408333333333333,2.0,0.0,46.0
libstudy,BLU,SAE,0.0,ORIGINAL,0.0,4.483333333333333,2.0,0.0,42.0
libstudy,BLU,SAE,0.0,ORIGINAL,0.0,4.483333333333333,2.0,0.0,42.0
libstudy,BLU,SAE,0.0,ORIGINAL,0.0,4.483333333333333,2.0,0.0,42.0
libstudy,BLU,SAE,0.0,ORIGINAL,0.0,4.483333333333333,2.0,0.0,42.0
libstudy,BLU,SAE,0.0,ORIGINAL,0.0,4.483333333333333,2.0,0.0,42.0
libstudy,BLU,SAE,0.0,ORIGINAL,0.0,4.483333333333333,2.0,0.0,42.0
libstudy,BLU,SAE,0.0,ORIGINAL,0.0,4.483333333333333,2.0,0.0,42.0
libstudy,BLU,SAE,0.0,ORIGINAL,0.0,4.483333333333333,2.0,0.0,42.0
libstudy,BLU,SAE,0.0,ORIGINAL,0.0,4.483333333333333,2.0,0.0,42.0
