Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.823529411764706,2.0,0.0,66.0
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.823529411764706,2.0,0.0,66.0
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.823529411764706,2.0,0.0,66.0
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.823529411764706,2.0,0.0,66.0
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.823529411764706,2.0,0.0,66.0
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.823529411764706,2.0,0.0,66.0
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.823529411764706,2.0,0.0,66.0
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.823529411764706,2.0,0.0,66.0
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.823529411764706,2.0,0.0,66.0
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.823529411764706,2.0,0.0,66.0
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.514705882352941,3.0,0.0,26.0
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.514705882352941,3.0,0.0,26.0
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.514705882352941,3.0,0.0,26.0
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.514705882352941,3.0,0.0,26.0
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.514705882352941,3.0,0.0,26.0
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.514705882352941,3.0,0.0,26.0
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.514705882352941,3.0,0.0,26.0
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.514705882352941,3.0,0.0,26.0
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.514705882352941,3.0,0.0,26.0
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.514705882352941,3.0,0.0,26.0
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.647058823529412,5.0,0.0,54.0
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.647058823529412,5.0,0.0,54.0
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.647058823529412,5.0,0.0,54.0
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.647058823529412,5.0,0.0,54.0
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.647058823529412,5.0,0.0,54.0
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.647058823529412,5.0,0.0,54.0
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.647058823529412,5.0,0.0,54.0
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.647058823529412,5.0,0.0,54.0
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.647058823529412,5.0,0.0,54.0
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.647058823529412,5.0,0.0,54.0
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.6911764705882353,1.0,0.0,6.0
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.6911764705882353,1.0,0.0,6.0
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.6911764705882353,1.0,0.0,6.0
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.6911764705882353,1.0,0.0,6.0
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.6911764705882353,1.0,0.0,6.0
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.6911764705882353,1.0,0.0,6.0
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.6911764705882353,1.0,0.0,6.0
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.6911764705882353,1.0,0.0,6.0
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.6911764705882353,1.0,0.0,6.0
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.6911764705882353,1.0,0.0,6.0
sciences,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.3602941176470588,0.0,0.0,8.0
sciences,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.3602941176470588,0.0,0.0,8.0
sciences,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.3602941176470588,0.0,0.0,8.0
sciences,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.3602941176470588,0.0,0.0,8.0
