Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
engr1,BLU,ORIGINAL,0.1,FGSM,0.1,9.104166666666666,6.0,0,34
engr1,HTC,ORIGINAL,0.1,FGSM,0.1,9.104166666666666,6.0,0,34
engr1,LG,ORIGINAL,0.1,FGSM,0.1,9.104166666666666,6.0,0,34
engr1,MOTO,ORIGINAL,0.1,FGSM,0.1,9.104166666666666,6.0,0,34
engr1,OP3,ORIGINAL,0.1,FGSM,0.1,9.104166666666666,6.0,0,34
engr1,S7,ORIGINAL,0.1,FGSM,0.1,9.104166666666666,6.0,0,34
engr1,BLU,ORIGINAL,0.1,FGSM,0.2,9.833333333333334,7.5,0,37
engr1,HTC,ORIGINAL,0.1,FGSM,0.2,9.833333333333334,7.5,0,37
engr1,LG,ORIGINAL,0.1,FGSM,0.2,9.833333333333334,7.5,0,37
engr1,MOTO,ORIGINAL,0.1,FGSM,0.2,9.833333333333334,7.5,0,37
engr1,OP3,ORIGINAL,0.1,FGSM,0.2,9.833333333333334,7.5,0,37
engr1,S7,ORIGINAL,0.1,FGSM,0.2,9.833333333333334,7.5,0,37
engr1,BLU,ORIGINAL,0.1,FGSM,0.3,10.020833333333334,7.5,0,37
engr1,HTC,ORIGINAL,0.1,FGSM,0.3,10.020833333333334,7.5,0,37
engr1,LG,ORIGINAL,0.1,FGSM,0.3,10.020833333333334,7.5,0,37
engr1,MOTO,ORIGINAL,0.1,FGSM,0.3,10.020833333333334,7.5,0,37
engr1,OP3,ORIGINAL,0.1,FGSM,0.3,10.020833333333334,7.5,0,37
engr1,S7,ORIGINAL,0.1,FGSM,0.3,10.020833333333334,7.5,0,37
engr1,BLU,ORIGINAL,0.1,FGSM,0.4,10.395833333333334,8.0,0,37
engr1,HTC,ORIGINAL,0.1,FGSM,0.4,10.395833333333334,8.0,0,37
engr1,LG,ORIGINAL,0.1,FGSM,0.4,10.395833333333334,8.0,0,37
engr1,MOTO,ORIGINAL,0.1,FGSM,0.4,10.395833333333334,8.0,0,37
engr1,OP3,ORIGINAL,0.1,FGSM,0.4,10.395833333333334,8.0,0,37
engr1,S7,ORIGINAL,0.1,FGSM,0.4,10.395833333333334,8.0,0,37
engr1,BLU,ORIGINAL,0.1,FGSM,0.5,10.375,8.0,0,37
engr1,HTC,ORIGINAL,0.1,FGSM,0.5,10.375,8.0,0,37
engr1,LG,ORIGINAL,0.1,FGSM,0.5,10.375,8.0,0,37
engr1,MOTO,ORIGINAL,0.1,FGSM,0.5,10.375,8.0,0,37
engr1,OP3,ORIGINAL,0.1,FGSM,0.5,10.375,8.0,0,37
engr1,S7,ORIGINAL,0.1,FGSM,0.5,10.375,8.0,0,37
engr1,BLU,ORIGINAL,0.1,FGSM,0.6,10.541666666666666,8.0,0,37
engr1,HTC,ORIGINAL,0.1,FGSM,0.6,10.541666666666666,8.0,0,37
engr1,LG,ORIGINAL,0.1,FGSM,0.6,10.541666666666666,8.0,0,37
engr1,MOTO,ORIGINAL,0.1,FGSM,0.6,10.541666666666666,8.0,0,37
engr1,OP3,ORIGINAL,0.1,FGSM,0.6,10.541666666666666,8.0,0,37
engr1,S7,ORIGINAL,0.1,FGSM,0.6,10.541666666666666,8.0,0,37
engr1,BLU,ORIGINAL,0.1,FGSM,0.7,10.520833333333334,8.0,0,37
engr1,HTC,ORIGINAL,0.1,FGSM,0.7,10.520833333333334,8.0,0,37
engr1,LG,ORIGINAL,0.1,FGSM,0.7,10.520833333333334,8.0,0,37
engr1,MOTO,ORIGINAL,0.1,FGSM,0.7,10.520833333333334,8.0,0,37
engr1,OP3,ORIGINAL,0.1,FGSM,0.7,10.520833333333334,8.0,0,37
engr1,S7,ORIGINAL,0.1,FGSM,0.7,10.520833333333334,8.0,0,37
engr1,BLU,ORIGINAL,0.1,FGSM,0.8,10.520833333333334,8.0,0,37
engr1,HTC,ORIGINAL,0.1,FGSM,0.8,10.520833333333334,8.0,0,37
engr1,LG,ORIGINAL,0.1,FGSM,0.8,10.520833333333334,8.0,0,37
engr1,MOTO,ORIGINAL,0.1,FGSM,0.8,10.520833333333334,8.0,0,37
engr1,OP3,ORIGINAL,0.1,FGSM,0.8,10.520833333333334,8.0,0,37
engr1,S7,ORIGINAL,0.1,FGSM,0.8,10.520833333333334,8.0,0,37
engr1,BLU,ORIGINAL,0.1,FGSM,0.9,10.354166666666666,8.0,0,37
engr1,HTC,ORIGINAL,0.1,FGSM,0.9,10.354166666666666,8.0,0,37
