Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
glover,BLU,ORIGINAL,0.1,ORIGINAL,0.1,4.579545454545454,1.5,0,86
glover,HTC,ORIGINAL,0.1,ORIGINAL,0.1,4.579545454545454,1.5,0,86
glover,LG,ORIGINAL,0.1,ORIGINAL,0.1,4.579545454545454,1.5,0,86
glover,MOTO,ORIGINAL,0.1,ORIGINAL,0.1,4.579545454545454,1.5,0,86
glover,OP3,ORIGINAL,0.1,ORIGINAL,0.1,4.579545454545454,1.5,0,86
glover,S7,ORIGINAL,0.1,ORIGINAL,0.1,4.579545454545454,1.5,0,86
glover,BLU,SAE,0.1,ORIGINAL,0.1,3.465909090909091,0.0,0,86
glover,HTC,SAE,0.1,ORIGINAL,0.1,3.465909090909091,0.0,0,86
glover,LG,SAE,0.1,ORIGINAL,0.1,3.465909090909091,0.0,0,86
glover,MOTO,SAE,0.1,ORIGINAL,0.1,3.465909090909091,0.0,0,86
glover,OP3,SAE,0.1,ORIGINAL,0.1,3.465909090909091,0.0,0,86
glover,S7,SAE,0.1,ORIGINAL,0.1,3.465909090909091,0.0,0,86
glover,BLU,STACKED_SAE,0.1,ORIGINAL,0.1,2.034090909090909,0.0,0,87
glover,HTC,STACKED_SAE,0.1,ORIGINAL,0.1,2.034090909090909,0.0,0,87
glover,LG,STACKED_SAE,0.1,ORIGINAL,0.1,2.034090909090909,0.0,0,87
glover,MOTO,STACKED_SAE,0.1,ORIGINAL,0.1,2.034090909090909,0.0,0,87
glover,OP3,STACKED_SAE,0.1,ORIGINAL,0.1,2.034090909090909,0.0,0,87
glover,S7,STACKED_SAE,0.1,ORIGINAL,0.1,2.034090909090909,0.0,0,87
glover,BLU,GAN,0.1,ORIGINAL,0.1,6.9375,2.0,0,84
glover,HTC,GAN,0.1,ORIGINAL,0.1,6.9375,2.0,0,84
glover,LG,GAN,0.1,ORIGINAL,0.1,6.9375,2.0,0,84
glover,MOTO,GAN,0.1,ORIGINAL,0.1,6.9375,2.0,0,84
glover,OP3,GAN,0.1,ORIGINAL,0.1,6.9375,2.0,0,84
glover,S7,GAN,0.1,ORIGINAL,0.1,6.9375,2.0,0,84
glover,BLU,FGSM,0.1,ORIGINAL,0.1,1.2443181818181819,0.0,0,13
glover,HTC,FGSM,0.1,ORIGINAL,0.1,1.2443181818181819,0.0,0,13
glover,LG,FGSM,0.1,ORIGINAL,0.1,1.2443181818181819,0.0,0,13
glover,MOTO,FGSM,0.1,ORIGINAL,0.1,1.2443181818181819,0.0,0,13
glover,OP3,FGSM,0.1,ORIGINAL,0.1,1.2443181818181819,0.0,0,13
glover,S7,FGSM,0.1,ORIGINAL,0.1,1.2443181818181819,0.0,0,13
glover,BLU,FGSM,0.2,ORIGINAL,0.1,1.1022727272727273,0.0,0,16
glover,HTC,FGSM,0.2,ORIGINAL,0.1,1.1022727272727273,0.0,0,16
glover,LG,FGSM,0.2,ORIGINAL,0.1,1.1022727272727273,0.0,0,16
glover,MOTO,FGSM,0.2,ORIGINAL,0.1,1.1022727272727273,0.0,0,16
glover,OP3,FGSM,0.2,ORIGINAL,0.1,1.1022727272727273,0.0,0,16
glover,S7,FGSM,0.2,ORIGINAL,0.1,1.1022727272727273,0.0,0,16
glover,BLU,FGSM,0.3,ORIGINAL,0.1,1.9147727272727273,0.0,0,86
glover,HTC,FGSM,0.3,ORIGINAL,0.1,1.9147727272727273,0.0,0,86
glover,LG,FGSM,0.3,ORIGINAL,0.1,1.9147727272727273,0.0,0,86
glover,MOTO,FGSM,0.3,ORIGINAL,0.1,1.9147727272727273,0.0,0,86
glover,OP3,FGSM,0.3,ORIGINAL,0.1,1.9147727272727273,0.0,0,86
glover,S7,FGSM,0.3,ORIGINAL,0.1,1.9147727272727273,0.0,0,86
glover,BLU,FGSM,0.4,ORIGINAL,0.1,2.215909090909091,1.0,0,86
glover,HTC,FGSM,0.4,ORIGINAL,0.1,2.215909090909091,1.0,0,86
glover,LG,FGSM,0.4,ORIGINAL,0.1,2.215909090909091,1.0,0,86
glover,MOTO,FGSM,0.4,ORIGINAL,0.1,2.215909090909091,1.0,0,86
glover,OP3,FGSM,0.4,ORIGINAL,0.1,2.215909090909091,1.0,0,86
glover,S7,FGSM,0.4,ORIGINAL,0.1,2.215909090909091,1.0,0,86
glover,BLU,FGSM,0.5,ORIGINAL,0.1,1.4488636363636365,1.0,0,13
glover,HTC,FGSM,0.5,ORIGINAL,0.1,1.4488636363636365,1.0,0,13
glover,LG,FGSM,0.5,ORIGINAL,0.1,1.4488636363636365,1.0,0,13
glover,MOTO,FGSM,0.5,ORIGINAL,0.1,1.4488636363636365,1.0,0,13
glover,OP3,FGSM,0.5,ORIGINAL,0.1,1.4488636363636365,1.0,0,13
glover,S7,FGSM,0.5,ORIGINAL,0.1,1.4488636363636365,1.0,0,13
glover,BLU,FGSM,0.6,ORIGINAL,0.1,4.556818181818182,2.0,0,86
glover,HTC,FGSM,0.6,ORIGINAL,0.1,4.556818181818182,2.0,0,86
glover,LG,FGSM,0.6,ORIGINAL,0.1,4.556818181818182,2.0,0,86
glover,MOTO,FGSM,0.6,ORIGINAL,0.1,4.556818181818182,2.0,0,86
glover,OP3,FGSM,0.6,ORIGINAL,0.1,4.556818181818182,2.0,0,86
glover,S7,FGSM,0.6,ORIGINAL,0.1,4.556818181818182,2.0,0,86
glover,BLU,FGSM,0.7,ORIGINAL,0.1,2.022727272727273,1.0,0,86
glover,HTC,FGSM,0.7,ORIGINAL,0.1,2.022727272727273,1.0,0,86
glover,LG,FGSM,0.7,ORIGINAL,0.1,2.022727272727273,1.0,0,86
glover,MOTO,FGSM,0.7,ORIGINAL,0.1,2.022727272727273,1.0,0,86
glover,OP3,FGSM,0.7,ORIGINAL,0.1,2.022727272727273,1.0,0,86
glover,S7,FGSM,0.7,ORIGINAL,0.1,2.022727272727273,1.0,0,86
glover,BLU,FGSM,0.8,ORIGINAL,0.1,1.4602272727272727,1.0,0,14
glover,HTC,FGSM,0.8,ORIGINAL,0.1,1.4602272727272727,1.0,0,14
glover,LG,FGSM,0.8,ORIGINAL,0.1,1.4602272727272727,1.0,0,14
glover,MOTO,FGSM,0.8,ORIGINAL,0.1,1.4602272727272727,1.0,0,14
glover,OP3,FGSM,0.8,ORIGINAL,0.1,1.4602272727272727,1.0,0,14
glover,S7,FGSM,0.8,ORIGINAL,0.1,1.4602272727272727,1.0,0,14
glover,BLU,FGSM,0.9,ORIGINAL,0.1,2.022727272727273,1.0,0,86
glover,HTC,FGSM,0.9,ORIGINAL,0.1,2.022727272727273,1.0,0,86
glover,LG,FGSM,0.9,ORIGINAL,0.1,2.022727272727273,1.0,0,86
glover,MOTO,FGSM,0.9,ORIGINAL,0.1,2.022727272727273,1.0,0,86
glover,OP3,FGSM,0.9,ORIGINAL,0.1,2.022727272727273,1.0,0,86
glover,S7,FGSM,0.9,ORIGINAL,0.1,2.022727272727273,1.0,0,86
glover,BLU,FGSM,1.0,ORIGINAL,0.1,1.9431818181818181,1.0,0,86
glover,HTC,FGSM,1.0,ORIGINAL,0.1,1.9431818181818181,1.0,0,86
glover,LG,FGSM,1.0,ORIGINAL,0.1,1.9431818181818181,1.0,0,86
glover,MOTO,FGSM,1.0,ORIGINAL,0.1,1.9431818181818181,1.0,0,86
glover,OP3,FGSM,1.0,ORIGINAL,0.1,1.9431818181818181,1.0,0,86
glover,S7,FGSM,1.0,ORIGINAL,0.1,1.9431818181818181,1.0,0,86
