Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
libstudy,BLU,ORIGINAL,0.1,ORIGINAL,0.1,18.116666666666667,14.0,0,55
libstudy,HTC,ORIGINAL,0.1,ORIGINAL,0.1,13.283333333333333,4.0,0,56
libstudy,LG,ORIGINAL,0.1,ORIGINAL,0.1,20.233333333333334,13.0,1,56
libstudy,MOTO,ORIGINAL,0.1,ORIGINAL,0.1,10.716666666666667,4.0,0,47
libstudy,OP3,ORIGINAL,0.1,ORIGINAL,0.1,1.0416666666666667,0.0,0,29
libstudy,S7,ORIGINAL,0.1,ORIGINAL,0.1,10.383333333333333,3.0,0,53
libstudy,BLU,SAE,0.1,ORIGINAL,0.1,13.458333333333334,6.5,0,59
libstudy,HTC,SAE,0.1,ORIGINAL,0.1,9.908333333333333,3.0,0,46
libstudy,LG,SAE,0.1,ORIGINAL,0.1,13.025,6.0,0,59
libstudy,MOTO,SAE,0.1,ORIGINAL,0.1,7.558333333333334,2.0,0,47
libstudy,OP3,SAE,0.1,ORIGINAL,0.1,0.5916666666666667,0.0,0,11
libstudy,S7,SAE,0.1,ORIGINAL,0.1,7.125,3.0,0,43
libstudy,BLU,STACKED_SAE,0.1,ORIGINAL,0.1,22.391666666666666,19.0,0,58
libstudy,HTC,STACKED_SAE,0.1,ORIGINAL,0.1,14.25,5.0,0,57
libstudy,LG,STACKED_SAE,0.1,ORIGINAL,0.1,16.141666666666666,7.5,0,59
libstudy,MOTO,STACKED_SAE,0.1,ORIGINAL,0.1,11.133333333333333,5.0,0,49
libstudy,OP3,STACKED_SAE,0.1,ORIGINAL,0.1,3.1083333333333334,0.0,0,47
libstudy,S7,STACKED_SAE,0.1,ORIGINAL,0.1,10.983333333333333,5.0,0,54
libstudy,BLU,GAN,0.1,ORIGINAL,0.1,19.008333333333333,14.0,0,59
libstudy,HTC,GAN,0.1,ORIGINAL,0.1,13.683333333333334,6.5,0,50
libstudy,LG,GAN,0.1,ORIGINAL,0.1,17.775,11.0,0,57
libstudy,MOTO,GAN,0.1,ORIGINAL,0.1,10.6,4.0,0,54
libstudy,OP3,GAN,0.1,ORIGINAL,0.1,0.7333333333333333,0.0,0,13
libstudy,S7,GAN,0.1,ORIGINAL,0.1,9.941666666666666,3.0,0,57
libstudy,BLU,FGSM,0.1,ORIGINAL,0.1,16.1,8.0,0,57
libstudy,HTC,FGSM,0.1,ORIGINAL,0.1,15.45,5.0,0,57
libstudy,LG,FGSM,0.1,ORIGINAL,0.1,16.75,7.0,0,57
libstudy,MOTO,FGSM,0.1,ORIGINAL,0.1,15.866666666666667,4.0,0,56
libstudy,OP3,FGSM,0.1,ORIGINAL,0.1,0.7416666666666667,0.0,0,46
libstudy,S7,FGSM,0.1,ORIGINAL,0.1,12.716666666666667,4.0,0,56
libstudy,BLU,FGSM,0.2,ORIGINAL,0.1,12.716666666666667,7.0,0,50
libstudy,HTC,FGSM,0.2,ORIGINAL,0.1,13.016666666666667,4.0,0,57
libstudy,LG,FGSM,0.2,ORIGINAL,0.1,13.541666666666666,4.5,0,58
libstudy,MOTO,FGSM,0.2,ORIGINAL,0.1,9.758333333333333,3.0,0,52
libstudy,OP3,FGSM,0.2,ORIGINAL,0.1,0.425,0.0,0,7
libstudy,S7,FGSM,0.2,ORIGINAL,0.1,7.15,3.0,0,46
libstudy,BLU,FGSM,0.3,ORIGINAL,0.1,13.108333333333333,8.0,0,41
libstudy,HTC,FGSM,0.3,ORIGINAL,0.1,8.583333333333334,5.0,0,53
libstudy,LG,FGSM,0.3,ORIGINAL,0.1,11.916666666666666,4.0,0,57
