Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.1,3.8688524590163933,3.0,0,36
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.1,4.081967213114754,4.0,0,14
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.1,6.426229508196721,3.0,0,41
engr0,MOTO,ORIGINAL,0.0,ORIGINAL,0.1,26.327868852459016,26.0,0,56
engr0,OP3,ORIGINAL,0.0,ORIGINAL,0.1,0.5737704918032787,0.0,0,4
engr0,S7,ORIGINAL,0.0,ORIGINAL,0.1,5.098360655737705,3.0,0,36
engr0,BLU,SAE,0.0,ORIGINAL,0.1,2.1475409836065573,2.0,0,8
engr0,HTC,SAE,0.0,ORIGINAL,0.1,2.819672131147541,2.0,0,9
engr0,LG,SAE,0.0,ORIGINAL,0.1,1.9344262295081966,2.0,0,5
engr0,MOTO,SAE,0.0,ORIGINAL,0.1,29.0327868852459,29.0,0,59
engr0,OP3,SAE,0.0,ORIGINAL,0.1,0.8852459016393442,1.0,0,7
engr0,S7,SAE,0.0,ORIGINAL,0.1,1.540983606557377,1.0,0,6
engr0,BLU,STACKED_SAE,0.0,ORIGINAL,0.1,2.8360655737704916,2.0,0,11
engr0,HTC,STACKED_SAE,0.0,ORIGINAL,0.1,4.360655737704918,3.0,0,21
engr0,LG,STACKED_SAE,0.0,ORIGINAL,0.1,3.7540983606557377,2.0,0,22
engr0,MOTO,STACKED_SAE,0.0,ORIGINAL,0.1,27.19672131147541,27.0,0,57
engr0,OP3,STACKED_SAE,0.0,ORIGINAL,0.1,2.459016393442623,1.0,0,23
engr0,S7,STACKED_SAE,0.0,ORIGINAL,0.1,2.8852459016393444,2.0,0,24
engr0,BLU,GAN,0.0,ORIGINAL,0.1,8.754098360655737,8.0,0,24
engr0,HTC,GAN,0.0,ORIGINAL,0.1,9.327868852459016,8.0,0,29
engr0,LG,GAN,0.0,ORIGINAL,0.1,10.147540983606557,8.0,0,39
engr0,MOTO,GAN,0.0,ORIGINAL,0.1,29.0327868852459,29.0,0,59
engr0,OP3,GAN,0.0,ORIGINAL,0.1,1.1639344262295082,1.0,0,4
engr0,S7,GAN,0.0,ORIGINAL,0.1,9.704918032786885,9.0,0,40
engr0,BLU,FGSM,0.1,FGSM,0.1,14.081967213114755,11.0,0,50
engr0,BLU,FGSM,0.1,FGSM,0.2,18.278688524590162,16.0,1,55
engr0,BLU,FGSM,0.1,FGSM,0.3,20.885245901639344,18.0,1,53
engr0,BLU,FGSM,0.1,FGSM,0.4,21.80327868852459,19.0,1,56
engr0,BLU,FGSM,0.1,FGSM,0.5,22.37704918032787,20.0,1,56
engr0,BLU,FGSM,0.1,FGSM,0.6,23.114754098360656,20.0,1,56
engr0,BLU,FGSM,0.1,FGSM,0.7,23.114754098360656,20.0,1,56
engr0,BLU,FGSM,0.1,FGSM,0.8,23.295081967213115,20.0,1,56
engr0,BLU,FGSM,0.1,FGSM,0.9,23.34426229508197,20.0,1,56
engr0,BLU,FGSM,0.1,FGSM,1.0,23.491803278688526,20.0,1,56
engr0,HTC,FGSM,0.1,FGSM,0.1,14.311475409836065,12.0,0,49
engr0,HTC,FGSM,0.1,FGSM,0.2,18.557377049180328,17.0,0,51
engr0,HTC,FGSM,0.1,FGSM,0.3,20.75409836065574,18.0,1,52
engr0,HTC,FGSM,0.1,FGSM,0.4,22.262295081967213,19.0,1,55
engr0,HTC,FGSM,0.1,FGSM,0.5,23.360655737704917,20.0,1,55
engr0,HTC,FGSM,0.1,FGSM,0.6,24.868852459016395,23.0,1,55
engr0,HTC,FGSM,0.1,FGSM,0.7,25.016393442622952,23.0,1,55
engr0,HTC,FGSM,0.1,FGSM,0.8,25.016393442622952,23.0,1,55
engr0,HTC,FGSM,0.1,FGSM,0.9,25.704918032786885,23.0,1,55
engr0,HTC,FGSM,0.1,FGSM,1.0,25.704918032786885,23.0,1,55
engr0,LG,FGSM,0.1,FGSM,0.1,13.147540983606557,9.0,0,46
engr0,LG,FGSM,0.1,FGSM,0.2,17.0327868852459,14.0,0,60
engr0,LG,FGSM,0.1,FGSM,0.3,19.491803278688526,16.0,0,59
engr0,LG,FGSM,0.1,FGSM,0.4,20.21311475409836,16.0,0,59
engr0,LG,FGSM,0.1,FGSM,0.5,20.475409836065573,16.0,0,59
engr0,LG,FGSM,0.1,FGSM,0.6,21.278688524590162,18.0,0,59
engr0,LG,FGSM,0.1,FGSM,0.7,21.442622950819672,18.0,0,59
engr0,LG,FGSM,0.1,FGSM,0.8,21.459016393442624,18.0,0,59
engr0,LG,FGSM,0.1,FGSM,0.9,22.229508196721312,18.0,0,59
engr0,LG,FGSM,0.1,FGSM,1.0,22.34426229508197,18.0,0,59
engr0,MOTO,FGSM,0.1,FGSM,0.1,18.16393442622951,14.0,0,55
engr0,MOTO,FGSM,0.1,FGSM,0.2,21.491803278688526,20.0,1,55
engr0,MOTO,FGSM,0.1,FGSM,0.3,21.360655737704917,20.0,1,55
engr0,MOTO,FGSM,0.1,FGSM,0.4,19.524590163934427,19.0,1,54
engr0,MOTO,FGSM,0.1,FGSM,0.5,19.524590163934427,19.0,1,54
engr0,MOTO,FGSM,0.1,FGSM,0.6,20.147540983606557,19.0,1,54
engr0,MOTO,FGSM,0.1,FGSM,0.7,20.770491803278688,19.0,1,59
engr0,MOTO,FGSM,0.1,FGSM,0.8,20.770491803278688,19.0,1,59
engr0,MOTO,FGSM,0.1,FGSM,0.9,20.770491803278688,19.0,1,59
engr0,MOTO,FGSM,0.1,FGSM,1.0,20.934426229508198,19.0,1,59
engr0,OP3,FGSM,0.1,FGSM,0.1,18.098360655737704,12.0,1,60
engr0,OP3,FGSM,0.1,FGSM,0.2,20.721311475409838,16.0,1,60
