Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.1,5.130681818181818,3.0,0,81
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.1,5.471590909090909,2.0,0,87
glover,LG,ORIGINAL,0.0,ORIGINAL,0.1,5.142045454545454,3.0,0,85
glover,MOTO,ORIGINAL,0.0,ORIGINAL,0.1,3.284090909090909,2.0,0,84
glover,OP3,ORIGINAL,0.0,ORIGINAL,0.1,1.2897727272727273,0.0,0,85
glover,S7,ORIGINAL,0.0,ORIGINAL,0.1,2.9488636363636362,2.0,0,87
glover,BLU,SAE,0.0,ORIGINAL,0.1,7.3352272727272725,3.0,0,87
glover,HTC,SAE,0.0,ORIGINAL,0.1,5.528409090909091,2.0,0,87
glover,LG,SAE,0.0,ORIGINAL,0.1,4.943181818181818,2.0,0,87
glover,MOTO,SAE,0.0,ORIGINAL,0.1,3.6704545454545454,2.0,0,87
glover,OP3,SAE,0.0,ORIGINAL,0.1,1.1022727272727273,0.0,0,85
glover,S7,SAE,0.0,ORIGINAL,0.1,3.5,1.0,0,87
glover,BLU,STACKED_SAE,0.0,ORIGINAL,0.1,4.2102272727272725,2.0,0,87
glover,HTC,STACKED_SAE,0.0,ORIGINAL,0.1,4.380681818181818,2.0,0,87
glover,LG,STACKED_SAE,0.0,ORIGINAL,0.1,2.852272727272727,2.0,0,22
glover,MOTO,STACKED_SAE,0.0,ORIGINAL,0.1,2.8125,2.0,0,17
glover,OP3,STACKED_SAE,0.0,ORIGINAL,0.1,1.4886363636363635,1.0,0,85
glover,S7,STACKED_SAE,0.0,ORIGINAL,0.1,3.215909090909091,2.0,0,87
glover,BLU,GAN,0.0,ORIGINAL,0.1,5.056818181818182,2.5,0,87
glover,HTC,GAN,0.0,ORIGINAL,0.1,2.9943181818181817,2.0,0,36
glover,LG,GAN,0.0,ORIGINAL,0.1,5.715909090909091,2.0,0,86
glover,MOTO,GAN,0.0,ORIGINAL,0.1,5.732954545454546,2.0,0,85
glover,OP3,GAN,0.0,ORIGINAL,0.1,1.5738636363636365,1.0,0,85
glover,S7,GAN,0.0,ORIGINAL,0.1,2.971590909090909,2.0,0,86
glover,BLU,FGSM,0.1,FGSM,0.1,27.147727272727273,20.0,0,87
glover,BLU,FGSM,0.1,FGSM,0.2,29.068181818181817,22.0,0,87
glover,BLU,FGSM,0.1,FGSM,0.3,31.65340909090909,26.0,1,87
glover,BLU,FGSM,0.1,FGSM,0.4,33.23863636363637,28.5,1,87
glover,BLU,FGSM,0.1,FGSM,0.5,33.30681818181818,29.0,1,87
