Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.1,29.5,29.5,0,59
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.1,15.5,15.0,0,35
libstudy,LG,ORIGINAL,0.0,ORIGINAL,0.1,15.5,15.0,0,35
libstudy,MOTO,ORIGINAL,0.0,ORIGINAL,0.1,29.5,29.5,0,59
libstudy,OP3,ORIGINAL,0.0,ORIGINAL,0.1,29.5,29.5,0,59
libstudy,S7,ORIGINAL,0.0,ORIGINAL,0.1,29.5,29.5,0,59
libstudy,BLU,SAE,0.0,ORIGINAL,0.1,25.0,24.5,0,54
libstudy,HTC,SAE,0.0,ORIGINAL,0.1,25.0,24.5,0,54
libstudy,LG,SAE,0.0,ORIGINAL,0.1,25.0,24.5,0,54
libstudy,MOTO,SAE,0.0,ORIGINAL,0.1,25.0,24.5,0,54
libstudy,OP3,SAE,0.0,ORIGINAL,0.1,25.0,24.5,0,54
libstudy,S7,SAE,0.0,ORIGINAL,0.1,25.0,24.5,0,54
libstudy,BLU,STACKED_SAE,0.0,ORIGINAL,0.1,27.6,27.5,0,57
libstudy,HTC,STACKED_SAE,0.0,ORIGINAL,0.1,27.6,27.5,0,57
libstudy,LG,STACKED_SAE,0.0,ORIGINAL,0.1,27.6,27.5,0,57
libstudy,MOTO,STACKED_SAE,0.0,ORIGINAL,0.1,27.6,27.5,0,57
libstudy,OP3,STACKED_SAE,0.0,ORIGINAL,0.1,27.6,27.5,0,57
libstudy,S7,STACKED_SAE,0.0,ORIGINAL,0.1,27.6,27.5,0,57
libstudy,BLU,GAN,0.0,ORIGINAL,0.1,15.1,15.0,0,32
libstudy,HTC,GAN,0.0,ORIGINAL,0.1,15.1,15.0,0,32
libstudy,LG,GAN,0.0,ORIGINAL,0.1,15.1,15.0,0,32
libstudy,MOTO,GAN,0.0,ORIGINAL,0.1,15.1,15.0,0,32
libstudy,OP3,GAN,0.0,ORIGINAL,0.1,15.1,15.0,0,32
libstudy,S7,GAN,0.0,ORIGINAL,0.1,15.1,15.0,0,32
libstudy,BLU,FGSM,0.1,FGSM,0.1,15.5,15.0,0,35
libstudy,BLU,FGSM,0.1,FGSM,0.2,15.5,15.0,0,35
libstudy,BLU,FGSM,0.1,FGSM,0.3,15.5,15.0,0,35
libstudy,BLU,FGSM,0.1,FGSM,0.4,15.5,15.0,0,35
libstudy,BLU,FGSM,0.1,FGSM,0.5,15.5,15.0,0,35
libstudy,BLU,FGSM,0.1,FGSM,0.6,15.5,15.0,0,35
libstudy,BLU,FGSM,0.1,FGSM,0.7,15.5,15.0,0,35
libstudy,BLU,FGSM,0.1,FGSM,0.8,15.5,15.0,0,35
libstudy,BLU,FGSM,0.1,FGSM,0.9,15.5,15.0,0,35
libstudy,BLU,FGSM,0.1,FGSM,1.0,15.5,15.0,0,35
libstudy,HTC,FGSM,0.1,FGSM,0.1,15.5,15.0,0,35
libstudy,HTC,FGSM,0.1,FGSM,0.2,15.5,15.0,0,35
libstudy,HTC,FGSM,0.1,FGSM,0.3,15.5,15.0,0,35
libstudy,HTC,FGSM,0.1,FGSM,0.4,15.5,15.0,0,35
libstudy,HTC,FGSM,0.1,FGSM,0.5,15.5,15.0,0,35
libstudy,HTC,FGSM,0.1,FGSM,0.6,15.5,15.0,0,35
libstudy,HTC,FGSM,0.1,FGSM,0.7,15.5,15.0,0,35
libstudy,HTC,FGSM,0.1,FGSM,0.8,15.5,15.0,0,35
libstudy,HTC,FGSM,0.1,FGSM,0.9,15.5,15.0,0,35
libstudy,HTC,FGSM,0.1,FGSM,1.0,15.5,15.0,0,35
libstudy,LG,FGSM,0.1,FGSM,0.1,15.5,15.0,0,35
libstudy,LG,FGSM,0.1,FGSM,0.2,15.5,15.0,0,35
libstudy,LG,FGSM,0.1,FGSM,0.3,15.5,15.0,0,35
libstudy,LG,FGSM,0.1,FGSM,0.4,15.5,15.0,0,35
