Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.1,7.625,4.0,0,53
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.1,5.669117647058823,3.0,0,65
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.1,5.661764705882353,2.0,0,66
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.1,2.3676470588235294,1.0,0,63
sciences,OP3,ORIGINAL,0.0,ORIGINAL,0.1,1.0661764705882353,1.0,0,19
sciences,S7,ORIGINAL,0.0,ORIGINAL,0.1,2.0955882352941178,1.5,0,10
sciences,BLU,SAE,0.0,ORIGINAL,0.1,4.926470588235294,3.0,0,52
sciences,HTC,SAE,0.0,ORIGINAL,0.1,5.198529411764706,2.0,0,65
sciences,LG,SAE,0.0,ORIGINAL,0.1,5.0588235294117645,2.0,0,65
sciences,MOTO,SAE,0.0,ORIGINAL,0.1,2.8088235294117645,1.0,0,55
sciences,OP3,SAE,0.0,ORIGINAL,0.1,0.9191176470588235,0.0,0,18
sciences,S7,SAE,0.0,ORIGINAL,0.1,3.1544117647058822,2.0,0,66
sciences,BLU,STACKED_SAE,0.0,ORIGINAL,0.1,11.867647058823529,7.0,0,57
sciences,HTC,STACKED_SAE,0.0,ORIGINAL,0.1,2.9411764705882355,2.0,0,61
sciences,LG,STACKED_SAE,0.0,ORIGINAL,0.1,4.382352941176471,2.0,0,63
sciences,MOTO,STACKED_SAE,0.0,ORIGINAL,0.1,2.301470588235294,2.0,0,29
sciences,OP3,STACKED_SAE,0.0,ORIGINAL,0.1,1.0588235294117647,0.0,0,19
sciences,S7,STACKED_SAE,0.0,ORIGINAL,0.1,2.1323529411764706,2.0,0,10
sciences,BLU,GAN,0.0,ORIGINAL,0.1,24.441176470588236,22.5,0,56
sciences,HTC,GAN,0.0,ORIGINAL,0.1,24.441176470588236,22.5,0,56
sciences,LG,GAN,0.0,ORIGINAL,0.1,24.441176470588236,22.5,0,56
sciences,MOTO,GAN,0.0,ORIGINAL,0.1,24.441176470588236,22.5,0,56
sciences,OP3,GAN,0.0,ORIGINAL,0.1,24.441176470588236,22.5,0,56
sciences,S7,GAN,0.0,ORIGINAL,0.1,24.441176470588236,22.5,0,56
sciences,BLU,FGSM,0.1,FGSM,0.1,19.794117647058822,15.0,0,66
sciences,BLU,FGSM,0.1,FGSM,0.2,21.720588235294116,16.5,0,66
sciences,BLU,FGSM,0.1,FGSM,0.3,22.529411764705884,19.0,0,66
sciences,BLU,FGSM,0.1,FGSM,0.4,23.36764705882353,20.0,0,66
sciences,BLU,FGSM,0.1,FGSM,0.5,23.522058823529413,20.0,0,66
sciences,BLU,FGSM,0.1,FGSM,0.6,23.46323529411765,20.0,0,66
sciences,BLU,FGSM,0.1,FGSM,0.7,23.46323529411765,20.0,0,66
sciences,BLU,FGSM,0.1,FGSM,0.8,23.477941176470587,20.0,0,66
sciences,BLU,FGSM,0.1,FGSM,0.9,23.573529411764707,20.0,0,66
sciences,BLU,FGSM,0.1,FGSM,1.0,23.544117647058822,20.0,0,66
sciences,HTC,FGSM,0.1,FGSM,0.1,20.529411764705884,15.0,0,67
sciences,HTC,FGSM,0.1,FGSM,0.2,22.25,17.5,0,67
sciences,HTC,FGSM,0.1,FGSM,0.3,22.595588235294116,18.0,0,67
sciences,HTC,FGSM,0.1,FGSM,0.4,22.904411764705884,18.5,0,67
sciences,HTC,FGSM,0.1,FGSM,0.5,22.852941176470587,18.0,0,67
sciences,HTC,FGSM,0.1,FGSM,0.6,22.772058823529413,18.0,0,67
sciences,HTC,FGSM,0.1,FGSM,0.7,22.772058823529413,18.0,0,67
sciences,HTC,FGSM,0.1,FGSM,0.8,22.772058823529413,18.0,0,67
sciences,HTC,FGSM,0.1,FGSM,0.9,23.13235294117647,18.5,0,67
sciences,HTC,FGSM,0.1,FGSM,1.0,23.147058823529413,18.5,0,67
sciences,LG,FGSM,0.1,FGSM,0.1,20.816176470588236,17.0,0,66
sciences,LG,FGSM,0.1,FGSM,0.2,22.78676470588235,19.0,1,67
sciences,LG,FGSM,0.1,FGSM,0.3,22.595588235294116,19.0,1,67
sciences,LG,FGSM,0.1,FGSM,0.4,22.610294117647058,19.5,1,67
sciences,LG,FGSM,0.1,FGSM,0.5,22.49264705882353,19.5,1,67
sciences,LG,FGSM,0.1,FGSM,0.6,22.977941176470587,20.5,1,67
sciences,LG,FGSM,0.1,FGSM,0.7,23.147058823529413,20.5,1,67
sciences,LG,FGSM,0.1,FGSM,0.8,23.198529411764707,20.5,1,67
sciences,LG,FGSM,0.1,FGSM,0.9,23.176470588235293,20.5,0,67
sciences,LG,FGSM,0.1,FGSM,1.0,23.176470588235293,20.5,0,67
sciences,MOTO,FGSM,0.1,FGSM,0.1,22.926470588235293,18.0,1,66
sciences,MOTO,FGSM,0.1,FGSM,0.2,25.272058823529413,22.0,1,66
sciences,MOTO,FGSM,0.1,FGSM,0.3,25.433823529411764,22.0,1,66
sciences,MOTO,FGSM,0.1,FGSM,0.4,25.441176470588236,22.0,1,66
sciences,MOTO,FGSM,0.1,FGSM,0.5,24.875,21.5,1,66
sciences,MOTO,FGSM,0.1,FGSM,0.6,24.823529411764707,21.0,1,66
sciences,MOTO,FGSM,0.1,FGSM,0.7,24.74264705882353,21.0,1,66
sciences,MOTO,FGSM,0.1,FGSM,0.8,24.948529411764707,21.0,1,66
sciences,MOTO,FGSM,0.1,FGSM,0.9,25.110294117647058,21.0,1,66
sciences,MOTO,FGSM,0.1,FGSM,1.0,25.24264705882353,21.0,1,66
sciences,OP3,FGSM,0.1,FGSM,0.1,16.522058823529413,13.0,0,63
sciences,OP3,FGSM,0.1,FGSM,0.2,18.029411764705884,14.0,0,66
sciences,OP3,FGSM,0.1,FGSM,0.3,18.676470588235293,15.0,0,66
sciences,OP3,FGSM,0.1,FGSM,0.4,19.38235294117647,16.0,0,66
sciences,OP3,FGSM,0.1,FGSM,0.5,19.5,16.5,0,66
sciences,OP3,FGSM,0.1,FGSM,0.6,19.323529411764707,16.5,0,66
sciences,OP3,FGSM,0.1,FGSM,0.7,19.36764705882353,17.0,0,66
sciences,OP3,FGSM,0.1,FGSM,0.8,19.49264705882353,17.0,0,66
sciences,OP3,FGSM,0.1,FGSM,0.9,19.625,17.0,0,66
sciences,OP3,FGSM,0.1,FGSM,1.0,19.801470588235293,17.0,0,66
sciences,S7,FGSM,0.1,FGSM,0.1,21.5,17.0,0,62
sciences,S7,FGSM,0.1,FGSM,0.2,22.970588235294116,19.5,0,65
sciences,S7,FGSM,0.1,FGSM,0.3,23.860294117647058,20.0,0,65
sciences,S7,FGSM,0.1,FGSM,0.4,24.044117647058822,20.0,1,65
sciences,S7,FGSM,0.1,FGSM,0.5,24.00735294117647,20.0,1,65
sciences,S7,FGSM,0.1,FGSM,0.6,23.86764705882353,20.0,1,65
sciences,S7,FGSM,0.1,FGSM,0.7,23.772058823529413,20.0,1,65
sciences,S7,FGSM,0.1,FGSM,0.8,24.058823529411764,20.5,1,65
sciences,S7,FGSM,0.1,FGSM,0.9,23.955882352941178,20.5,1,65
sciences,S7,FGSM,0.1,FGSM,1.0,24.0,20.5,1,65
sciences,BLU,FGSM,0.2,FGSM,0.1,19.794117647058822,12.5,0,64
sciences,BLU,FGSM,0.2,FGSM,0.2,22.00735294117647,15.5,0,64
sciences,BLU,FGSM,0.2,FGSM,0.3,22.75735294117647,17.0,0,64
sciences,BLU,FGSM,0.2,FGSM,0.4,23.235294117647058,17.5,0,64
sciences,BLU,FGSM,0.2,FGSM,0.5,23.735294117647058,18.0,0,64
sciences,BLU,FGSM,0.2,FGSM,0.6,23.919117647058822,18.0,0,64
sciences,BLU,FGSM,0.2,FGSM,0.7,23.852941176470587,18.0,0,64
sciences,BLU,FGSM,0.2,FGSM,0.8,23.926470588235293,18.0,0,64
sciences,BLU,FGSM,0.2,FGSM,0.9,24.352941176470587,18.5,0,64
sciences,BLU,FGSM,0.2,FGSM,1.0,24.86764705882353,19.5,0,64
sciences,HTC,FGSM,0.2,FGSM,0.1,22.602941176470587,17.0,0,66
sciences,HTC,FGSM,0.2,FGSM,0.2,23.419117647058822,19.5,0,66
sciences,HTC,FGSM,0.2,FGSM,0.3,24.426470588235293,21.5,0,66
sciences,HTC,FGSM,0.2,FGSM,0.4,24.683823529411764,22.0,0,66
sciences,HTC,FGSM,0.2,FGSM,0.5,25.330882352941178,23.0,0,66
sciences,HTC,FGSM,0.2,FGSM,0.6,25.330882352941178,23.0,0,66
sciences,HTC,FGSM,0.2,FGSM,0.7,24.977941176470587,22.5,0,66
sciences,HTC,FGSM,0.2,FGSM,0.8,25.183823529411764,23.0,0,66
sciences,HTC,FGSM,0.2,FGSM,0.9,25.352941176470587,23.0,0,66
sciences,HTC,FGSM,0.2,FGSM,1.0,25.63235294117647,23.5,0,66
sciences,LG,FGSM,0.2,FGSM,0.1,19.74264705882353,15.0,0,67
sciences,LG,FGSM,0.2,FGSM,0.2,21.5,17.0,0,67
sciences,LG,FGSM,0.2,FGSM,0.3,21.816176470588236,17.5,0,67
sciences,LG,FGSM,0.2,FGSM,0.4,22.544117647058822,19.5,0,67
sciences,LG,FGSM,0.2,FGSM,0.5,22.61764705882353,20.0,0,67
sciences,LG,FGSM,0.2,FGSM,0.6,22.735294117647058,20.0,0,66
sciences,LG,FGSM,0.2,FGSM,0.7,22.602941176470587,20.0,0,66
sciences,LG,FGSM,0.2,FGSM,0.8,22.720588235294116,20.0,0,66
sciences,LG,FGSM,0.2,FGSM,0.9,22.772058823529413,20.0,0,66
sciences,LG,FGSM,0.2,FGSM,1.0,22.889705882352942,20.0,0,66
sciences,MOTO,FGSM,0.2,FGSM,0.1,17.830882352941178,12.0,0,65
sciences,MOTO,FGSM,0.2,FGSM,0.2,20.28676470588235,15.5,0,65
sciences,MOTO,FGSM,0.2,FGSM,0.3,21.014705882352942,16.0,0,65
sciences,MOTO,FGSM,0.2,FGSM,0.4,21.573529411764707,16.0,0,65
sciences,MOTO,FGSM,0.2,FGSM,0.5,21.470588235294116,17.0,0,65
sciences,MOTO,FGSM,0.2,FGSM,0.6,21.352941176470587,17.0,0,65
sciences,MOTO,FGSM,0.2,FGSM,0.7,21.595588235294116,18.0,0,65
sciences,MOTO,FGSM,0.2,FGSM,0.8,22.125,19.0,0,65
sciences,MOTO,FGSM,0.2,FGSM,0.9,22.301470588235293,19.0,0,65
sciences,MOTO,FGSM,0.2,FGSM,1.0,22.330882352941178,19.0,0,65
sciences,OP3,FGSM,0.2,FGSM,0.1,20.691176470588236,15.0,0,67
sciences,OP3,FGSM,0.2,FGSM,0.2,21.419117647058822,16.0,0,67
sciences,OP3,FGSM,0.2,FGSM,0.3,22.235294117647058,17.0,1,67
sciences,OP3,FGSM,0.2,FGSM,0.4,23.294117647058822,18.0,1,67
sciences,OP3,FGSM,0.2,FGSM,0.5,23.595588235294116,18.0,1,67
sciences,OP3,FGSM,0.2,FGSM,0.6,23.470588235294116,18.0,1,67
sciences,OP3,FGSM,0.2,FGSM,0.7,23.441176470588236,18.0,1,67
sciences,OP3,FGSM,0.2,FGSM,0.8,23.41176470588235,18.0,1,67
sciences,OP3,FGSM,0.2,FGSM,0.9,23.41176470588235,18.0,1,67
sciences,OP3,FGSM,0.2,FGSM,1.0,23.455882352941178,18.0,1,67
sciences,S7,FGSM,0.2,FGSM,0.1,19.691176470588236,15.0,0,64
sciences,S7,FGSM,0.2,FGSM,0.2,22.654411764705884,18.0,0,64
sciences,S7,FGSM,0.2,FGSM,0.3,23.683823529411764,19.0,0,64
sciences,S7,FGSM,0.2,FGSM,0.4,24.63235294117647,20.0,0,64
sciences,S7,FGSM,0.2,FGSM,0.5,24.88235294117647,20.0,0,64
sciences,S7,FGSM,0.2,FGSM,0.6,24.860294117647058,20.0,0,64
sciences,S7,FGSM,0.2,FGSM,0.7,24.970588235294116,20.0,0,64
sciences,S7,FGSM,0.2,FGSM,0.8,24.970588235294116,20.0,0,64
sciences,S7,FGSM,0.2,FGSM,0.9,24.96323529411765,20.0,0,64
sciences,S7,FGSM,0.2,FGSM,1.0,25.014705882352942,20.0,0,64
sciences,BLU,FGSM,0.3,FGSM,0.1,17.852941176470587,15.0,0,67
sciences,BLU,FGSM,0.3,FGSM,0.2,18.74264705882353,17.0,0,67
sciences,BLU,FGSM,0.3,FGSM,0.3,19.727941176470587,18.0,0,67
sciences,BLU,FGSM,0.3,FGSM,0.4,19.529411764705884,18.0,0,67
sciences,BLU,FGSM,0.3,FGSM,0.5,19.794117647058822,18.0,0,67
sciences,BLU,FGSM,0.3,FGSM,0.6,20.110294117647058,18.0,0,67
sciences,BLU,FGSM,0.3,FGSM,0.7,20.147058823529413,18.0,0,67
sciences,BLU,FGSM,0.3,FGSM,0.8,20.139705882352942,18.0,0,67
sciences,BLU,FGSM,0.3,FGSM,0.9,20.029411764705884,18.0,0,67
sciences,BLU,FGSM,0.3,FGSM,1.0,19.926470588235293,18.0,0,67
sciences,HTC,FGSM,0.3,FGSM,0.1,16.889705882352942,11.0,1,65
sciences,HTC,FGSM,0.3,FGSM,0.2,20.24264705882353,14.0,1,65
sciences,HTC,FGSM,0.3,FGSM,0.3,20.110294117647058,14.0,1,65
sciences,HTC,FGSM,0.3,FGSM,0.4,19.904411764705884,14.0,1,65
sciences,HTC,FGSM,0.3,FGSM,0.5,19.823529411764707,14.0,1,65
sciences,HTC,FGSM,0.3,FGSM,0.6,19.78676470588235,14.0,1,65
sciences,HTC,FGSM,0.3,FGSM,0.7,20.095588235294116,14.0,1,65
sciences,HTC,FGSM,0.3,FGSM,0.8,20.125,14.0,1,65
sciences,HTC,FGSM,0.3,FGSM,0.9,20.16176470588235,14.5,1,65
sciences,HTC,FGSM,0.3,FGSM,1.0,20.125,14.5,1,65
sciences,LG,FGSM,0.3,FGSM,0.1,16.272058823529413,11.0,0,62
sciences,LG,FGSM,0.3,FGSM,0.2,18.698529411764707,14.5,0,62
sciences,LG,FGSM,0.3,FGSM,0.3,18.985294117647058,16.5,1,62
sciences,LG,FGSM,0.3,FGSM,0.4,19.404411764705884,17.0,1,62
sciences,LG,FGSM,0.3,FGSM,0.5,19.933823529411764,17.0,1,62
sciences,LG,FGSM,0.3,FGSM,0.6,20.580882352941178,17.5,1,62
sciences,LG,FGSM,0.3,FGSM,0.7,20.735294117647058,18.5,1,62
sciences,LG,FGSM,0.3,FGSM,0.8,20.794117647058822,19.5,1,62
sciences,LG,FGSM,0.3,FGSM,0.9,21.0,20.5,1,62
sciences,LG,FGSM,0.3,FGSM,1.0,20.904411764705884,19.5,1,62
sciences,MOTO,FGSM,0.3,FGSM,0.1,16.389705882352942,13.0,0,67
sciences,MOTO,FGSM,0.3,FGSM,0.2,18.522058823529413,14.5,0,67
sciences,MOTO,FGSM,0.3,FGSM,0.3,18.897058823529413,15.0,0,67
sciences,MOTO,FGSM,0.3,FGSM,0.4,19.647058823529413,15.5,0,67
sciences,MOTO,FGSM,0.3,FGSM,0.5,19.580882352941178,15.0,0,67
sciences,MOTO,FGSM,0.3,FGSM,0.6,19.654411764705884,15.0,0,67
sciences,MOTO,FGSM,0.3,FGSM,0.7,19.71323529411765,15.0,0,67
