Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
engr0,BLU,ORIGINAL,0.1,FGSM,0.1,1.1311475409836065,1.0,0,7
engr0,HTC,ORIGINAL,0.1,FGSM,0.1,1.1311475409836065,1.0,0,7
engr0,LG,ORIGINAL,0.1,FGSM,0.1,1.1311475409836065,1.0,0,7
engr0,MOTO,ORIGINAL,0.1,FGSM,0.1,1.1311475409836065,1.0,0,7
engr0,OP3,ORIGINAL,0.1,FGSM,0.1,1.1311475409836065,1.0,0,7
engr0,S7,ORIGINAL,0.1,FGSM,0.1,1.1311475409836065,1.0,0,7
engr0,BLU,ORIGINAL,0.1,FGSM,0.2,21.016393442622952,15.0,0,56
engr0,HTC,ORIGINAL,0.1,FGSM,0.2,21.016393442622952,15.0,0,56
engr0,LG,ORIGINAL,0.1,FGSM,0.2,21.016393442622952,15.0,0,56
engr0,MOTO,ORIGINAL,0.1,FGSM,0.2,21.016393442622952,15.0,0,56
engr0,OP3,ORIGINAL,0.1,FGSM,0.2,21.016393442622952,15.0,0,56
engr0,S7,ORIGINAL,0.1,FGSM,0.2,21.016393442622952,15.0,0,56
engr0,BLU,ORIGINAL,0.1,FGSM,0.3,31.21311475409836,33.0,0,56
engr0,HTC,ORIGINAL,0.1,FGSM,0.3,31.21311475409836,33.0,0,56
engr0,LG,ORIGINAL,0.1,FGSM,0.3,31.21311475409836,33.0,0,56
engr0,MOTO,ORIGINAL,0.1,FGSM,0.3,31.21311475409836,33.0,0,56
engr0,OP3,ORIGINAL,0.1,FGSM,0.3,31.21311475409836,33.0,0,56
engr0,S7,ORIGINAL,0.1,FGSM,0.3,31.21311475409836,33.0,0,56
engr0,BLU,ORIGINAL,0.1,FGSM,0.4,33.21311475409836,37.0,1,56
engr0,HTC,ORIGINAL,0.1,FGSM,0.4,33.21311475409836,37.0,1,56
engr0,LG,ORIGINAL,0.1,FGSM,0.4,33.21311475409836,37.0,1,56
engr0,MOTO,ORIGINAL,0.1,FGSM,0.4,33.21311475409836,37.0,1,56
engr0,OP3,ORIGINAL,0.1,FGSM,0.4,33.21311475409836,37.0,1,56
engr0,S7,ORIGINAL,0.1,FGSM,0.4,33.21311475409836,37.0,1,56
engr0,BLU,ORIGINAL,0.1,FGSM,0.5,33.0655737704918,37.0,1,56
engr0,HTC,ORIGINAL,0.1,FGSM,0.5,33.0655737704918,37.0,1,56
engr0,LG,ORIGINAL,0.1,FGSM,0.5,33.0655737704918,37.0,1,56
engr0,MOTO,ORIGINAL,0.1,FGSM,0.5,33.0655737704918,37.0,1,56
engr0,OP3,ORIGINAL,0.1,FGSM,0.5,33.0655737704918,37.0,1,56
engr0,S7,ORIGINAL,0.1,FGSM,0.5,33.0655737704918,37.0,1,56
engr0,BLU,ORIGINAL,0.1,FGSM,0.6,33.32786885245902,37.0,1,57
engr0,HTC,ORIGINAL,0.1,FGSM,0.6,33.32786885245902,37.0,1,57
engr0,LG,ORIGINAL,0.1,FGSM,0.6,33.32786885245902,37.0,1,57
engr0,MOTO,ORIGINAL,0.1,FGSM,0.6,33.32786885245902,37.0,1,57
engr0,OP3,ORIGINAL,0.1,FGSM,0.6,33.32786885245902,37.0,1,57
engr0,S7,ORIGINAL,0.1,FGSM,0.6,33.32786885245902,37.0,1,57
engr0,BLU,ORIGINAL,0.1,FGSM,0.7,33.49180327868852,37.0,1,57
engr0,HTC,ORIGINAL,0.1,FGSM,0.7,33.49180327868852,37.0,1,57
engr0,LG,ORIGINAL,0.1,FGSM,0.7,33.49180327868852,37.0,1,57
engr0,MOTO,ORIGINAL,0.1,FGSM,0.7,33.49180327868852,37.0,1,57
engr0,OP3,ORIGINAL,0.1,FGSM,0.7,33.49180327868852,37.0,1,57
engr0,S7,ORIGINAL,0.1,FGSM,0.7,33.49180327868852,37.0,1,57
engr0,BLU,ORIGINAL,0.1,FGSM,0.8,33.50819672131148,37.0,1,57
engr0,HTC,ORIGINAL,0.1,FGSM,0.8,33.50819672131148,37.0,1,57
engr0,LG,ORIGINAL,0.1,FGSM,0.8,33.50819672131148,37.0,1,57
engr0,MOTO,ORIGINAL,0.1,FGSM,0.8,33.50819672131148,37.0,1,57
engr0,OP3,ORIGINAL,0.1,FGSM,0.8,33.50819672131148,37.0,1,57
engr0,S7,ORIGINAL,0.1,FGSM,0.8,33.50819672131148,37.0,1,57
engr0,BLU,ORIGINAL,0.1,FGSM,0.9,33.540983606557376,37.0,1,57
engr0,HTC,ORIGINAL,0.1,FGSM,0.9,33.540983606557376,37.0,1,57
engr0,LG,ORIGINAL,0.1,FGSM,0.9,33.540983606557376,37.0,1,57
engr0,MOTO,ORIGINAL,0.1,FGSM,0.9,33.540983606557376,37.0,1,57
engr0,OP3,ORIGINAL,0.1,FGSM,0.9,33.540983606557376,37.0,1,57
engr0,S7,ORIGINAL,0.1,FGSM,0.9,33.540983606557376,37.0,1,57
engr0,BLU,ORIGINAL,0.1,FGSM,1.0,33.57377049180328,37.0,1,57
engr0,HTC,ORIGINAL,0.1,FGSM,1.0,33.57377049180328,37.0,1,57
engr0,LG,ORIGINAL,0.1,FGSM,1.0,33.57377049180328,37.0,1,57
engr0,MOTO,ORIGINAL,0.1,FGSM,1.0,33.57377049180328,37.0,1,57
engr0,OP3,ORIGINAL,0.1,FGSM,1.0,33.57377049180328,37.0,1,57
engr0,S7,ORIGINAL,0.1,FGSM,1.0,33.57377049180328,37.0,1,57
engr0,BLU,SAE,0.1,FGSM,0.1,1.5245901639344261,1.0,0,11
engr0,HTC,SAE,0.1,FGSM,0.1,1.5245901639344261,1.0,0,11
engr0,LG,SAE,0.1,FGSM,0.1,1.5245901639344261,1.0,0,11
engr0,MOTO,SAE,0.1,FGSM,0.1,1.5245901639344261,1.0,0,11
engr0,OP3,SAE,0.1,FGSM,0.1,1.5245901639344261,1.0,0,11
engr0,S7,SAE,0.1,FGSM,0.1,1.5245901639344261,1.0,0,11
engr0,BLU,SAE,0.1,FGSM,0.2,23.049180327868854,19.0,0,56
engr0,HTC,SAE,0.1,FGSM,0.2,23.049180327868854,19.0,0,56
engr0,LG,SAE,0.1,FGSM,0.2,23.049180327868854,19.0,0,56
engr0,MOTO,SAE,0.1,FGSM,0.2,23.049180327868854,19.0,0,56
engr0,OP3,SAE,0.1,FGSM,0.2,23.049180327868854,19.0,0,56
engr0,S7,SAE,0.1,FGSM,0.2,23.049180327868854,19.0,0,56
engr0,BLU,SAE,0.1,FGSM,0.3,30.83606557377049,32.0,1,57
engr0,HTC,SAE,0.1,FGSM,0.3,30.83606557377049,32.0,1,57
engr0,LG,SAE,0.1,FGSM,0.3,30.83606557377049,32.0,1,57
engr0,MOTO,SAE,0.1,FGSM,0.3,30.83606557377049,32.0,1,57
engr0,OP3,SAE,0.1,FGSM,0.3,30.83606557377049,32.0,1,57
engr0,S7,SAE,0.1,FGSM,0.3,30.83606557377049,32.0,1,57
engr0,BLU,SAE,0.1,FGSM,0.4,32.98360655737705,35.0,1,56
engr0,HTC,SAE,0.1,FGSM,0.4,32.98360655737705,35.0,1,56
engr0,LG,SAE,0.1,FGSM,0.4,32.98360655737705,35.0,1,56
engr0,MOTO,SAE,0.1,FGSM,0.4,32.98360655737705,35.0,1,56
engr0,OP3,SAE,0.1,FGSM,0.4,32.98360655737705,35.0,1,56
engr0,S7,SAE,0.1,FGSM,0.4,32.98360655737705,35.0,1,56
engr0,BLU,SAE,0.1,FGSM,0.5,33.114754098360656,35.0,1,56
engr0,HTC,SAE,0.1,FGSM,0.5,33.114754098360656,35.0,1,56
engr0,LG,SAE,0.1,FGSM,0.5,33.114754098360656,35.0,1,56
engr0,MOTO,SAE,0.1,FGSM,0.5,33.114754098360656,35.0,1,56
engr0,OP3,SAE,0.1,FGSM,0.5,33.114754098360656,35.0,1,56
engr0,S7,SAE,0.1,FGSM,0.5,33.114754098360656,35.0,1,56
engr0,BLU,SAE,0.1,FGSM,0.6,33.24590163934426,35.0,2,56
engr0,HTC,SAE,0.1,FGSM,0.6,33.24590163934426,35.0,2,56
engr0,LG,SAE,0.1,FGSM,0.6,33.24590163934426,35.0,2,56
engr0,MOTO,SAE,0.1,FGSM,0.6,33.24590163934426,35.0,2,56
engr0,OP3,SAE,0.1,FGSM,0.6,33.24590163934426,35.0,2,56
engr0,S7,SAE,0.1,FGSM,0.6,33.24590163934426,35.0,2,56
engr0,BLU,SAE,0.1,FGSM,0.7,33.24590163934426,35.0,2,56
engr0,HTC,SAE,0.1,FGSM,0.7,33.24590163934426,35.0,2,56
engr0,LG,SAE,0.1,FGSM,0.7,33.24590163934426,35.0,2,56
engr0,MOTO,SAE,0.1,FGSM,0.7,33.24590163934426,35.0,2,56
engr0,OP3,SAE,0.1,FGSM,0.7,33.24590163934426,35.0,2,56
engr0,S7,SAE,0.1,FGSM,0.7,33.24590163934426,35.0,2,56
