Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.819672131147541,2.0,0,15
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.819672131147541,2.0,0,15
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.819672131147541,2.0,0,15
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.819672131147541,2.0,0,15
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.819672131147541,2.0,0,15
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.819672131147541,2.0,0,15
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.819672131147541,2.0,0,15
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.819672131147541,2.0,0,15
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.819672131147541,2.0,0,15
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.819672131147541,2.0,0,15
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.9508196721311477,2.0,0,36
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.9508196721311477,2.0,0,36
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.9508196721311477,2.0,0,36
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.9508196721311477,2.0,0,36
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.9508196721311477,2.0,0,36
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.9508196721311477,2.0,0,36
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.9508196721311477,2.0,0,36
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.9508196721311477,2.0,0,36
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.9508196721311477,2.0,0,36
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.9508196721311477,2.0,0,36
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.1147540983606556,2.0,0,31
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.1147540983606556,2.0,0,31
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.1147540983606556,2.0,0,31
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.1147540983606556,2.0,0,31
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.1147540983606556,2.0,0,31
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.1147540983606556,2.0,0,31
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.1147540983606556,2.0,0,31
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.1147540983606556,2.0,0,31
