Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.7708333333333335,2.0,0,8
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.7708333333333335,2.0,0,8
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.7708333333333335,2.0,0,8
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.7708333333333335,2.0,0,8
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.7708333333333335,2.0,0,8
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.7708333333333335,2.0,0,8
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.7708333333333335,2.0,0,8
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.7708333333333335,2.0,0,8
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.7708333333333335,2.0,0,8
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.7708333333333335,2.0,0,8
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.4166666666666665,2.0,0,8
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.4166666666666665,2.0,0,8
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.4166666666666665,2.0,0,8
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.4166666666666665,2.0,0,8
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.4166666666666665,2.0,0,8
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.4166666666666665,2.0,0,8
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.4166666666666665,2.0,0,8
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.4166666666666665,2.0,0,8
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.4166666666666665,2.0,0,8
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.4166666666666665,2.0,0,8
