Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,4.528409090909091,2.0,0,87
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,4.528409090909091,2.0,0,87
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,4.528409090909091,2.0,0,87
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,4.528409090909091,2.0,0,87
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,4.528409090909091,2.0,0,87
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,4.528409090909091,2.0,0,87
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,4.528409090909091,2.0,0,87
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,4.528409090909091,2.0,0,87
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,4.528409090909091,2.0,0,87
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,4.528409090909091,2.0,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,8.096590909090908,3.0,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,8.096590909090908,3.0,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,8.096590909090908,3.0,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,8.096590909090908,3.0,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,8.096590909090908,3.0,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,8.096590909090908,3.0,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,8.096590909090908,3.0,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,8.096590909090908,3.0,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,8.096590909090908,3.0,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,8.096590909090908,3.0,0,87
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.2272727272727275,2.0,0,87
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.2272727272727275,2.0,0,87
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.2272727272727275,2.0,0,87
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.2272727272727275,2.0,0,87
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.2272727272727275,2.0,0,87
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.2272727272727275,2.0,0,87
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.2272727272727275,2.0,0,87
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.2272727272727275,2.0,0,87
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.2272727272727275,2.0,0,87
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,6.2272727272727275,2.0,0,87
glover,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,5.931818181818182,2.0,0,86
glover,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,5.931818181818182,2.0,0,86
