Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.666666666666667,3.0,0,48
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.666666666666667,3.0,0,48
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.666666666666667,3.0,0,48
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.666666666666667,3.0,0,48
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.666666666666667,3.0,0,48
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.666666666666667,3.0,0,48
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.666666666666667,3.0,0,48
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.666666666666667,3.0,0,48
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.666666666666667,3.0,0,48
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.666666666666667,3.0,0,48
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.741666666666666,3.0,0,42
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.741666666666666,3.0,0,42
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.741666666666666,3.0,0,42
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.741666666666666,3.0,0,42
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.741666666666666,3.0,0,42
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.741666666666666,3.0,0,42
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.741666666666666,3.0,0,42
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.741666666666666,3.0,0,42
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.741666666666666,3.0,0,42
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.741666666666666,3.0,0,42
libstudy,LG,ORIGINAL,0.0,ORIGINAL,0.0,12.783333333333333,5.0,0,52
libstudy,LG,ORIGINAL,0.0,ORIGINAL,0.0,12.783333333333333,5.0,0,52
libstudy,LG,ORIGINAL,0.0,ORIGINAL,0.0,12.783333333333333,5.0,0,52
libstudy,LG,ORIGINAL,0.0,ORIGINAL,0.0,12.783333333333333,5.0,0,52
libstudy,LG,ORIGINAL,0.0,ORIGINAL,0.0,12.783333333333333,5.0,0,52
libstudy,LG,ORIGINAL,0.0,ORIGINAL,0.0,12.783333333333333,5.0,0,52
libstudy,LG,ORIGINAL,0.0,ORIGINAL,0.0,12.783333333333333,5.0,0,52
libstudy,LG,ORIGINAL,0.0,ORIGINAL,0.0,12.783333333333333,5.0,0,52
libstudy,LG,ORIGINAL,0.0,ORIGINAL,0.0,12.783333333333333,5.0,0,52
libstudy,LG,ORIGINAL,0.0,ORIGINAL,0.0,12.783333333333333,5.0,0,52
libstudy,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,10.408333333333333,4.0,0,48
libstudy,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,10.408333333333333,4.0,0,48
libstudy,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,10.408333333333333,4.0,0,48
libstudy,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,10.408333333333333,4.0,0,48
libstudy,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,10.408333333333333,4.0,0,48
libstudy,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,10.408333333333333,4.0,0,48
libstudy,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,10.408333333333333,4.0,0,48
libstudy,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,10.408333333333333,4.0,0,48
libstudy,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,10.408333333333333,4.0,0,48
libstudy,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,10.408333333333333,4.0,0,48
libstudy,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.4083333333333333,0.0,0,26
libstudy,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.4083333333333333,0.0,0,26
