Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,6.9411764705882355,2.0,0,59
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,6.9411764705882355,2.0,0,59
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,6.9411764705882355,2.0,0,59
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,6.9411764705882355,2.0,0,59
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,6.9411764705882355,2.0,0,59
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,6.9411764705882355,2.0,0,59
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,6.9411764705882355,2.0,0,59
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,6.9411764705882355,2.0,0,59
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,6.9411764705882355,2.0,0,59
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,6.9411764705882355,2.0,0,59
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,8.220588235294118,3.0,0,59
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,8.220588235294118,3.0,0,59
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,8.220588235294118,3.0,0,59
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,8.220588235294118,3.0,0,59
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,8.220588235294118,3.0,0,59
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,8.220588235294118,3.0,0,59
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,8.220588235294118,3.0,0,59
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,8.220588235294118,3.0,0,59
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,8.220588235294118,3.0,0,59
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,8.220588235294118,3.0,0,59
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.5073529411764706,3.0,0,12
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.5073529411764706,3.0,0,12
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.5073529411764706,3.0,0,12
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.5073529411764706,3.0,0,12
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.5073529411764706,3.0,0,12
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.5073529411764706,3.0,0,12
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.5073529411764706,3.0,0,12
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.5073529411764706,3.0,0,12
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.5073529411764706,3.0,0,12
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.5073529411764706,3.0,0,12
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.889705882352941,2.0,0,56
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.889705882352941,2.0,0,56
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.889705882352941,2.0,0,56
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.889705882352941,2.0,0,56
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.889705882352941,2.0,0,56
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.889705882352941,2.0,0,56
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.889705882352941,2.0,0,56
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.889705882352941,2.0,0,56
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.889705882352941,2.0,0,56
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.889705882352941,2.0,0,56
sciences,OP3,ORIGINAL,0.0,ORIGINAL,0.0,2.0294117647058822,0.0,0,59
sciences,OP3,ORIGINAL,0.0,ORIGINAL,0.0,2.0294117647058822,0.0,0,59
sciences,OP3,ORIGINAL,0.0,ORIGINAL,0.0,2.0294117647058822,0.0,0,59
sciences,OP3,ORIGINAL,0.0,ORIGINAL,0.0,2.0294117647058822,0.0,0,59
sciences,OP3,ORIGINAL,0.0,ORIGINAL,0.0,2.0294117647058822,0.0,0,59
sciences,OP3,ORIGINAL,0.0,ORIGINAL,0.0,2.0294117647058822,0.0,0,59
sciences,OP3,ORIGINAL,0.0,ORIGINAL,0.0,2.0294117647058822,0.0,0,59
sciences,OP3,ORIGINAL,0.0,ORIGINAL,0.0,2.0294117647058822,0.0,0,59
sciences,OP3,ORIGINAL,0.0,ORIGINAL,0.0,2.0294117647058822,0.0,0,59
sciences,OP3,ORIGINAL,0.0,ORIGINAL,0.0,2.0294117647058822,0.0,0,59
sciences,S7,ORIGINAL,0.0,ORIGINAL,0.0,2.4338235294117645,2.0,0,20
sciences,S7,ORIGINAL,0.0,ORIGINAL,0.0,2.4338235294117645,2.0,0,20
sciences,S7,ORIGINAL,0.0,ORIGINAL,0.0,2.4338235294117645,2.0,0,20
sciences,S7,ORIGINAL,0.0,ORIGINAL,0.0,2.4338235294117645,2.0,0,20
sciences,S7,ORIGINAL,0.0,ORIGINAL,0.0,2.4338235294117645,2.0,0,20
sciences,S7,ORIGINAL,0.0,ORIGINAL,0.0,2.4338235294117645,2.0,0,20
sciences,S7,ORIGINAL,0.0,ORIGINAL,0.0,2.4338235294117645,2.0,0,20
sciences,S7,ORIGINAL,0.0,ORIGINAL,0.0,2.4338235294117645,2.0,0,20
sciences,S7,ORIGINAL,0.0,ORIGINAL,0.0,2.4338235294117645,2.0,0,20
sciences,S7,ORIGINAL,0.0,ORIGINAL,0.0,2.4338235294117645,2.0,0,20
sciences,BLU,SAE,0.0,ORIGINAL,0.0,8.595588235294118,3.0,0,58
sciences,BLU,SAE,0.0,ORIGINAL,0.0,8.595588235294118,3.0,0,58
sciences,BLU,SAE,0.0,ORIGINAL,0.0,8.595588235294118,3.0,0,58
sciences,BLU,SAE,0.0,ORIGINAL,0.0,8.595588235294118,3.0,0,58
sciences,BLU,SAE,0.0,ORIGINAL,0.0,8.595588235294118,3.0,0,58
sciences,BLU,SAE,0.0,ORIGINAL,0.0,8.595588235294118,3.0,0,58
sciences,BLU,SAE,0.0,ORIGINAL,0.0,8.595588235294118,3.0,0,58
sciences,BLU,SAE,0.0,ORIGINAL,0.0,8.595588235294118,3.0,0,58
sciences,BLU,SAE,0.0,ORIGINAL,0.0,8.595588235294118,3.0,0,58
sciences,BLU,SAE,0.0,ORIGINAL,0.0,8.595588235294118,3.0,0,58
sciences,HTC,SAE,0.0,ORIGINAL,0.0,3.588235294117647,2.5,0,65
sciences,HTC,SAE,0.0,ORIGINAL,0.0,3.588235294117647,2.5,0,65
sciences,HTC,SAE,0.0,ORIGINAL,0.0,3.588235294117647,2.5,0,65
sciences,HTC,SAE,0.0,ORIGINAL,0.0,3.588235294117647,2.5,0,65
sciences,HTC,SAE,0.0,ORIGINAL,0.0,3.588235294117647,2.5,0,65
sciences,HTC,SAE,0.0,ORIGINAL,0.0,3.588235294117647,2.5,0,65
sciences,HTC,SAE,0.0,ORIGINAL,0.0,3.588235294117647,2.5,0,65
sciences,HTC,SAE,0.0,ORIGINAL,0.0,3.588235294117647,2.5,0,65
sciences,HTC,SAE,0.0,ORIGINAL,0.0,3.588235294117647,2.5,0,65
sciences,HTC,SAE,0.0,ORIGINAL,0.0,3.588235294117647,2.5,0,65
sciences,LG,SAE,0.0,ORIGINAL,0.0,3.551470588235294,3.0,0,14
sciences,LG,SAE,0.0,ORIGINAL,0.0,3.551470588235294,3.0,0,14
sciences,LG,SAE,0.0,ORIGINAL,0.0,3.551470588235294,3.0,0,14
sciences,LG,SAE,0.0,ORIGINAL,0.0,3.551470588235294,3.0,0,14
sciences,LG,SAE,0.0,ORIGINAL,0.0,3.551470588235294,3.0,0,14
sciences,LG,SAE,0.0,ORIGINAL,0.0,3.551470588235294,3.0,0,14
sciences,LG,SAE,0.0,ORIGINAL,0.0,3.551470588235294,3.0,0,14
sciences,LG,SAE,0.0,ORIGINAL,0.0,3.551470588235294,3.0,0,14
sciences,LG,SAE,0.0,ORIGINAL,0.0,3.551470588235294,3.0,0,14
sciences,LG,SAE,0.0,ORIGINAL,0.0,3.551470588235294,3.0,0,14
sciences,MOTO,SAE,0.0,ORIGINAL,0.0,3.375,2.0,0,66
sciences,MOTO,SAE,0.0,ORIGINAL,0.0,3.375,2.0,0,66
sciences,MOTO,SAE,0.0,ORIGINAL,0.0,3.375,2.0,0,66
