Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
engr0,BLU,ORIGINAL,0.1,FGSM,0.1,2.098360655737705,1.0,0,43
engr0,HTC,ORIGINAL,0.1,FGSM,0.1,2.098360655737705,1.0,0,43
engr0,LG,ORIGINAL,0.1,FGSM,0.1,2.098360655737705,1.0,0,43
engr0,MOTO,ORIGINAL,0.1,FGSM,0.1,2.098360655737705,1.0,0,43
engr0,OP3,ORIGINAL,0.1,FGSM,0.1,2.098360655737705,1.0,0,43
engr0,S7,ORIGINAL,0.1,FGSM,0.1,2.098360655737705,1.0,0,43
engr0,BLU,ORIGINAL,0.1,FGSM,0.2,6.590163934426229,3.0,0,48
engr0,HTC,ORIGINAL,0.1,FGSM,0.2,6.590163934426229,3.0,0,48
engr0,LG,ORIGINAL,0.1,FGSM,0.2,6.590163934426229,3.0,0,48
engr0,MOTO,ORIGINAL,0.1,FGSM,0.2,6.590163934426229,3.0,0,48
engr0,OP3,ORIGINAL,0.1,FGSM,0.2,6.590163934426229,3.0,0,48
engr0,S7,ORIGINAL,0.1,FGSM,0.2,6.590163934426229,3.0,0,48
engr0,BLU,ORIGINAL,0.1,FGSM,0.3,12.147540983606557,8.0,0,53
engr0,HTC,ORIGINAL,0.1,FGSM,0.3,12.147540983606557,8.0,0,53
engr0,LG,ORIGINAL,0.1,FGSM,0.3,12.147540983606557,8.0,0,53
engr0,MOTO,ORIGINAL,0.1,FGSM,0.3,12.147540983606557,8.0,0,53
engr0,OP3,ORIGINAL,0.1,FGSM,0.3,12.147540983606557,8.0,0,53
engr0,S7,ORIGINAL,0.1,FGSM,0.3,12.147540983606557,8.0,0,53
engr0,BLU,ORIGINAL,0.1,FGSM,0.4,15.37704918032787,10.0,0,52
engr0,HTC,ORIGINAL,0.1,FGSM,0.4,15.37704918032787,10.0,0,52
engr0,LG,ORIGINAL,0.1,FGSM,0.4,15.37704918032787,10.0,0,52
engr0,MOTO,ORIGINAL,0.1,FGSM,0.4,15.37704918032787,10.0,0,52
engr0,OP3,ORIGINAL,0.1,FGSM,0.4,15.37704918032787,10.0,0,52
engr0,S7,ORIGINAL,0.1,FGSM,0.4,15.37704918032787,10.0,0,52
engr0,BLU,ORIGINAL,0.1,FGSM,0.5,15.852459016393443,11.0,0,52
engr0,HTC,ORIGINAL,0.1,FGSM,0.5,15.852459016393443,11.0,0,52
engr0,LG,ORIGINAL,0.1,FGSM,0.5,15.852459016393443,11.0,0,52
engr0,MOTO,ORIGINAL,0.1,FGSM,0.5,15.852459016393443,11.0,0,52
engr0,OP3,ORIGINAL,0.1,FGSM,0.5,15.852459016393443,11.0,0,52
engr0,S7,ORIGINAL,0.1,FGSM,0.5,15.852459016393443,11.0,0,52
engr0,BLU,ORIGINAL,0.1,FGSM,0.6,16.672131147540984,13.0,0,52
engr0,HTC,ORIGINAL,0.1,FGSM,0.6,16.672131147540984,13.0,0,52
engr0,LG,ORIGINAL,0.1,FGSM,0.6,16.672131147540984,13.0,0,52
engr0,MOTO,ORIGINAL,0.1,FGSM,0.6,16.672131147540984,13.0,0,52
engr0,OP3,ORIGINAL,0.1,FGSM,0.6,16.672131147540984,13.0,0,52
engr0,S7,ORIGINAL,0.1,FGSM,0.6,16.672131147540984,13.0,0,52
engr0,BLU,ORIGINAL,0.1,FGSM,0.7,17.475409836065573,13.0,0,53
engr0,HTC,ORIGINAL,0.1,FGSM,0.7,17.475409836065573,13.0,0,53
engr0,LG,ORIGINAL,0.1,FGSM,0.7,17.475409836065573,13.0,0,53
