Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
engr0,BLU,ORIGINAL,0.1,ORIGINAL,0.1,2.3442622950819674,2.0,0,9
engr0,HTC,ORIGINAL,0.1,ORIGINAL,0.1,2.360655737704918,2.0,0,9
engr0,LG,ORIGINAL,0.1,ORIGINAL,0.1,2.2459016393442623,1.0,0,13
engr0,MOTO,ORIGINAL,0.1,ORIGINAL,0.1,2.081967213114754,1.0,0,12
engr0,OP3,ORIGINAL,0.1,ORIGINAL,0.1,0.08196721311475409,0.0,0,2
engr0,S7,ORIGINAL,0.1,ORIGINAL,0.1,1.6557377049180328,2.0,0,6
engr0,BLU,SAE,0.1,ORIGINAL,0.1,7.065573770491803,2.0,0,50
engr0,HTC,SAE,0.1,ORIGINAL,0.1,4.114754098360656,2.0,0,45
engr0,LG,SAE,0.1,ORIGINAL,0.1,4.049180327868853,2.0,0,42
engr0,MOTO,SAE,0.1,ORIGINAL,0.1,2.3114754098360657,1.0,0,12
engr0,OP3,SAE,0.1,ORIGINAL,0.1,0.22950819672131148,0.0,0,2
engr0,S7,SAE,0.1,ORIGINAL,0.1,3.2950819672131146,1.0,0,45
engr0,BLU,STACKED_SAE,0.1,ORIGINAL,0.1,1.9836065573770492,2.0,0,8
engr0,HTC,STACKED_SAE,0.1,ORIGINAL,0.1,2.6557377049180326,2.0,0,12
engr0,LG,STACKED_SAE,0.1,ORIGINAL,0.1,2.3114754098360657,2.0,0,10
engr0,MOTO,STACKED_SAE,0.1,ORIGINAL,0.1,1.540983606557377,1.0,0,7
engr0,OP3,STACKED_SAE,0.1,ORIGINAL,0.1,0.11475409836065574,0.0,0,2
engr0,S7,STACKED_SAE,0.1,ORIGINAL,0.1,1.7377049180327868,1.0,0,7
engr0,BLU,GAN,0.1,ORIGINAL,0.1,1.7540983606557377,1.0,0,6
engr0,HTC,GAN,0.1,ORIGINAL,0.1,2.4262295081967213,2.0,0,9
engr0,LG,GAN,0.1,ORIGINAL,0.1,1.819672131147541,1.0,0,6
engr0,MOTO,GAN,0.1,ORIGINAL,0.1,2.180327868852459,1.0,0,21
engr0,OP3,GAN,0.1,ORIGINAL,0.1,1.0163934426229508,1.0,0,7
engr0,S7,GAN,0.1,ORIGINAL,0.1,1.6557377049180328,1.0,0,6
engr0,BLU,FGSM,0.1,ORIGINAL,0.1,2.0491803278688523,2.0,0,7
engr0,HTC,FGSM,0.1,ORIGINAL,0.1,2.081967213114754,2.0,0,9
engr0,LG,FGSM,0.1,ORIGINAL,0.1,2.4918032786885247,2.0,0,13
engr0,MOTO,FGSM,0.1,ORIGINAL,0.1,2.1311475409836067,1.0,0,15
engr0,OP3,FGSM,0.1,ORIGINAL,0.1,0.09836065573770492,0.0,0,2
engr0,S7,FGSM,0.1,ORIGINAL,0.1,1.639344262295082,1.0,0,12
engr0,BLU,FGSM,0.2,ORIGINAL,0.1,2.0327868852459017,2.0,0,8
engr0,HTC,FGSM,0.2,ORIGINAL,0.1,2.278688524590164,2.0,0,9
engr0,LG,FGSM,0.2,ORIGINAL,0.1,2.2295081967213113,2.0,0,13
engr0,MOTO,FGSM,0.2,ORIGINAL,0.1,2.4098360655737703,1.0,0,16
engr0,OP3,FGSM,0.2,ORIGINAL,0.1,0.08196721311475409,0.0,0,2
engr0,S7,FGSM,0.2,ORIGINAL,0.1,1.6885245901639345,1.0,0,12
engr0,BLU,FGSM,0.3,ORIGINAL,0.1,2.0327868852459017,2.0,0,7
engr0,HTC,FGSM,0.3,ORIGINAL,0.1,2.180327868852459,2.0,0,9
engr0,LG,FGSM,0.3,ORIGINAL,0.1,2.639344262295082,2.0,0,18
engr0,MOTO,FGSM,0.3,ORIGINAL,0.1,2.0655737704918034,1.0,0,15
engr0,OP3,FGSM,0.3,ORIGINAL,0.1,0.09836065573770492,0.0,0,2
engr0,S7,FGSM,0.3,ORIGINAL,0.1,1.7704918032786885,1.0,0,13
engr0,BLU,FGSM,0.4,ORIGINAL,0.1,2.0163934426229506,2.0,0,13
engr0,HTC,FGSM,0.4,ORIGINAL,0.1,2.3114754098360657,2.0,0,9
engr0,LG,FGSM,0.4,ORIGINAL,0.1,2.3934426229508197,2.0,0,13
engr0,MOTO,FGSM,0.4,ORIGINAL,0.1,1.8032786885245902,1.0,0,7
engr0,OP3,FGSM,0.4,ORIGINAL,0.1,0.08196721311475409,0.0,0,2
engr0,S7,FGSM,0.4,ORIGINAL,0.1,1.6721311475409837,1.0,0,12
engr0,BLU,FGSM,0.5,ORIGINAL,0.1,2.2459016393442623,1.0,0,13
engr0,HTC,FGSM,0.5,ORIGINAL,0.1,2.2295081967213113,2.0,0,11
engr0,LG,FGSM,0.5,ORIGINAL,0.1,2.5901639344262297,2.0,0,18
engr0,MOTO,FGSM,0.5,ORIGINAL,0.1,1.8360655737704918,1.0,0,12
engr0,OP3,FGSM,0.5,ORIGINAL,0.1,0.09836065573770492,0.0,0,2
engr0,S7,FGSM,0.5,ORIGINAL,0.1,1.6885245901639345,1.0,0,12
engr0,BLU,FGSM,0.6,ORIGINAL,0.1,2.4098360655737703,2.0,0,13
engr0,HTC,FGSM,0.6,ORIGINAL,0.1,2.1475409836065573,2.0,0,9
engr0,LG,FGSM,0.6,ORIGINAL,0.1,2.5245901639344264,2.0,0,13
engr0,MOTO,FGSM,0.6,ORIGINAL,0.1,2.19672131147541,1.0,0,12
engr0,OP3,FGSM,0.6,ORIGINAL,0.1,0.09836065573770492,0.0,0,2
engr0,S7,FGSM,0.6,ORIGINAL,0.1,2.1147540983606556,1.0,0,21
engr0,BLU,FGSM,0.7,ORIGINAL,0.1,2.2295081967213113,2.0,0,13
engr0,HTC,FGSM,0.7,ORIGINAL,0.1,3.1311475409836067,2.0,0,44
engr0,LG,FGSM,0.7,ORIGINAL,0.1,3.0,1.0,0,44
engr0,MOTO,FGSM,0.7,ORIGINAL,0.1,1.9344262295081966,1.0,0,9
engr0,OP3,FGSM,0.7,ORIGINAL,0.1,0.08196721311475409,0.0,0,2
engr0,S7,FGSM,0.7,ORIGINAL,0.1,1.8524590163934427,1.0,0,12
engr0,BLU,FGSM,0.8,ORIGINAL,0.1,2.0655737704918034,1.0,0,13
engr0,HTC,FGSM,0.8,ORIGINAL,0.1,2.262295081967213,2.0,0,9
engr0,LG,FGSM,0.8,ORIGINAL,0.1,3.081967213114754,2.0,0,44
engr0,MOTO,FGSM,0.8,ORIGINAL,0.1,1.8688524590163935,1.0,0,12
engr0,OP3,FGSM,0.8,ORIGINAL,0.1,0.08196721311475409,0.0,0,2
engr0,S7,FGSM,0.8,ORIGINAL,0.1,1.7540983606557377,1.0,0,7
engr0,BLU,FGSM,0.9,ORIGINAL,0.1,2.377049180327869,2.0,0,13
engr0,HTC,FGSM,0.9,ORIGINAL,0.1,2.3442622950819674,2.0,0,10
engr0,LG,FGSM,0.9,ORIGINAL,0.1,2.737704918032787,2.0,0,18
engr0,MOTO,FGSM,0.9,ORIGINAL,0.1,2.7540983606557377,1.0,0,34
engr0,OP3,FGSM,0.9,ORIGINAL,0.1,0.16393442622950818,0.0,0,3
engr0,S7,FGSM,0.9,ORIGINAL,0.1,2.459016393442623,2.0,0,27
engr0,BLU,FGSM,1.0,ORIGINAL,0.1,2.3114754098360657,2.0,0,13
