Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.1,4.488636363636363,2.0,0,75
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.1,7.261363636363637,2.0,0,87
glover,LG,ORIGINAL,0.0,ORIGINAL,0.1,6.278409090909091,3.0,0,87
glover,MOTO,ORIGINAL,0.0,ORIGINAL,0.1,5.482954545454546,2.0,0,87
glover,OP3,ORIGINAL,0.0,ORIGINAL,0.1,0.23295454545454544,0.0,0,5
glover,S7,ORIGINAL,0.0,ORIGINAL,0.1,5.096590909090909,2.0,0,87
glover,BLU,SAE,0.0,ORIGINAL,0.1,7.028409090909091,2.0,0,87
glover,HTC,SAE,0.0,ORIGINAL,0.1,5.778409090909091,2.0,0,87
glover,LG,SAE,0.0,ORIGINAL,0.1,9.136363636363637,3.0,0,87
glover,MOTO,SAE,0.0,ORIGINAL,0.1,4.6477272727272725,2.0,0,87
glover,OP3,SAE,0.0,ORIGINAL,0.1,1.0,0.0,0,86
glover,S7,SAE,0.0,ORIGINAL,0.1,5.045454545454546,2.0,0,87
glover,BLU,STACKED_SAE,0.0,ORIGINAL,0.1,4.295454545454546,2.0,0,46
glover,HTC,STACKED_SAE,0.0,ORIGINAL,0.1,5.045454545454546,2.0,0,87
glover,LG,STACKED_SAE,0.0,ORIGINAL,0.1,5.653409090909091,2.0,0,87
glover,MOTO,STACKED_SAE,0.0,ORIGINAL,0.1,3.3181818181818183,2.0,0,87
glover,OP3,STACKED_SAE,0.0,ORIGINAL,0.1,0.25,0.0,0,4
glover,S7,STACKED_SAE,0.0,ORIGINAL,0.1,3.960227272727273,1.0,0,87
glover,BLU,GAN,0.0,ORIGINAL,0.1,4.556818181818182,2.0,0,87
glover,HTC,GAN,0.0,ORIGINAL,0.1,4.9602272727272725,2.0,0,86
glover,LG,GAN,0.0,ORIGINAL,0.1,6.340909090909091,2.0,0,85
glover,MOTO,GAN,0.0,ORIGINAL,0.1,4.403409090909091,2.0,0,87
glover,OP3,GAN,0.0,ORIGINAL,0.1,2.2443181818181817,0.0,0,86
glover,S7,GAN,0.0,ORIGINAL,0.1,3.8579545454545454,1.0,0,87
glover,BLU,FGSM,0.1,FGSM,0.1,8.085227272727273,3.0,0,87
glover,BLU,FGSM,0.1,FGSM,0.2,11.380681818181818,5.0,0,87
glover,BLU,FGSM,0.1,FGSM,0.3,12.909090909090908,6.0,0,83
glover,BLU,FGSM,0.1,FGSM,0.4,14.289772727272727,7.0,0,83
glover,BLU,FGSM,0.1,FGSM,0.5,16.8125,8.0,0,83
glover,BLU,FGSM,0.1,FGSM,0.6,17.585227272727273,8.0,0,83
glover,BLU,FGSM,0.1,FGSM,0.7,17.767045454545453,8.0,0,83
glover,BLU,FGSM,0.1,FGSM,0.8,19.073863636363637,9.0,0,83
glover,BLU,FGSM,0.1,FGSM,0.9,19.210227272727273,9.0,0,83
glover,BLU,FGSM,0.1,FGSM,1.0,19.619318181818183,9.0,0,83
glover,HTC,FGSM,0.1,FGSM,0.1,6.8352272727272725,2.0,0,86
glover,HTC,FGSM,0.1,FGSM,0.2,8.272727272727273,3.0,0,86
glover,HTC,FGSM,0.1,FGSM,0.3,10.244318181818182,4.0,0,86
glover,HTC,FGSM,0.1,FGSM,0.4,11.965909090909092,5.0,0,86
glover,HTC,FGSM,0.1,FGSM,0.5,11.8125,5.0,0,86
glover,HTC,FGSM,0.1,FGSM,0.6,13.130681818181818,7.0,0,86
glover,HTC,FGSM,0.1,FGSM,0.7,13.375,7.0,0,86
glover,HTC,FGSM,0.1,FGSM,0.8,14.261363636363637,7.5,0,86
glover,HTC,FGSM,0.1,FGSM,0.9,14.778409090909092,8.0,0,86
glover,HTC,FGSM,0.1,FGSM,1.0,15.5,9.0,0,86
glover,LG,FGSM,0.1,FGSM,0.1,6.505681818181818,2.5,0,87
glover,LG,FGSM,0.1,FGSM,0.2,8.886363636363637,3.0,0,87
glover,LG,FGSM,0.1,FGSM,0.3,11.653409090909092,4.0,0,87
