Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.1,10.558333333333334,6.0,0,51
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.1,9.183333333333334,4.0,0,43
libstudy,LG,ORIGINAL,0.0,ORIGINAL,0.1,11.091666666666667,4.0,0,50
libstudy,MOTO,ORIGINAL,0.0,ORIGINAL,0.1,7.041666666666667,2.0,0,42
libstudy,OP3,ORIGINAL,0.0,ORIGINAL,0.1,0.125,0.0,0,5
libstudy,S7,ORIGINAL,0.0,ORIGINAL,0.1,5.525,1.0,0,47
libstudy,BLU,SAE,0.0,ORIGINAL,0.1,14.408333333333333,11.0,0,53
libstudy,HTC,SAE,0.0,ORIGINAL,0.1,6.533333333333333,3.0,0,45
libstudy,LG,SAE,0.0,ORIGINAL,0.1,10.108333333333333,4.0,0,52
libstudy,MOTO,SAE,0.0,ORIGINAL,0.1,5.741666666666666,2.0,0,44
libstudy,OP3,SAE,0.0,ORIGINAL,0.1,0.13333333333333333,0.0,0,5
libstudy,S7,SAE,0.0,ORIGINAL,0.1,6.6,2.0,0,58
libstudy,BLU,STACKED_SAE,0.0,ORIGINAL,0.1,11.133333333333333,4.0,0,57
libstudy,HTC,STACKED_SAE,0.0,ORIGINAL,0.1,9.816666666666666,4.0,0,41
libstudy,LG,STACKED_SAE,0.0,ORIGINAL,0.1,12.85,5.0,0,46
libstudy,MOTO,STACKED_SAE,0.0,ORIGINAL,0.1,7.925,3.0,0,42
libstudy,OP3,STACKED_SAE,0.0,ORIGINAL,0.1,0.15833333333333333,0.0,0,5
libstudy,S7,STACKED_SAE,0.0,ORIGINAL,0.1,4.441666666666666,1.5,0,43
libstudy,BLU,GAN,0.0,ORIGINAL,0.1,9.158333333333333,8.0,0,52
libstudy,HTC,GAN,0.0,ORIGINAL,0.1,8.225,3.0,0,46
libstudy,LG,GAN,0.0,ORIGINAL,0.1,6.883333333333334,3.0,0,51
libstudy,MOTO,GAN,0.0,ORIGINAL,0.1,5.85,2.0,0,45
libstudy,OP3,GAN,0.0,ORIGINAL,0.1,1.0166666666666666,0.0,0,13
libstudy,S7,GAN,0.0,ORIGINAL,0.1,5.275,2.0,0,45
libstudy,BLU,FGSM,0.1,FGSM,0.1,12.875,9.0,0,52
libstudy,BLU,FGSM,0.1,FGSM,0.2,13.025,10.0,0,49
libstudy,BLU,FGSM,0.1,FGSM,0.3,13.491666666666667,10.0,0,49
libstudy,BLU,FGSM,0.1,FGSM,0.4,13.75,10.5,0,48
libstudy,BLU,FGSM,0.1,FGSM,0.5,14.141666666666667,11.0,0,48
libstudy,BLU,FGSM,0.1,FGSM,0.6,14.108333333333333,11.0,0,45
libstudy,BLU,FGSM,0.1,FGSM,0.7,14.108333333333333,11.0,0,45
libstudy,BLU,FGSM,0.1,FGSM,0.8,14.25,11.0,0,45
libstudy,BLU,FGSM,0.1,FGSM,0.9,14.708333333333334,13.0,0,45
libstudy,BLU,FGSM,0.1,FGSM,1.0,14.633333333333333,13.0,0,45
libstudy,HTC,FGSM,0.1,FGSM,0.1,9.758333333333333,3.0,0,50
libstudy,HTC,FGSM,0.1,FGSM,0.2,10.341666666666667,4.0,0,43
libstudy,HTC,FGSM,0.1,FGSM,0.3,11.25,5.0,0,43
libstudy,HTC,FGSM,0.1,FGSM,0.4,12.116666666666667,6.5,0,43
libstudy,HTC,FGSM,0.1,FGSM,0.5,12.791666666666666,7.0,0,45
libstudy,HTC,FGSM,0.1,FGSM,0.6,13.25,8.0,0,45
libstudy,HTC,FGSM,0.1,FGSM,0.7,13.4,8.0,0,45
libstudy,HTC,FGSM,0.1,FGSM,0.8,14.116666666666667,8.0,0,47
libstudy,HTC,FGSM,0.1,FGSM,0.9,14.741666666666667,8.5,0,47
libstudy,HTC,FGSM,0.1,FGSM,1.0,14.933333333333334,8.0,0,47
libstudy,LG,FGSM,0.1,FGSM,0.1,10.3,5.0,0,46
libstudy,LG,FGSM,0.1,FGSM,0.2,11.116666666666667,6.0,0,46
libstudy,LG,FGSM,0.1,FGSM,0.3,11.925,7.0,0,46
libstudy,LG,FGSM,0.1,FGSM,0.4,12.6,8.0,0,46
libstudy,LG,FGSM,0.1,FGSM,0.5,12.9,8.5,0,46
libstudy,LG,FGSM,0.1,FGSM,0.6,12.791666666666666,9.0,0,46
libstudy,LG,FGSM,0.1,FGSM,0.7,13.391666666666667,9.5,0,46
libstudy,LG,FGSM,0.1,FGSM,0.8,13.25,9.0,0,46
