Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.1,8.683823529411764,4.0,0,66
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.1,2.573529411764706,2.0,0,52
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.1,2.551470588235294,2.0,0,10
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.1,2.713235294117647,2.0,0,51
sciences,OP3,ORIGINAL,0.0,ORIGINAL,0.1,0.8823529411764706,0.0,0,43
sciences,S7,ORIGINAL,0.0,ORIGINAL,0.1,3.3308823529411766,2.0,0,66
sciences,BLU,SAE,0.0,ORIGINAL,0.1,8.875,4.0,0,63
sciences,HTC,SAE,0.0,ORIGINAL,0.1,2.9558823529411766,2.0,0,41
sciences,LG,SAE,0.0,ORIGINAL,0.1,3.889705882352941,2.0,0,65
sciences,MOTO,SAE,0.0,ORIGINAL,0.1,2.8970588235294117,1.0,0,62
sciences,OP3,SAE,0.0,ORIGINAL,0.1,0.6544117647058824,0.0,0,17
sciences,S7,SAE,0.0,ORIGINAL,0.1,2.4338235294117645,1.5,0,19
sciences,BLU,STACKED_SAE,0.0,ORIGINAL,0.1,7.227941176470588,3.0,0,62
sciences,HTC,STACKED_SAE,0.0,ORIGINAL,0.1,2.7205882352941178,2.0,0,48
sciences,LG,STACKED_SAE,0.0,ORIGINAL,0.1,3.198529411764706,2.0,0,18
sciences,MOTO,STACKED_SAE,0.0,ORIGINAL,0.1,2.0441176470588234,1.5,0,14
sciences,OP3,STACKED_SAE,0.0,ORIGINAL,0.1,0.6764705882352942,0.0,0,11
sciences,S7,STACKED_SAE,0.0,ORIGINAL,0.1,2.8161764705882355,1.0,0,44
sciences,BLU,GAN,0.0,ORIGINAL,0.1,24.441176470588236,22.5,0,56
sciences,HTC,GAN,0.0,ORIGINAL,0.1,24.441176470588236,22.5,0,56
sciences,LG,GAN,0.0,ORIGINAL,0.1,24.441176470588236,22.5,0,56
sciences,MOTO,GAN,0.0,ORIGINAL,0.1,24.441176470588236,22.5,0,56
sciences,OP3,GAN,0.0,ORIGINAL,0.1,24.441176470588236,22.5,0,56
sciences,S7,GAN,0.0,ORIGINAL,0.1,24.441176470588236,22.5,0,56
sciences,BLU,FGSM,0.1,FGSM,0.1,14.75,6.0,0,66
sciences,BLU,FGSM,0.1,FGSM,0.2,19.36764705882353,12.0,0,66
sciences,BLU,FGSM,0.1,FGSM,0.3,19.955882352941178,13.0,0,66
sciences,BLU,FGSM,0.1,FGSM,0.4,19.88235294117647,13.0,0,66
sciences,BLU,FGSM,0.1,FGSM,0.5,20.21323529411765,15.0,0,66
