Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.1147540983606556,2.0,0.0,9.0
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.1147540983606556,2.0,0.0,9.0
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.1147540983606556,2.0,0.0,9.0
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.1147540983606556,2.0,0.0,9.0
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.1147540983606556,2.0,0.0,9.0
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.1147540983606556,2.0,0.0,9.0
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.1147540983606556,2.0,0.0,9.0
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.1147540983606556,2.0,0.0,9.0
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.1147540983606556,2.0,0.0,9.0
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.1147540983606556,2.0,0.0,9.0
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.5573770491803278,1.0,0.0,11.0
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.5573770491803278,1.0,0.0,11.0
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.5573770491803278,1.0,0.0,11.0
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.5573770491803278,1.0,0.0,11.0
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.5573770491803278,1.0,0.0,11.0
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.5573770491803278,1.0,0.0,11.0
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.5573770491803278,1.0,0.0,11.0
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.5573770491803278,1.0,0.0,11.0
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.5573770491803278,1.0,0.0,11.0
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.5573770491803278,1.0,0.0,11.0
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.0,2.3114754098360657,2.0,0.0,7.0
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.0,2.3114754098360657,2.0,0.0,7.0
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.0,2.3114754098360657,2.0,0.0,7.0
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.0,2.3114754098360657,2.0,0.0,7.0
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.0,2.3114754098360657,2.0,0.0,7.0
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.0,2.3114754098360657,2.0,0.0,7.0
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.0,2.3114754098360657,2.0,0.0,7.0
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.0,2.3114754098360657,2.0,0.0,7.0
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.0,2.3114754098360657,2.0,0.0,7.0
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.0,2.3114754098360657,2.0,0.0,7.0
engr0,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.6229508196721312,1.0,0.0,6.0
engr0,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.6229508196721312,1.0,0.0,6.0
engr0,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.6229508196721312,1.0,0.0,6.0
engr0,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.6229508196721312,1.0,0.0,6.0
engr0,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.6229508196721312,1.0,0.0,6.0
engr0,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.6229508196721312,1.0,0.0,6.0
engr0,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.6229508196721312,1.0,0.0,6.0
engr0,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.6229508196721312,1.0,0.0,6.0
engr0,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.6229508196721312,1.0,0.0,6.0
engr0,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.6229508196721312,1.0,0.0,6.0
engr0,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.0,0.0,0.0,0.0
engr0,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.0,0.0,0.0,0.0
engr0,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.0,0.0,0.0,0.0
engr0,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.0,0.0,0.0,0.0
engr0,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.0,0.0,0.0,0.0
engr0,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.0,0.0,0.0,0.0
engr0,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.0,0.0,0.0,0.0
engr0,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.0,0.0,0.0,0.0
engr0,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.0,0.0,0.0,0.0
engr0,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.0,0.0,0.0,0.0
engr0,S7,ORIGINAL,0.0,ORIGINAL,0.0,1.2295081967213115,1.0,0.0,6.0
engr0,S7,ORIGINAL,0.0,ORIGINAL,0.0,1.2295081967213115,1.0,0.0,6.0
engr0,S7,ORIGINAL,0.0,ORIGINAL,0.0,1.2295081967213115,1.0,0.0,6.0
engr0,S7,ORIGINAL,0.0,ORIGINAL,0.0,1.2295081967213115,1.0,0.0,6.0
engr0,S7,ORIGINAL,0.0,ORIGINAL,0.0,1.2295081967213115,1.0,0.0,6.0
engr0,S7,ORIGINAL,0.0,ORIGINAL,0.0,1.2295081967213115,1.0,0.0,6.0
engr0,S7,ORIGINAL,0.0,ORIGINAL,0.0,1.2295081967213115,1.0,0.0,6.0
engr0,S7,ORIGINAL,0.0,ORIGINAL,0.0,1.2295081967213115,1.0,0.0,6.0
engr0,S7,ORIGINAL,0.0,ORIGINAL,0.0,1.2295081967213115,1.0,0.0,6.0
engr0,S7,ORIGINAL,0.0,ORIGINAL,0.0,1.2295081967213115,1.0,0.0,6.0
engr0,BLU,SAE,0.0,ORIGINAL,0.0,2.1147540983606556,2.0,0.0,9.0
engr0,BLU,SAE,0.0,ORIGINAL,0.0,2.1147540983606556,2.0,0.0,9.0
engr0,BLU,SAE,0.0,ORIGINAL,0.0,2.1147540983606556,2.0,0.0,9.0
engr0,BLU,SAE,0.0,ORIGINAL,0.0,2.1147540983606556,2.0,0.0,9.0
engr0,BLU,SAE,0.0,ORIGINAL,0.0,2.1147540983606556,2.0,0.0,9.0
engr0,BLU,SAE,0.0,ORIGINAL,0.0,2.1147540983606556,2.0,0.0,9.0
engr0,BLU,SAE,0.0,ORIGINAL,0.0,2.1147540983606556,2.0,0.0,9.0
engr0,BLU,SAE,0.0,ORIGINAL,0.0,2.1147540983606556,2.0,0.0,9.0
engr0,BLU,SAE,0.0,ORIGINAL,0.0,2.1147540983606556,2.0,0.0,9.0
engr0,BLU,SAE,0.0,ORIGINAL,0.0,2.1147540983606556,2.0,0.0,9.0
engr0,HTC,SAE,0.0,ORIGINAL,0.0,1.5573770491803278,1.0,0.0,11.0
engr0,HTC,SAE,0.0,ORIGINAL,0.0,1.5573770491803278,1.0,0.0,11.0
engr0,HTC,SAE,0.0,ORIGINAL,0.0,1.5573770491803278,1.0,0.0,11.0
engr0,HTC,SAE,0.0,ORIGINAL,0.0,1.5573770491803278,1.0,0.0,11.0
engr0,HTC,SAE,0.0,ORIGINAL,0.0,1.5573770491803278,1.0,0.0,11.0
engr0,HTC,SAE,0.0,ORIGINAL,0.0,1.5573770491803278,1.0,0.0,11.0
engr0,HTC,SAE,0.0,ORIGINAL,0.0,1.5573770491803278,1.0,0.0,11.0
engr0,HTC,SAE,0.0,ORIGINAL,0.0,1.5573770491803278,1.0,0.0,11.0
engr0,HTC,SAE,0.0,ORIGINAL,0.0,1.5573770491803278,1.0,0.0,11.0
engr0,HTC,SAE,0.0,ORIGINAL,0.0,1.5573770491803278,1.0,0.0,11.0
engr0,LG,SAE,0.0,ORIGINAL,0.0,2.3114754098360657,2.0,0.0,7.0
