Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.1041666666666665,1.5,0.0,8.0
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.1041666666666665,1.5,0.0,8.0
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.1041666666666665,1.5,0.0,8.0
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.1041666666666665,1.5,0.0,8.0
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.1041666666666665,1.5,0.0,8.0
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.1041666666666665,1.5,0.0,8.0
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.1041666666666665,1.5,0.0,8.0
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.1041666666666665,1.5,0.0,8.0
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.1041666666666665,1.5,0.0,8.0
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,2.1041666666666665,1.5,0.0,8.0
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.0,2.0,0.0,7.0
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.0,2.0,0.0,7.0
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.0,2.0,0.0,7.0
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.0,2.0,0.0,7.0
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.0,2.0,0.0,7.0
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.0,2.0,0.0,7.0
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.0,2.0,0.0,7.0
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.0,2.0,0.0,7.0
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.0,2.0,0.0,7.0
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,2.0,2.0,0.0,7.0
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,2.9583333333333335,2.0,0.0,10.0
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,2.9583333333333335,2.0,0.0,10.0
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,2.9583333333333335,2.0,0.0,10.0
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,2.9583333333333335,2.0,0.0,10.0
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,2.9583333333333335,2.0,0.0,10.0
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,2.9583333333333335,2.0,0.0,10.0
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,2.9583333333333335,2.0,0.0,10.0
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,2.9583333333333335,2.0,0.0,10.0
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,2.9583333333333335,2.0,0.0,10.0
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,2.9583333333333335,2.0,0.0,10.0
engr1,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.0625,2.0,0.0,14.0
engr1,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.0625,2.0,0.0,14.0
