Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.1477272727272725,1.0,0.0,87.0
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.1477272727272725,1.0,0.0,87.0
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.1477272727272725,1.0,0.0,87.0
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.1477272727272725,1.0,0.0,87.0
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.1477272727272725,1.0,0.0,87.0
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.1477272727272725,1.0,0.0,87.0
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.1477272727272725,1.0,0.0,87.0
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.1477272727272725,1.0,0.0,87.0
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.1477272727272725,1.0,0.0,87.0
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,5.1477272727272725,1.0,0.0,87.0
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.8068181818181817,1.5,0.0,87.0
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.8068181818181817,1.5,0.0,87.0
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.8068181818181817,1.5,0.0,87.0
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.8068181818181817,1.5,0.0,87.0
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.8068181818181817,1.5,0.0,87.0
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.8068181818181817,1.5,0.0,87.0
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.8068181818181817,1.5,0.0,87.0
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.8068181818181817,1.5,0.0,87.0
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.8068181818181817,1.5,0.0,87.0
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.8068181818181817,1.5,0.0,87.0
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,7.096590909090909,2.0,0.0,87.0
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,7.096590909090909,2.0,0.0,87.0
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,7.096590909090909,2.0,0.0,87.0
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,7.096590909090909,2.0,0.0,87.0
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,7.096590909090909,2.0,0.0,87.0
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,7.096590909090909,2.0,0.0,87.0
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,7.096590909090909,2.0,0.0,87.0
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,7.096590909090909,2.0,0.0,87.0
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,7.096590909090909,2.0,0.0,87.0
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,7.096590909090909,2.0,0.0,87.0
glover,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.5454545454545454,1.0,0.0,86.0
glover,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.5454545454545454,1.0,0.0,86.0
glover,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.5454545454545454,1.0,0.0,86.0
glover,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.5454545454545454,1.0,0.0,86.0
glover,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.5454545454545454,1.0,0.0,86.0
glover,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.5454545454545454,1.0,0.0,86.0
glover,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.5454545454545454,1.0,0.0,86.0
glover,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.5454545454545454,1.0,0.0,86.0
glover,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.5454545454545454,1.0,0.0,86.0
glover,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,2.5454545454545454,1.0,0.0,86.0
glover,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.07386363636363637,0.0,0.0,2.0
glover,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.07386363636363637,0.0,0.0,2.0
glover,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.07386363636363637,0.0,0.0,2.0
glover,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.07386363636363637,0.0,0.0,2.0
glover,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.07386363636363637,0.0,0.0,2.0
glover,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.07386363636363637,0.0,0.0,2.0
glover,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.07386363636363637,0.0,0.0,2.0
glover,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.07386363636363637,0.0,0.0,2.0
glover,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.07386363636363637,0.0,0.0,2.0
glover,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.07386363636363637,0.0,0.0,2.0
glover,S7,ORIGINAL,0.0,ORIGINAL,0.0,4.767045454545454,1.0,0.0,87.0
glover,S7,ORIGINAL,0.0,ORIGINAL,0.0,4.767045454545454,1.0,0.0,87.0
glover,S7,ORIGINAL,0.0,ORIGINAL,0.0,4.767045454545454,1.0,0.0,87.0
glover,S7,ORIGINAL,0.0,ORIGINAL,0.0,4.767045454545454,1.0,0.0,87.0
glover,S7,ORIGINAL,0.0,ORIGINAL,0.0,4.767045454545454,1.0,0.0,87.0
glover,S7,ORIGINAL,0.0,ORIGINAL,0.0,4.767045454545454,1.0,0.0,87.0
glover,S7,ORIGINAL,0.0,ORIGINAL,0.0,4.767045454545454,1.0,0.0,87.0
glover,S7,ORIGINAL,0.0,ORIGINAL,0.0,4.767045454545454,1.0,0.0,87.0
glover,S7,ORIGINAL,0.0,ORIGINAL,0.0,4.767045454545454,1.0,0.0,87.0
glover,S7,ORIGINAL,0.0,ORIGINAL,0.0,4.767045454545454,1.0,0.0,87.0
glover,BLU,SAE,0.0,ORIGINAL,0.0,5.1477272727272725,1.0,0.0,87.0
glover,BLU,SAE,0.0,ORIGINAL,0.0,5.1477272727272725,1.0,0.0,87.0
glover,BLU,SAE,0.0,ORIGINAL,0.0,5.1477272727272725,1.0,0.0,87.0
glover,BLU,SAE,0.0,ORIGINAL,0.0,5.1477272727272725,1.0,0.0,87.0
glover,BLU,SAE,0.0,ORIGINAL,0.0,5.1477272727272725,1.0,0.0,87.0
glover,BLU,SAE,0.0,ORIGINAL,0.0,5.1477272727272725,1.0,0.0,87.0
glover,BLU,SAE,0.0,ORIGINAL,0.0,5.1477272727272725,1.0,0.0,87.0
glover,BLU,SAE,0.0,ORIGINAL,0.0,5.1477272727272725,1.0,0.0,87.0
glover,BLU,SAE,0.0,ORIGINAL,0.0,5.1477272727272725,1.0,0.0,87.0
glover,BLU,SAE,0.0,ORIGINAL,0.0,5.1477272727272725,1.0,0.0,87.0
glover,HTC,SAE,0.0,ORIGINAL,0.0,3.8068181818181817,1.5,0.0,87.0
glover,HTC,SAE,0.0,ORIGINAL,0.0,3.8068181818181817,1.5,0.0,87.0
glover,HTC,SAE,0.0,ORIGINAL,0.0,3.8068181818181817,1.5,0.0,87.0
glover,HTC,SAE,0.0,ORIGINAL,0.0,3.8068181818181817,1.5,0.0,87.0
glover,HTC,SAE,0.0,ORIGINAL,0.0,3.8068181818181817,1.5,0.0,87.0
glover,HTC,SAE,0.0,ORIGINAL,0.0,3.8068181818181817,1.5,0.0,87.0
glover,HTC,SAE,0.0,ORIGINAL,0.0,3.8068181818181817,1.5,0.0,87.0
glover,HTC,SAE,0.0,ORIGINAL,0.0,3.8068181818181817,1.5,0.0,87.0
glover,HTC,SAE,0.0,ORIGINAL,0.0,3.8068181818181817,1.5,0.0,87.0
glover,HTC,SAE,0.0,ORIGINAL,0.0,3.8068181818181817,1.5,0.0,87.0
glover,LG,SAE,0.0,ORIGINAL,0.0,7.096590909090909,2.0,0.0,87.0
glover,LG,SAE,0.0,ORIGINAL,0.0,7.096590909090909,2.0,0.0,87.0
glover,LG,SAE,0.0,ORIGINAL,0.0,7.096590909090909,2.0,0.0,87.0
glover,LG,SAE,0.0,ORIGINAL,0.0,7.096590909090909,2.0,0.0,87.0
glover,LG,SAE,0.0,ORIGINAL,0.0,7.096590909090909,2.0,0.0,87.0
glover,LG,SAE,0.0,ORIGINAL,0.0,7.096590909090909,2.0,0.0,87.0
glover,LG,SAE,0.0,ORIGINAL,0.0,7.096590909090909,2.0,0.0,87.0
glover,LG,SAE,0.0,ORIGINAL,0.0,7.096590909090909,2.0,0.0,87.0
glover,LG,SAE,0.0,ORIGINAL,0.0,7.096590909090909,2.0,0.0,87.0
glover,LG,SAE,0.0,ORIGINAL,0.0,7.096590909090909,2.0,0.0,87.0
glover,MOTO,SAE,0.0,ORIGINAL,0.0,2.5454545454545454,1.0,0.0,86.0
glover,MOTO,SAE,0.0,ORIGINAL,0.0,2.5454545454545454,1.0,0.0,86.0
glover,MOTO,SAE,0.0,ORIGINAL,0.0,2.5454545454545454,1.0,0.0,86.0
glover,MOTO,SAE,0.0,ORIGINAL,0.0,2.5454545454545454,1.0,0.0,86.0
glover,MOTO,SAE,0.0,ORIGINAL,0.0,2.5454545454545454,1.0,0.0,86.0
glover,MOTO,SAE,0.0,ORIGINAL,0.0,2.5454545454545454,1.0,0.0,86.0
glover,MOTO,SAE,0.0,ORIGINAL,0.0,2.5454545454545454,1.0,0.0,86.0
glover,MOTO,SAE,0.0,ORIGINAL,0.0,2.5454545454545454,1.0,0.0,86.0
glover,MOTO,SAE,0.0,ORIGINAL,0.0,2.5454545454545454,1.0,0.0,86.0
glover,MOTO,SAE,0.0,ORIGINAL,0.0,2.5454545454545454,1.0,0.0,86.0
glover,OP3,SAE,0.0,ORIGINAL,0.0,0.07386363636363637,0.0,0.0,2.0
glover,OP3,SAE,0.0,ORIGINAL,0.0,0.07386363636363637,0.0,0.0,2.0
glover,OP3,SAE,0.0,ORIGINAL,0.0,0.07386363636363637,0.0,0.0,2.0
glover,OP3,SAE,0.0,ORIGINAL,0.0,0.07386363636363637,0.0,0.0,2.0
glover,OP3,SAE,0.0,ORIGINAL,0.0,0.07386363636363637,0.0,0.0,2.0
glover,OP3,SAE,0.0,ORIGINAL,0.0,0.07386363636363637,0.0,0.0,2.0
glover,OP3,SAE,0.0,ORIGINAL,0.0,0.07386363636363637,0.0,0.0,2.0
glover,OP3,SAE,0.0,ORIGINAL,0.0,0.07386363636363637,0.0,0.0,2.0
glover,OP3,SAE,0.0,ORIGINAL,0.0,0.07386363636363637,0.0,0.0,2.0
glover,OP3,SAE,0.0,ORIGINAL,0.0,0.07386363636363637,0.0,0.0,2.0
glover,S7,SAE,0.0,ORIGINAL,0.0,4.767045454545454,1.0,0.0,87.0
glover,S7,SAE,0.0,ORIGINAL,0.0,4.767045454545454,1.0,0.0,87.0
glover,S7,SAE,0.0,ORIGINAL,0.0,4.767045454545454,1.0,0.0,87.0
glover,S7,SAE,0.0,ORIGINAL,0.0,4.767045454545454,1.0,0.0,87.0
glover,S7,SAE,0.0,ORIGINAL,0.0,4.767045454545454,1.0,0.0,87.0
glover,S7,SAE,0.0,ORIGINAL,0.0,4.767045454545454,1.0,0.0,87.0
glover,S7,SAE,0.0,ORIGINAL,0.0,4.767045454545454,1.0,0.0,87.0
glover,S7,SAE,0.0,ORIGINAL,0.0,4.767045454545454,1.0,0.0,87.0
glover,S7,SAE,0.0,ORIGINAL,0.0,4.767045454545454,1.0,0.0,87.0
glover,S7,SAE,0.0,ORIGINAL,0.0,4.767045454545454,1.0,0.0,87.0
glover,BLU,STACKED_SAE,0.0,ORIGINAL,0.0,4.130681818181818,1.0,0.0,87.0
glover,BLU,STACKED_SAE,0.0,ORIGINAL,0.0,4.130681818181818,1.0,0.0,87.0
glover,BLU,STACKED_SAE,0.0,ORIGINAL,0.0,4.130681818181818,1.0,0.0,87.0
glover,BLU,STACKED_SAE,0.0,ORIGINAL,0.0,4.130681818181818,1.0,0.0,87.0
glover,BLU,STACKED_SAE,0.0,ORIGINAL,0.0,4.130681818181818,1.0,0.0,87.0
glover,BLU,STACKED_SAE,0.0,ORIGINAL,0.0,4.130681818181818,1.0,0.0,87.0
glover,BLU,STACKED_SAE,0.0,ORIGINAL,0.0,4.130681818181818,1.0,0.0,87.0
glover,BLU,STACKED_SAE,0.0,ORIGINAL,0.0,4.130681818181818,1.0,0.0,87.0
