Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.1333333333333333,2.0,0.0,40.0
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.1333333333333333,2.0,0.0,40.0
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.1333333333333333,2.0,0.0,40.0
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.1333333333333333,2.0,0.0,40.0
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.1333333333333333,2.0,0.0,40.0
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.1333333333333333,2.0,0.0,40.0
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.1333333333333333,2.0,0.0,40.0
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.1333333333333333,2.0,0.0,40.0
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.1333333333333333,2.0,0.0,40.0
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.1333333333333333,2.0,0.0,40.0
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,7.183333333333334,3.0,0.0,44.0
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,7.183333333333334,3.0,0.0,44.0
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,7.183333333333334,3.0,0.0,44.0
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,7.183333333333334,3.0,0.0,44.0
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,7.183333333333334,3.0,0.0,44.0
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,7.183333333333334,3.0,0.0,44.0
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,7.183333333333334,3.0,0.0,44.0
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,7.183333333333334,3.0,0.0,44.0
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,7.183333333333334,3.0,0.0,44.0
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.0,7.183333333333334,3.0,0.0,44.0
libstudy,LG,ORIGINAL,0.0,ORIGINAL,0.0,12.858333333333333,4.0,0.0,50.0
libstudy,LG,ORIGINAL,0.0,ORIGINAL,0.0,12.858333333333333,4.0,0.0,50.0
libstudy,LG,ORIGINAL,0.0,ORIGINAL,0.0,12.858333333333333,4.0,0.0,50.0
