Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,1.8360655737704918,1.0,0.0,8.0
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,1.8360655737704918,1.0,0.0,8.0
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,1.8360655737704918,1.0,0.0,8.0
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,1.8360655737704918,1.0,0.0,8.0
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,1.8360655737704918,1.0,0.0,8.0
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,1.8360655737704918,1.0,0.0,8.0
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,1.8360655737704918,1.0,0.0,8.0
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,1.8360655737704918,1.0,0.0,8.0
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,1.8360655737704918,1.0,0.0,8.0
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.0,1.8360655737704918,1.0,0.0,8.0
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.6557377049180328,1.0,0.0,5.0
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.6557377049180328,1.0,0.0,5.0
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.6557377049180328,1.0,0.0,5.0
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.6557377049180328,1.0,0.0,5.0
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.6557377049180328,1.0,0.0,5.0
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.6557377049180328,1.0,0.0,5.0
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.6557377049180328,1.0,0.0,5.0
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.6557377049180328,1.0,0.0,5.0
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.6557377049180328,1.0,0.0,5.0
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.6557377049180328,1.0,0.0,5.0
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.0,1.9180327868852458,2.0,0.0,7.0
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.0,1.9180327868852458,2.0,0.0,7.0
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.0,1.9180327868852458,2.0,0.0,7.0
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.0,1.9180327868852458,2.0,0.0,7.0
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.0,1.9180327868852458,2.0,0.0,7.0
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.0,1.9180327868852458,2.0,0.0,7.0
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.0,1.9180327868852458,2.0,0.0,7.0
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.0,1.9180327868852458,2.0,0.0,7.0
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.0,1.9180327868852458,2.0,0.0,7.0
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.0,1.9180327868852458,2.0,0.0,7.0
engr0,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.360655737704918,1.0,0.0,7.0
engr0,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.360655737704918,1.0,0.0,7.0
engr0,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.360655737704918,1.0,0.0,7.0
engr0,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.360655737704918,1.0,0.0,7.0
engr0,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.360655737704918,1.0,0.0,7.0
engr0,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.360655737704918,1.0,0.0,7.0
engr0,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.360655737704918,1.0,0.0,7.0
engr0,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.360655737704918,1.0,0.0,7.0
