Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.610294117647059,3.0,0.0,60.0
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.610294117647059,3.0,0.0,60.0
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.610294117647059,3.0,0.0,60.0
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.610294117647059,3.0,0.0,60.0
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.610294117647059,3.0,0.0,60.0
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.610294117647059,3.0,0.0,60.0
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.610294117647059,3.0,0.0,60.0
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.610294117647059,3.0,0.0,60.0
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.610294117647059,3.0,0.0,60.0
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.610294117647059,3.0,0.0,60.0
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.6176470588235294,1.0,0.0,6.0
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.6176470588235294,1.0,0.0,6.0
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.6176470588235294,1.0,0.0,6.0
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.6176470588235294,1.0,0.0,6.0
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.6176470588235294,1.0,0.0,6.0
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.6176470588235294,1.0,0.0,6.0
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.6176470588235294,1.0,0.0,6.0
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.6176470588235294,1.0,0.0,6.0
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.6176470588235294,1.0,0.0,6.0
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.0,1.6176470588235294,1.0,0.0,6.0
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,1.9191176470588236,1.0,0.0,7.0
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,1.9191176470588236,1.0,0.0,7.0
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,1.9191176470588236,1.0,0.0,7.0
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,1.9191176470588236,1.0,0.0,7.0
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,1.9191176470588236,1.0,0.0,7.0
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,1.9191176470588236,1.0,0.0,7.0
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,1.9191176470588236,1.0,0.0,7.0
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,1.9191176470588236,1.0,0.0,7.0
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,1.9191176470588236,1.0,0.0,7.0
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.0,1.9191176470588236,1.0,0.0,7.0
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.8455882352941178,1.5,0.0,7.0
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.8455882352941178,1.5,0.0,7.0
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.8455882352941178,1.5,0.0,7.0
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.8455882352941178,1.5,0.0,7.0
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.8455882352941178,1.5,0.0,7.0
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.8455882352941178,1.5,0.0,7.0
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.8455882352941178,1.5,0.0,7.0
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.8455882352941178,1.5,0.0,7.0
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.8455882352941178,1.5,0.0,7.0
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,1.8455882352941178,1.5,0.0,7.0
sciences,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.6397058823529411,0.0,0.0,5.0
sciences,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.6397058823529411,0.0,0.0,5.0
sciences,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.6397058823529411,0.0,0.0,5.0
sciences,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.6397058823529411,0.0,0.0,5.0
sciences,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.6397058823529411,0.0,0.0,5.0
sciences,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.6397058823529411,0.0,0.0,5.0
sciences,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.6397058823529411,0.0,0.0,5.0
sciences,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.6397058823529411,0.0,0.0,5.0
sciences,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.6397058823529411,0.0,0.0,5.0
sciences,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.6397058823529411,0.0,0.0,5.0
sciences,S7,ORIGINAL,0.0,ORIGINAL,0.0,1.6838235294117647,1.0,0.0,9.0
sciences,S7,ORIGINAL,0.0,ORIGINAL,0.0,1.6838235294117647,1.0,0.0,9.0
