Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
engr0,BLU,ORIGINAL,0.0,ORIGINAL,0.1,2.5081967213114753,2.0,0,9
engr0,HTC,ORIGINAL,0.0,ORIGINAL,0.1,2.6065573770491803,2.0,0,15
engr0,LG,ORIGINAL,0.0,ORIGINAL,0.1,6.19672131147541,5.0,0,21
engr0,MOTO,ORIGINAL,0.0,ORIGINAL,0.1,1.7540983606557377,1.0,0,21
engr0,OP3,ORIGINAL,0.0,ORIGINAL,0.1,0.0,0.0,0,0
engr0,S7,ORIGINAL,0.0,ORIGINAL,0.1,1.9508196721311475,1.0,0,8
engr0,BLU,SAE,0.0,ORIGINAL,0.1,2.5081967213114753,2.0,0,9
engr0,HTC,SAE,0.0,ORIGINAL,0.1,2.6065573770491803,2.0,0,15
engr0,LG,SAE,0.0,ORIGINAL,0.1,6.19672131147541,5.0,0,21
engr0,MOTO,SAE,0.0,ORIGINAL,0.1,1.7540983606557377,1.0,0,21
engr0,OP3,SAE,0.0,ORIGINAL,0.1,0.0,0.0,0,0
engr0,S7,SAE,0.0,ORIGINAL,0.1,1.9508196721311475,1.0,0,8
engr0,BLU,STACKED_SAE,0.0,ORIGINAL,0.1,2.5081967213114753,2.0,0,9
engr0,HTC,STACKED_SAE,0.0,ORIGINAL,0.1,2.6065573770491803,2.0,0,15
engr0,LG,STACKED_SAE,0.0,ORIGINAL,0.1,6.19672131147541,5.0,0,21
engr0,MOTO,STACKED_SAE,0.0,ORIGINAL,0.1,1.7540983606557377,1.0,0,21
engr0,OP3,STACKED_SAE,0.0,ORIGINAL,0.1,0.0,0.0,0,0
engr0,S7,STACKED_SAE,0.0,ORIGINAL,0.1,1.9508196721311475,1.0,0,8
engr0,BLU,GAN,0.0,ORIGINAL,0.1,2.5081967213114753,2.0,0,9
engr0,HTC,GAN,0.0,ORIGINAL,0.1,2.6065573770491803,2.0,0,15
engr0,LG,GAN,0.0,ORIGINAL,0.1,6.19672131147541,5.0,0,21
engr0,MOTO,GAN,0.0,ORIGINAL,0.1,1.7540983606557377,1.0,0,21
engr0,OP3,GAN,0.0,ORIGINAL,0.1,0.0,0.0,0,0
engr0,S7,GAN,0.0,ORIGINAL,0.1,1.9508196721311475,1.0,0,8
engr0,BLU,FGSM,0.1,FGSM,0.1,3.5081967213114753,2.0,0,18
engr0,BLU,FGSM,0.1,FGSM,0.2,12.39344262295082,10.0,0,38
engr0,BLU,FGSM,0.1,FGSM,0.3,14.557377049180328,13.0,0,41
engr0,BLU,FGSM,0.1,FGSM,0.4,16.75409836065574,15.0,0,51
engr0,BLU,FGSM,0.1,FGSM,0.5,17.016393442622952,16.0,0,51
engr0,BLU,FGSM,0.1,FGSM,0.6,17.049180327868854,16.0,0,51
engr0,BLU,FGSM,0.1,FGSM,0.7,17.049180327868854,16.0,0,51
engr0,BLU,FGSM,0.1,FGSM,0.8,17.049180327868854,16.0,0,51
engr0,BLU,FGSM,0.1,FGSM,0.9,17.049180327868854,16.0,0,51
engr0,BLU,FGSM,0.1,FGSM,1.0,17.049180327868854,16.0,0,51
engr0,HTC,FGSM,0.1,FGSM,0.1,5.639344262295082,4.0,0,20
engr0,HTC,FGSM,0.1,FGSM,0.2,12.754098360655737,12.0,1,37
engr0,HTC,FGSM,0.1,FGSM,0.3,15.78688524590164,16.0,1,42
engr0,HTC,FGSM,0.1,FGSM,0.4,16.311475409836067,16.0,1,52
engr0,HTC,FGSM,0.1,FGSM,0.5,16.83606557377049,17.0,1,54
engr0,HTC,FGSM,0.1,FGSM,0.6,16.80327868852459,17.0,1,54
engr0,HTC,FGSM,0.1,FGSM,0.7,16.80327868852459,17.0,1,54
engr0,HTC,FGSM,0.1,FGSM,0.8,16.80327868852459,17.0,1,54
engr0,HTC,FGSM,0.1,FGSM,0.9,16.80327868852459,17.0,1,54
engr0,HTC,FGSM,0.1,FGSM,1.0,16.80327868852459,17.0,1,54
engr0,LG,FGSM,0.1,FGSM,0.1,4.590163934426229,3.0,0,26
engr0,LG,FGSM,0.1,FGSM,0.2,11.508196721311476,10.0,0,38
engr0,LG,FGSM,0.1,FGSM,0.3,14.59016393442623,12.0,0,49
engr0,LG,FGSM,0.1,FGSM,0.4,17.75409836065574,17.0,0,51
engr0,LG,FGSM,0.1,FGSM,0.5,18.524590163934427,17.0,0,55
engr0,LG,FGSM,0.1,FGSM,0.6,18.491803278688526,17.0,0,55
