Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
engr1,BLU,FGSM,0.1,PGD,0.1,2.5416666666666665,2.5,0,7
engr1,BLU,FGSM,0.1,PGD,0.2,4.625,3.0,0,45
engr1,BLU,FGSM,0.1,PGD,0.3,6.458333333333333,3.0,0,46
engr1,BLU,FGSM,0.1,PGD,0.4,6.458333333333333,3.0,0,46
engr1,BLU,FGSM,0.1,PGD,0.5,6.458333333333333,3.0,0,46
engr1,BLU,FGSM,0.1,PGD,0.6,6.458333333333333,3.0,0,46
engr1,BLU,FGSM,0.1,PGD,0.7,6.458333333333333,3.0,0,46
engr1,BLU,FGSM,0.1,PGD,0.8,6.458333333333333,3.0,0,46
engr1,BLU,FGSM,0.1,PGD,0.9,6.458333333333333,3.0,0,46
engr1,BLU,FGSM,0.1,PGD,1.0,6.458333333333333,3.0,0,46
engr1,HTC,FGSM,0.1,PGD,0.1,3.5833333333333335,2.5,0,12
engr1,HTC,FGSM,0.1,PGD,0.2,3.3541666666666665,2.5,0,12
engr1,HTC,FGSM,0.1,PGD,0.3,3.2916666666666665,2.0,0,12
engr1,HTC,FGSM,0.1,PGD,0.4,3.2916666666666665,2.0,0,12
engr1,HTC,FGSM,0.1,PGD,0.5,3.2916666666666665,2.0,0,12
engr1,HTC,FGSM,0.1,PGD,0.6,3.2916666666666665,2.0,0,12
engr1,HTC,FGSM,0.1,PGD,0.7,3.2916666666666665,2.0,0,12
engr1,HTC,FGSM,0.1,PGD,0.8,3.2916666666666665,2.0,0,12
engr1,HTC,FGSM,0.1,PGD,0.9,3.2916666666666665,2.0,0,12
engr1,HTC,FGSM,0.1,PGD,1.0,3.2916666666666665,2.0,0,12
engr1,LG,FGSM,0.1,PGD,0.1,4.375,3.0,0,17
engr1,LG,FGSM,0.1,PGD,0.2,4.541666666666667,3.0,0,17
engr1,LG,FGSM,0.1,PGD,0.3,4.645833333333333,3.5,0,17
engr1,LG,FGSM,0.1,PGD,0.4,4.708333333333333,4.0,0,17
engr1,LG,FGSM,0.1,PGD,0.5,4.708333333333333,4.0,0,17
engr1,LG,FGSM,0.1,PGD,0.6,4.708333333333333,4.0,0,17
engr1,LG,FGSM,0.1,PGD,0.7,4.708333333333333,4.0,0,17
engr1,LG,FGSM,0.1,PGD,0.8,4.708333333333333,4.0,0,17
engr1,LG,FGSM,0.1,PGD,0.9,4.708333333333333,4.0,0,17
engr1,LG,FGSM,0.1,PGD,1.0,4.708333333333333,4.0,0,17
engr1,MOTO,FGSM,0.1,PGD,0.1,2.7291666666666665,2.0,0,28
engr1,MOTO,FGSM,0.1,PGD,0.2,3.1666666666666665,2.0,0,28
engr1,MOTO,FGSM,0.1,PGD,0.3,3.1041666666666665,2.0,0,28
engr1,MOTO,FGSM,0.1,PGD,0.4,3.1041666666666665,2.0,0,28
engr1,MOTO,FGSM,0.1,PGD,0.5,3.1041666666666665,2.0,0,28
engr1,MOTO,FGSM,0.1,PGD,0.6,3.1041666666666665,2.0,0,28
engr1,MOTO,FGSM,0.1,PGD,0.7,3.1041666666666665,2.0,0,28
engr1,MOTO,FGSM,0.1,PGD,0.8,3.1041666666666665,2.0,0,28
engr1,MOTO,FGSM,0.1,PGD,0.9,3.1041666666666665,2.0,0,28
engr1,MOTO,FGSM,0.1,PGD,1.0,3.1041666666666665,2.0,0,28
engr1,OP3,FGSM,0.1,PGD,0.1,1.0625,0.0,0,5
engr1,OP3,FGSM,0.1,PGD,0.2,1.0208333333333333,0.0,0,5
engr1,OP3,FGSM,0.1,PGD,0.3,0.9375,0.0,0,5
engr1,OP3,FGSM,0.1,PGD,0.4,0.9375,0.0,0,5
engr1,OP3,FGSM,0.1,PGD,0.5,0.9375,0.0,0,5
engr1,OP3,FGSM,0.1,PGD,0.6,0.9375,0.0,0,5
engr1,OP3,FGSM,0.1,PGD,0.7,0.9375,0.0,0,5
engr1,OP3,FGSM,0.1,PGD,0.8,0.9375,0.0,0,5
engr1,OP3,FGSM,0.1,PGD,0.9,0.9375,0.0,0,5
engr1,OP3,FGSM,0.1,PGD,1.0,0.9375,0.0,0,5
engr1,S7,FGSM,0.1,PGD,0.1,2.3958333333333335,2.0,0,9
engr1,S7,FGSM,0.1,PGD,0.2,2.2916666666666665,2.0,0,8
engr1,S7,FGSM,0.1,PGD,0.3,2.1875,1.5,0,8
engr1,S7,FGSM,0.1,PGD,0.4,2.1666666666666665,1.5,0,8
engr1,S7,FGSM,0.1,PGD,0.5,2.1666666666666665,1.5,0,8
engr1,S7,FGSM,0.1,PGD,0.6,2.1666666666666665,1.5,0,8
engr1,S7,FGSM,0.1,PGD,0.7,2.1666666666666665,1.5,0,8
engr1,S7,FGSM,0.1,PGD,0.8,2.1666666666666665,1.5,0,8
engr1,S7,FGSM,0.1,PGD,0.9,2.1666666666666665,1.5,0,8
engr1,S7,FGSM,0.1,PGD,1.0,2.1666666666666665,1.5,0,8
engr1,BLU,FGSM,0.2,PGD,0.1,2.4375,2.0,0,7
engr1,BLU,FGSM,0.2,PGD,0.2,2.3958333333333335,2.0,0,7
engr1,BLU,FGSM,0.2,PGD,0.3,5.479166666666667,2.5,0,39
engr1,BLU,FGSM,0.2,PGD,0.4,6.083333333333333,2.5,0,40
engr1,BLU,FGSM,0.2,PGD,0.5,6.083333333333333,2.5,0,40
engr1,BLU,FGSM,0.2,PGD,0.6,6.083333333333333,2.5,0,40
engr1,BLU,FGSM,0.2,PGD,0.7,6.083333333333333,2.5,0,40
engr1,BLU,FGSM,0.2,PGD,0.8,6.083333333333333,2.5,0,40
engr1,BLU,FGSM,0.2,PGD,0.9,6.083333333333333,2.5,0,40
engr1,BLU,FGSM,0.2,PGD,1.0,6.083333333333333,2.5,0,40
engr1,HTC,FGSM,0.2,PGD,0.1,3.1666666666666665,2.0,0,14
engr1,HTC,FGSM,0.2,PGD,0.2,2.9791666666666665,2.0,0,14
engr1,HTC,FGSM,0.2,PGD,0.3,2.8958333333333335,2.0,0,14
engr1,HTC,FGSM,0.2,PGD,0.4,2.8958333333333335,2.0,0,14
engr1,HTC,FGSM,0.2,PGD,0.5,2.8958333333333335,2.0,0,14
engr1,HTC,FGSM,0.2,PGD,0.6,2.8958333333333335,2.0,0,14
engr1,HTC,FGSM,0.2,PGD,0.7,2.8958333333333335,2.0,0,14
engr1,HTC,FGSM,0.2,PGD,0.8,2.8958333333333335,2.0,0,14
engr1,HTC,FGSM,0.2,PGD,0.9,2.8958333333333335,2.0,0,14
engr1,HTC,FGSM,0.2,PGD,1.0,2.8958333333333335,2.0,0,14
engr1,LG,FGSM,0.2,PGD,0.1,3.8333333333333335,3.0,0,13
engr1,LG,FGSM,0.2,PGD,0.2,3.8333333333333335,3.0,0,13
engr1,LG,FGSM,0.2,PGD,0.3,3.875,3.0,0,13
engr1,LG,FGSM,0.2,PGD,0.4,3.9166666666666665,3.0,0,13
engr1,LG,FGSM,0.2,PGD,0.5,3.9166666666666665,3.0,0,13
