Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.1,2.5,2.0,0,8
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.1,3.1458333333333335,2.0,0,12
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.1,2.5208333333333335,2.0,0,8
engr1,MOTO,ORIGINAL,0.0,ORIGINAL,0.1,2.5833333333333335,2.0,0,22
engr1,OP3,ORIGINAL,0.0,ORIGINAL,0.1,0.0,0.0,0,0
engr1,S7,ORIGINAL,0.0,ORIGINAL,0.1,2.2083333333333335,1.0,0,28
engr1,BLU,SAE,0.0,ORIGINAL,0.1,2.5,2.0,0,8
engr1,HTC,SAE,0.0,ORIGINAL,0.1,3.1458333333333335,2.0,0,12
engr1,LG,SAE,0.0,ORIGINAL,0.1,2.5208333333333335,2.0,0,8
engr1,MOTO,SAE,0.0,ORIGINAL,0.1,2.5833333333333335,2.0,0,22
engr1,OP3,SAE,0.0,ORIGINAL,0.1,0.0,0.0,0,0
engr1,S7,SAE,0.0,ORIGINAL,0.1,2.2083333333333335,1.0,0,28
engr1,BLU,STACKED_SAE,0.0,ORIGINAL,0.1,2.5,2.0,0,8
engr1,HTC,STACKED_SAE,0.0,ORIGINAL,0.1,3.1458333333333335,2.0,0,12
engr1,LG,STACKED_SAE,0.0,ORIGINAL,0.1,2.5208333333333335,2.0,0,8
engr1,MOTO,STACKED_SAE,0.0,ORIGINAL,0.1,2.5833333333333335,2.0,0,22
engr1,OP3,STACKED_SAE,0.0,ORIGINAL,0.1,0.0,0.0,0,0
engr1,S7,STACKED_SAE,0.0,ORIGINAL,0.1,2.2083333333333335,1.0,0,28
engr1,BLU,GAN,0.0,ORIGINAL,0.1,2.5,2.0,0,8
engr1,HTC,GAN,0.0,ORIGINAL,0.1,3.1458333333333335,2.0,0,12
engr1,LG,GAN,0.0,ORIGINAL,0.1,2.5208333333333335,2.0,0,8
engr1,MOTO,GAN,0.0,ORIGINAL,0.1,2.5833333333333335,2.0,0,22
engr1,OP3,GAN,0.0,ORIGINAL,0.1,0.0,0.0,0,0
engr1,S7,GAN,0.0,ORIGINAL,0.1,2.2083333333333335,1.0,0,28
engr1,BLU,FGSM,0.1,FGSM,0.1,2.6458333333333335,3.0,0,10
engr1,BLU,FGSM,0.1,FGSM,0.2,9.708333333333334,8.0,0,46
engr1,BLU,FGSM,0.1,FGSM,0.3,18.520833333333332,18.5,0,47
engr1,BLU,FGSM,0.1,FGSM,0.4,19.645833333333332,21.0,0,47
engr1,BLU,FGSM,0.1,FGSM,0.5,19.354166666666668,21.0,0,40
engr1,BLU,FGSM,0.1,FGSM,0.6,19.354166666666668,21.0,0,40
engr1,BLU,FGSM,0.1,FGSM,0.7,19.354166666666668,21.0,0,40
engr1,BLU,FGSM,0.1,FGSM,0.8,19.354166666666668,21.0,0,40
engr1,BLU,FGSM,0.1,FGSM,0.9,19.354166666666668,21.0,0,40
engr1,BLU,FGSM,0.1,FGSM,1.0,19.354166666666668,21.0,0,40
engr1,HTC,FGSM,0.1,FGSM,0.1,4.541666666666667,4.0,0,14
engr1,HTC,FGSM,0.1,FGSM,0.2,11.25,8.0,0,41
engr1,HTC,FGSM,0.1,FGSM,0.3,14.583333333333334,13.5,1,37
engr1,HTC,FGSM,0.1,FGSM,0.4,15.604166666666666,15.5,1,40
engr1,HTC,FGSM,0.1,FGSM,0.5,15.520833333333334,15.5,1,40
engr1,HTC,FGSM,0.1,FGSM,0.6,15.395833333333334,15.5,1,40
engr1,HTC,FGSM,0.1,FGSM,0.7,15.395833333333334,15.5,1,40
engr1,HTC,FGSM,0.1,FGSM,0.8,15.395833333333334,15.5,1,40
engr1,HTC,FGSM,0.1,FGSM,0.9,15.395833333333334,15.5,1,40
engr1,HTC,FGSM,0.1,FGSM,1.0,15.395833333333334,15.5,1,40
engr1,LG,FGSM,0.1,FGSM,0.1,4.375,3.0,0,17
engr1,LG,FGSM,0.1,FGSM,0.2,8.1875,6.0,0,32
engr1,LG,FGSM,0.1,FGSM,0.3,15.541666666666666,13.0,0,38
engr1,LG,FGSM,0.1,FGSM,0.4,15.916666666666666,13.5,0,38
engr1,LG,FGSM,0.1,FGSM,0.5,15.791666666666666,13.5,0,34
engr1,LG,FGSM,0.1,FGSM,0.6,15.791666666666666,13.5,0,34
engr1,LG,FGSM,0.1,FGSM,0.7,15.791666666666666,13.5,0,34
engr1,LG,FGSM,0.1,FGSM,0.8,15.791666666666666,13.5,0,34
engr1,LG,FGSM,0.1,FGSM,0.9,15.791666666666666,13.5,0,34
engr1,LG,FGSM,0.1,FGSM,1.0,15.791666666666666,13.5,0,34
engr1,MOTO,FGSM,0.1,FGSM,0.1,3.625,2.0,0,28
engr1,MOTO,FGSM,0.1,FGSM,0.2,11.916666666666666,6.5,0,44
engr1,MOTO,FGSM,0.1,FGSM,0.3,14.833333333333334,10.5,1,47
engr1,MOTO,FGSM,0.1,FGSM,0.4,15.416666666666666,11.0,1,47
engr1,MOTO,FGSM,0.1,FGSM,0.5,15.020833333333334,11.0,1,40
engr1,MOTO,FGSM,0.1,FGSM,0.6,14.979166666666666,11.0,1,40
engr1,MOTO,FGSM,0.1,FGSM,0.7,14.979166666666666,11.0,1,40
engr1,MOTO,FGSM,0.1,FGSM,0.8,14.979166666666666,11.0,1,40
engr1,MOTO,FGSM,0.1,FGSM,0.9,14.979166666666666,11.0,1,40
engr1,MOTO,FGSM,0.1,FGSM,1.0,14.979166666666666,11.0,1,40
engr1,OP3,FGSM,0.1,FGSM,0.1,1.125,0.0,0,9
engr1,OP3,FGSM,0.1,FGSM,0.2,12.604166666666666,9.0,0,45
engr1,OP3,FGSM,0.1,FGSM,0.3,14.666666666666666,11.5,0,43
engr1,OP3,FGSM,0.1,FGSM,0.4,15.041666666666666,11.5,0,43
engr1,OP3,FGSM,0.1,FGSM,0.5,14.770833333333334,11.5,0,39
engr1,OP3,FGSM,0.1,FGSM,0.6,14.770833333333334,11.5,0,39
