Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.1,5.159090909090909,2.0,0,86
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.1,3.1306818181818183,2.0,0,87
glover,LG,ORIGINAL,0.0,ORIGINAL,0.1,5.4772727272727275,3.0,0,85
glover,MOTO,ORIGINAL,0.0,ORIGINAL,0.1,3.096590909090909,1.0,0,86
glover,OP3,ORIGINAL,0.0,ORIGINAL,0.1,0.5511363636363636,0.0,0,83
glover,S7,ORIGINAL,0.0,ORIGINAL,0.1,3.3181818181818183,1.0,0,87
glover,BLU,SAE,0.0,ORIGINAL,0.1,5.159090909090909,2.0,0,86
glover,HTC,SAE,0.0,ORIGINAL,0.1,3.1306818181818183,2.0,0,87
glover,LG,SAE,0.0,ORIGINAL,0.1,5.4772727272727275,3.0,0,85
glover,MOTO,SAE,0.0,ORIGINAL,0.1,3.096590909090909,1.0,0,86
glover,OP3,SAE,0.0,ORIGINAL,0.1,0.5511363636363636,0.0,0,83
glover,S7,SAE,0.0,ORIGINAL,0.1,3.3181818181818183,1.0,0,87
glover,BLU,STACKED_SAE,0.0,ORIGINAL,0.1,5.159090909090909,2.0,0,86
glover,HTC,STACKED_SAE,0.0,ORIGINAL,0.1,3.1306818181818183,2.0,0,87
glover,LG,STACKED_SAE,0.0,ORIGINAL,0.1,5.4772727272727275,3.0,0,85
glover,MOTO,STACKED_SAE,0.0,ORIGINAL,0.1,3.096590909090909,1.0,0,86
glover,OP3,STACKED_SAE,0.0,ORIGINAL,0.1,0.5511363636363636,0.0,0,83
glover,S7,STACKED_SAE,0.0,ORIGINAL,0.1,3.3181818181818183,1.0,0,87
glover,BLU,GAN,0.0,ORIGINAL,0.1,5.159090909090909,2.0,0,86
glover,HTC,GAN,0.0,ORIGINAL,0.1,3.1306818181818183,2.0,0,87
glover,LG,GAN,0.0,ORIGINAL,0.1,5.4772727272727275,3.0,0,85
glover,MOTO,GAN,0.0,ORIGINAL,0.1,3.096590909090909,1.0,0,86
glover,OP3,GAN,0.0,ORIGINAL,0.1,0.5511363636363636,0.0,0,83
glover,S7,GAN,0.0,ORIGINAL,0.1,3.3181818181818183,1.0,0,87
glover,BLU,FGSM,0.1,FGSM,0.1,5.215909090909091,3.0,0,87
glover,BLU,FGSM,0.1,FGSM,0.2,17.517045454545453,10.0,0,86
glover,BLU,FGSM,0.1,FGSM,0.3,24.017045454545453,16.0,0,86
glover,BLU,FGSM,0.1,FGSM,0.4,29.948863636363637,27.5,0,86
glover,BLU,FGSM,0.1,FGSM,0.5,30.630681818181817,29.5,0,86
glover,BLU,FGSM,0.1,FGSM,0.6,31.0,30.0,0,86
glover,BLU,FGSM,0.1,FGSM,0.7,31.136363636363637,30.0,0,86
glover,BLU,FGSM,0.1,FGSM,0.8,31.136363636363637,30.0,0,86
glover,BLU,FGSM,0.1,FGSM,0.9,31.136363636363637,30.0,0,86
glover,BLU,FGSM,0.1,FGSM,1.0,31.136363636363637,30.0,0,86
glover,HTC,FGSM,0.1,FGSM,0.1,7.221590909090909,3.0,0,87
glover,HTC,FGSM,0.1,FGSM,0.2,16.460227272727273,8.0,0,87
glover,HTC,FGSM,0.1,FGSM,0.3,25.96590909090909,18.0,1,86
glover,HTC,FGSM,0.1,FGSM,0.4,29.40909090909091,24.5,0,86
glover,HTC,FGSM,0.1,FGSM,0.5,31.738636363636363,27.0,0,86
glover,HTC,FGSM,0.1,FGSM,0.6,31.761363636363637,27.5,0,86
glover,HTC,FGSM,0.1,FGSM,0.7,31.761363636363637,27.5,0,86
glover,HTC,FGSM,0.1,FGSM,0.8,31.761363636363637,27.5,0,86
glover,HTC,FGSM,0.1,FGSM,0.9,31.761363636363637,27.5,0,86
glover,HTC,FGSM,0.1,FGSM,1.0,31.761363636363637,27.5,0,86
glover,LG,FGSM,0.1,FGSM,0.1,7.323863636363637,3.0,0,86
glover,LG,FGSM,0.1,FGSM,0.2,17.647727272727273,8.0,0,86
glover,LG,FGSM,0.1,FGSM,0.3,25.982954545454547,17.5,0,86
glover,LG,FGSM,0.1,FGSM,0.4,33.34659090909091,27.5,0,86
glover,LG,FGSM,0.1,FGSM,0.5,36.21590909090909,36.0,0,86
glover,LG,FGSM,0.1,FGSM,0.6,36.45454545454545,36.0,0,86
glover,LG,FGSM,0.1,FGSM,0.7,36.45454545454545,36.0,0,86
glover,LG,FGSM,0.1,FGSM,0.8,36.45454545454545,36.0,0,86
glover,LG,FGSM,0.1,FGSM,0.9,36.45454545454545,36.0,0,86
glover,LG,FGSM,0.1,FGSM,1.0,36.45454545454545,36.0,0,86
glover,MOTO,FGSM,0.1,FGSM,0.1,5.3125,2.0,0,87
glover,MOTO,FGSM,0.1,FGSM,0.2,16.880681818181817,9.0,0,87
glover,MOTO,FGSM,0.1,FGSM,0.3,29.045454545454547,22.5,0,87
glover,MOTO,FGSM,0.1,FGSM,0.4,31.573863636363637,28.5,0,87
glover,MOTO,FGSM,0.1,FGSM,0.5,33.05113636363637,31.0,0,87
glover,MOTO,FGSM,0.1,FGSM,0.6,32.88636363636363,30.0,0,87
glover,MOTO,FGSM,0.1,FGSM,0.7,32.88636363636363,30.0,0,87
glover,MOTO,FGSM,0.1,FGSM,0.8,32.88636363636363,30.0,0,87
glover,MOTO,FGSM,0.1,FGSM,0.9,32.88636363636363,30.0,0,87
glover,MOTO,FGSM,0.1,FGSM,1.0,32.88636363636363,30.0,0,87
glover,OP3,FGSM,0.1,FGSM,0.1,2.125,1.0,0,86
glover,OP3,FGSM,0.1,FGSM,0.2,14.357954545454545,9.0,0,79
glover,OP3,FGSM,0.1,FGSM,0.3,25.477272727272727,22.0,0,77
glover,OP3,FGSM,0.1,FGSM,0.4,28.306818181818183,24.0,0,82
glover,OP3,FGSM,0.1,FGSM,0.5,30.039772727272727,26.0,0,82
glover,OP3,FGSM,0.1,FGSM,0.6,29.732954545454547,25.5,0,82
glover,OP3,FGSM,0.1,FGSM,0.7,29.732954545454547,25.5,0,82
glover,OP3,FGSM,0.1,FGSM,0.8,29.732954545454547,25.5,0,82
glover,OP3,FGSM,0.1,FGSM,0.9,29.732954545454547,25.5,0,82
glover,OP3,FGSM,0.1,FGSM,1.0,29.732954545454547,25.5,0,82
glover,S7,FGSM,0.1,FGSM,0.1,8.420454545454545,3.0,0,87
glover,S7,FGSM,0.1,FGSM,0.2,16.267045454545453,9.0,0,87
glover,S7,FGSM,0.1,FGSM,0.3,27.931818181818183,22.0,0,87
glover,S7,FGSM,0.1,FGSM,0.4,32.43181818181818,29.0,0,87
glover,S7,FGSM,0.1,FGSM,0.5,33.67613636363637,32.0,0,87
glover,S7,FGSM,0.1,FGSM,0.6,34.02840909090909,32.5,0,87
glover,S7,FGSM,0.1,FGSM,0.7,34.02840909090909,32.5,0,87
glover,S7,FGSM,0.1,FGSM,0.8,34.02840909090909,32.5,0,87
glover,S7,FGSM,0.1,FGSM,0.9,34.02840909090909,32.5,0,87
glover,S7,FGSM,0.1,FGSM,1.0,34.02840909090909,32.5,0,87
glover,BLU,FGSM,0.2,FGSM,0.1,8.164772727272727,5.0,0,86
glover,BLU,FGSM,0.2,FGSM,0.2,7.5625,3.0,0,86
glover,BLU,FGSM,0.2,FGSM,0.3,17.511363636363637,11.0,0,86
glover,BLU,FGSM,0.2,FGSM,0.4,24.53409090909091,18.0,0,86
glover,BLU,FGSM,0.2,FGSM,0.5,26.744318181818183,20.0,0,86
glover,BLU,FGSM,0.2,FGSM,0.6,26.982954545454547,22.0,0,86
glover,BLU,FGSM,0.2,FGSM,0.7,27.017045454545453,22.0,0,86
glover,BLU,FGSM,0.2,FGSM,0.8,27.017045454545453,22.0,0,86
glover,BLU,FGSM,0.2,FGSM,0.9,27.017045454545453,22.0,0,86
glover,BLU,FGSM,0.2,FGSM,1.0,27.017045454545453,22.0,0,86
glover,HTC,FGSM,0.2,FGSM,0.1,9.977272727272727,5.0,0,87
