Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
libstudy,BLU,ORIGINAL,0.0,ORIGINAL,0.1,5.866666666666666,2.0,0,41
libstudy,HTC,ORIGINAL,0.0,ORIGINAL,0.1,8.65,3.0,0,54
libstudy,LG,ORIGINAL,0.0,ORIGINAL,0.1,17.558333333333334,6.0,0,59
libstudy,MOTO,ORIGINAL,0.0,ORIGINAL,0.1,4.4,2.0,0,41
libstudy,OP3,ORIGINAL,0.0,ORIGINAL,0.1,0.05,0.0,0,4
libstudy,S7,ORIGINAL,0.0,ORIGINAL,0.1,7.575,1.0,0,52
libstudy,BLU,SAE,0.0,ORIGINAL,0.1,5.866666666666666,2.0,0,41
libstudy,HTC,SAE,0.0,ORIGINAL,0.1,8.65,3.0,0,54
libstudy,LG,SAE,0.0,ORIGINAL,0.1,17.558333333333334,6.0,0,59
libstudy,MOTO,SAE,0.0,ORIGINAL,0.1,4.4,2.0,0,41
libstudy,OP3,SAE,0.0,ORIGINAL,0.1,0.05,0.0,0,4
libstudy,S7,SAE,0.0,ORIGINAL,0.1,7.575,1.0,0,52
libstudy,BLU,STACKED_SAE,0.0,ORIGINAL,0.1,5.866666666666666,2.0,0,41
libstudy,HTC,STACKED_SAE,0.0,ORIGINAL,0.1,8.65,3.0,0,54
libstudy,LG,STACKED_SAE,0.0,ORIGINAL,0.1,17.558333333333334,6.0,0,59
libstudy,MOTO,STACKED_SAE,0.0,ORIGINAL,0.1,4.4,2.0,0,41
libstudy,OP3,STACKED_SAE,0.0,ORIGINAL,0.1,0.05,0.0,0,4
libstudy,S7,STACKED_SAE,0.0,ORIGINAL,0.1,7.575,1.0,0,52
libstudy,BLU,GAN,0.0,ORIGINAL,0.1,5.866666666666666,2.0,0,41
libstudy,HTC,GAN,0.0,ORIGINAL,0.1,8.65,3.0,0,54
libstudy,LG,GAN,0.0,ORIGINAL,0.1,17.558333333333334,6.0,0,59
libstudy,MOTO,GAN,0.0,ORIGINAL,0.1,4.4,2.0,0,41
libstudy,OP3,GAN,0.0,ORIGINAL,0.1,0.05,0.0,0,4
libstudy,S7,GAN,0.0,ORIGINAL,0.1,7.575,1.0,0,52
libstudy,BLU,FGSM,0.1,FGSM,0.1,20.158333333333335,17.0,0,51
libstudy,BLU,FGSM,0.1,FGSM,0.2,25.8,25.5,0,55
libstudy,BLU,FGSM,0.1,FGSM,0.3,25.8,25.5,0,55
libstudy,BLU,FGSM,0.1,FGSM,0.4,26.7,26.5,0,56
libstudy,BLU,FGSM,0.1,FGSM,0.5,26.7,26.5,0,56
libstudy,BLU,FGSM,0.1,FGSM,0.6,26.7,26.5,0,56
libstudy,BLU,FGSM,0.1,FGSM,0.7,26.7,26.5,0,56
libstudy,BLU,FGSM,0.1,FGSM,0.8,26.7,26.5,0,56
libstudy,BLU,FGSM,0.1,FGSM,0.9,26.7,26.5,0,56
libstudy,BLU,FGSM,0.1,FGSM,1.0,26.7,26.5,0,56
libstudy,HTC,FGSM,0.1,FGSM,0.1,15.416666666666666,13.5,0,48
libstudy,HTC,FGSM,0.1,FGSM,0.2,26.7,26.5,0,56
libstudy,HTC,FGSM,0.1,FGSM,0.3,26.7,26.5,0,56
libstudy,HTC,FGSM,0.1,FGSM,0.4,26.7,26.5,0,56
libstudy,HTC,FGSM,0.1,FGSM,0.5,26.7,26.5,0,56
libstudy,HTC,FGSM,0.1,FGSM,0.6,26.7,26.5,0,56
libstudy,HTC,FGSM,0.1,FGSM,0.7,26.7,26.5,0,56
libstudy,HTC,FGSM,0.1,FGSM,0.8,26.7,26.5,0,56
libstudy,HTC,FGSM,0.1,FGSM,0.9,26.7,26.5,0,56
libstudy,HTC,FGSM,0.1,FGSM,1.0,26.7,26.5,0,56
libstudy,LG,FGSM,0.1,FGSM,0.1,17.6,15.0,0,49
libstudy,LG,FGSM,0.1,FGSM,0.2,26.7,27.0,0,56
libstudy,LG,FGSM,0.1,FGSM,0.3,26.7,26.5,0,56
libstudy,LG,FGSM,0.1,FGSM,0.4,26.7,26.5,0,56
libstudy,LG,FGSM,0.1,FGSM,0.5,26.7,26.5,0,56
libstudy,LG,FGSM,0.1,FGSM,0.6,26.7,26.5,0,56
libstudy,LG,FGSM,0.1,FGSM,0.7,26.7,26.5,0,56
libstudy,LG,FGSM,0.1,FGSM,0.8,26.7,26.5,0,56
libstudy,LG,FGSM,0.1,FGSM,0.9,26.7,26.5,0,56
libstudy,LG,FGSM,0.1,FGSM,1.0,26.7,26.5,0,56
libstudy,MOTO,FGSM,0.1,FGSM,0.1,17.75,15.0,0,51
libstudy,MOTO,FGSM,0.1,FGSM,0.2,26.9,27.0,0,56
libstudy,MOTO,FGSM,0.1,FGSM,0.3,26.7,26.5,0,56
libstudy,MOTO,FGSM,0.1,FGSM,0.4,26.7,26.5,0,56
libstudy,MOTO,FGSM,0.1,FGSM,0.5,26.7,26.5,0,56
libstudy,MOTO,FGSM,0.1,FGSM,0.6,26.7,26.5,0,56
libstudy,MOTO,FGSM,0.1,FGSM,0.7,26.7,26.5,0,56
libstudy,MOTO,FGSM,0.1,FGSM,0.8,26.7,26.5,0,56
libstudy,MOTO,FGSM,0.1,FGSM,0.9,26.7,26.5,0,56
libstudy,MOTO,FGSM,0.1,FGSM,1.0,26.7,26.5,0,56
libstudy,OP3,FGSM,0.1,FGSM,0.1,13.35,11.5,0,47
libstudy,OP3,FGSM,0.1,FGSM,0.2,26.7,26.5,0,56
libstudy,OP3,FGSM,0.1,FGSM,0.3,26.7,26.5,0,56
libstudy,OP3,FGSM,0.1,FGSM,0.4,26.7,26.5,0,56
libstudy,OP3,FGSM,0.1,FGSM,0.5,26.7,26.5,0,56
libstudy,OP3,FGSM,0.1,FGSM,0.6,26.7,26.5,0,56
