Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
sciences,BLU,ORIGINAL,0.0,ORIGINAL,0.1,2.6323529411764706,2.0,0,13
sciences,HTC,ORIGINAL,0.0,ORIGINAL,0.1,2.764705882352941,2.0,0,17
sciences,LG,ORIGINAL,0.0,ORIGINAL,0.1,4.867647058823529,4.0,0,54
sciences,MOTO,ORIGINAL,0.0,ORIGINAL,0.1,2.0955882352941178,2.0,0,13
sciences,OP3,ORIGINAL,0.0,ORIGINAL,0.1,0.16911764705882354,0.0,0,3
sciences,S7,ORIGINAL,0.0,ORIGINAL,0.1,2.0,1.5,0,9
sciences,BLU,SAE,0.0,ORIGINAL,0.1,2.6323529411764706,2.0,0,13
sciences,HTC,SAE,0.0,ORIGINAL,0.1,2.764705882352941,2.0,0,17
sciences,LG,SAE,0.0,ORIGINAL,0.1,4.867647058823529,4.0,0,54
sciences,MOTO,SAE,0.0,ORIGINAL,0.1,2.0955882352941178,2.0,0,13
sciences,OP3,SAE,0.0,ORIGINAL,0.1,0.16911764705882354,0.0,0,3
sciences,S7,SAE,0.0,ORIGINAL,0.1,2.0,1.5,0,9
sciences,BLU,STACKED_SAE,0.0,ORIGINAL,0.1,2.6323529411764706,2.0,0,13
sciences,HTC,STACKED_SAE,0.0,ORIGINAL,0.1,2.764705882352941,2.0,0,17
sciences,LG,STACKED_SAE,0.0,ORIGINAL,0.1,4.867647058823529,4.0,0,54
sciences,MOTO,STACKED_SAE,0.0,ORIGINAL,0.1,2.0955882352941178,2.0,0,13
sciences,OP3,STACKED_SAE,0.0,ORIGINAL,0.1,0.16911764705882354,0.0,0,3
sciences,S7,STACKED_SAE,0.0,ORIGINAL,0.1,2.0,1.5,0,9
sciences,BLU,GAN,0.0,ORIGINAL,0.1,2.6323529411764706,2.0,0,13
sciences,HTC,GAN,0.0,ORIGINAL,0.1,2.764705882352941,2.0,0,17
sciences,LG,GAN,0.0,ORIGINAL,0.1,4.867647058823529,4.0,0,54
sciences,MOTO,GAN,0.0,ORIGINAL,0.1,2.0955882352941178,2.0,0,13
sciences,OP3,GAN,0.0,ORIGINAL,0.1,0.16911764705882354,0.0,0,3
sciences,S7,GAN,0.0,ORIGINAL,0.1,2.0,1.5,0,9
sciences,BLU,FGSM,0.1,FGSM,0.1,19.647058823529413,8.5,0,63
sciences,BLU,FGSM,0.1,FGSM,0.2,18.154411764705884,17.0,0,42
sciences,BLU,FGSM,0.1,FGSM,0.3,18.154411764705884,17.0,0,42
sciences,BLU,FGSM,0.1,FGSM,0.4,18.147058823529413,17.0,0,42
sciences,BLU,FGSM,0.1,FGSM,0.5,18.147058823529413,17.0,0,42
sciences,BLU,FGSM,0.1,FGSM,0.6,18.21323529411765,17.0,0,42
sciences,BLU,FGSM,0.1,FGSM,0.7,18.21323529411765,17.0,0,42
sciences,BLU,FGSM,0.1,FGSM,0.8,18.21323529411765,17.0,0,42
sciences,BLU,FGSM,0.1,FGSM,0.9,18.21323529411765,17.0,0,42
sciences,BLU,FGSM,0.1,FGSM,1.0,18.21323529411765,17.0,0,42
sciences,HTC,FGSM,0.1,FGSM,0.1,8.397058823529411,7.0,0,28
sciences,HTC,FGSM,0.1,FGSM,0.2,16.301470588235293,15.5,0,37
sciences,HTC,FGSM,0.1,FGSM,0.3,18.720588235294116,19.5,0,46
sciences,HTC,FGSM,0.1,FGSM,0.4,19.058823529411764,17.0,0,46
sciences,HTC,FGSM,0.1,FGSM,0.5,19.294117647058822,17.0,0,46
sciences,HTC,FGSM,0.1,FGSM,0.6,19.294117647058822,17.0,0,46
sciences,HTC,FGSM,0.1,FGSM,0.7,19.294117647058822,17.0,0,46
sciences,HTC,FGSM,0.1,FGSM,0.8,19.294117647058822,17.0,0,46
sciences,HTC,FGSM,0.1,FGSM,0.9,19.294117647058822,17.0,0,46
sciences,HTC,FGSM,0.1,FGSM,1.0,19.294117647058822,17.0,0,46
sciences,LG,FGSM,0.1,FGSM,0.1,9.683823529411764,8.0,0,33
