Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.8958333333333335,3.0,0,14
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.8958333333333335,3.0,0,14
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.8958333333333335,3.0,0,14
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.8958333333333335,3.0,0,14
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.8958333333333335,3.0,0,14
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.8958333333333335,3.0,0,14
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.8958333333333335,3.0,0,14
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.8958333333333335,3.0,0,14
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.8958333333333335,3.0,0,14
engr1,BLU,ORIGINAL,0.0,ORIGINAL,0.0,3.8958333333333335,3.0,0,14
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.1666666666666665,2.0,0,12
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.1666666666666665,2.0,0,12
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.1666666666666665,2.0,0,12
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.1666666666666665,2.0,0,12
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.1666666666666665,2.0,0,12
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.1666666666666665,2.0,0,12
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.1666666666666665,2.0,0,12
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.1666666666666665,2.0,0,12
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.1666666666666665,2.0,0,12
engr1,HTC,ORIGINAL,0.0,ORIGINAL,0.0,3.1666666666666665,2.0,0,12
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.0625,3.0,0,11
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.0625,3.0,0,11
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.0625,3.0,0,11
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.0625,3.0,0,11
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.0625,3.0,0,11
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.0625,3.0,0,11
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.0625,3.0,0,11
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.0625,3.0,0,11
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.0625,3.0,0,11
engr1,LG,ORIGINAL,0.0,ORIGINAL,0.0,3.0625,3.0,0,11
engr1,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,3.1041666666666665,2.0,0,14
engr1,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,3.1041666666666665,2.0,0,14
engr1,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,3.1041666666666665,2.0,0,14
engr1,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,3.1041666666666665,2.0,0,14
engr1,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,3.1041666666666665,2.0,0,14
engr1,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,3.1041666666666665,2.0,0,14
engr1,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,3.1041666666666665,2.0,0,14
engr1,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,3.1041666666666665,2.0,0,14
engr1,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,3.1041666666666665,2.0,0,14
engr1,MOTO,ORIGINAL,0.0,ORIGINAL,0.0,3.1041666666666665,2.0,0,14
engr1,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.6875,0.0,0,17
engr1,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.6875,0.0,0,17
engr1,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.6875,0.0,0,17
engr1,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.6875,0.0,0,17
engr1,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.6875,0.0,0,17
engr1,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.6875,0.0,0,17
engr1,OP3,ORIGINAL,0.0,ORIGINAL,0.0,0.6875,0.0,0,17
