Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.8352272727272725,2.0,0,87
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.8352272727272725,2.0,0,87
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.8352272727272725,2.0,0,87
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.8352272727272725,2.0,0,87
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.8352272727272725,2.0,0,87
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.8352272727272725,2.0,0,87
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.8352272727272725,2.0,0,87
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.8352272727272725,2.0,0,87
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.8352272727272725,2.0,0,87
glover,BLU,ORIGINAL,0.0,ORIGINAL,0.0,7.8352272727272725,2.0,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.2897727272727275,2.0,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.2897727272727275,2.0,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.2897727272727275,2.0,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.2897727272727275,2.0,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.2897727272727275,2.0,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.2897727272727275,2.0,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.2897727272727275,2.0,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.2897727272727275,2.0,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.2897727272727275,2.0,0,87
glover,HTC,ORIGINAL,0.0,ORIGINAL,0.0,5.2897727272727275,2.0,0,87
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,8.028409090909092,3.0,0,87
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,8.028409090909092,3.0,0,87
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,8.028409090909092,3.0,0,87
glover,LG,ORIGINAL,0.0,ORIGINAL,0.0,8.028409090909092,3.0,0,87
